Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ Mtrs,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-12 LILO -1 TO ELAYAMUTHUR 110KV,3W,DD,T,28,,,0.68,352,,77.31008333,10.577,GOOD,GOOD,NO,,,CULTIVATION,"NEED 3WAY JUNCTION BOX. 2 EARTH WIRE, 1E/W CONTINUE TO OUR T.NO-13 ANOTHER E/W CONNECT TO SEMBATTY 230KV T.NO-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31008333333332 10.577, 77.31266666666666 10.577)"
T.NO-13,,DA,S,26,LILO-12 - 13,284,0.9,353,,77.31266667,10.577,GOOD,GOOD,NO,LT,MUD ROAD,PLAIN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31266666666666 10.577, 77.31558333333334 10.577)"
T.NO-14,,DA,S,26,13-14,320,1.11,345,,77.31558333,10.577,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31558333333334 10.577, 77.3185 10.576972222222222)"
T.NO-15,,DB,T,30,14-15,319,5.1,347,"3°54'55.00""",77.3185,10.57697222,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3185 10.576972222222222, 77.32091666666666 10.57711111111111)"
T.NO-16,2W,DC,T,32,15-16,264,2.1,346,"16°26'38.71""",77.32091667,10.57711111,GOOD,GOOD,YES,22KV,TAAR ROAD (NH),PLAIN ,UDUMALA - PALANI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32091666666666 10.57711111111111, 77.32147222222221 10.577)"
T.NO-17,,DP,DP,20,16-17,65,,347,,77.32147222,10.577,GOOD,MISSING,NO,LT,,CULTIVATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32147222222221 10.577, 77.32202777777778 10.576916666666666)"
T.NO-18,,DP,DP,20,17-18,58,,348,,77.32202778,10.57691667,GOOD,MISSING,NO,2Nos 230KV DC LINE IS GOING ABOVE OUR LINE,,PLAIN ,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32202777777778 10.576916666666666, 77.32258333333333 10.576888888888888)"
T.NO-19,2W,DB,T,24,18-19,63,1.86,347,"9°45'57.47""",77.32258333,10.57688889,GOOD,MISSING,NO,,,PLAIN ,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32258333333333 10.576888888888888, 77.324 10.577)"
T.NO-20,,DB,T,24,19-20,154,2.71,340,"14°41'25.85""",77.324,10.577,GOOD,GOOD,NO,,MUD ROAD,PLAIN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.324 10.577, 77.32644444444443 10.576555555555556)"
T.NO-21,,DA,S,26,20-21,274,1.2,337,,77.32644444,10.57655556,GOOD,GOOD,NO,"LT, 22KV",,PLAIN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32644444444443 10.576555555555556, 77.32858333333333 10.576194444444445)"
T.NO-22,,DA,S,26,21-22,239,3.1,342,,77.32858333,10.57619444,GOOD,GOOD,NO,,MUD ROAD,PLAIN ,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32858333333333 10.576194444444445, 77.33105555555555 10.575777777777777)"
T.NO-23,,DA,S,26,22-23,272,16.07,342,,77.33105556,10.57577778,GOOD,GOOD,NO,"LT, 22KV",,ROACK,INSIDE BLUE METAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33105555555555 10.575777777777777, 77.33397222222222 10.575277777777778)"
