Tower No,Joint Box,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-174,,DA,S,26,175-174,318.5294335,3.13,310,,77.50404713,11.2347262,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50404713 11.2347262, 77.50196654 11.2333341)"
T.NO-173,,DA,S,26,174-173,274.6124542,4.11,307,,77.50196654,11.2333341,GOOD,GOOD,NO,LT,"TAAR ROAD,MUDROAD",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50196654 11.2333341, 77.49965584 11.23179031)"
T.NO-172,,DA,S,26,173-172,304.8442225,6.11,306,,77.49965584,11.23179031,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49965584 11.23179031, 77.49750091 11.23026325)"
T.NO-171,2W,DB,T,24,172-171,289.8223594,4.16,297,"2°0'38.43""",77.49750091,11.23026325,GOOD,GOOD,NO,"11KV,LT",TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49750091 11.23026325, 77.49538377 11.2288714)"
T.NO-170,,DA,S,26,171-170,277.9136557,5.11,301,,77.49538377,11.2288714,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49538377 11.2288714, 77.49296292 11.22728328)"
T.NO-169,,DA,S,26,170-169,317.5736135,6.5,297,,77.49296292,11.22728328,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49296292 11.22728328, 77.49105756 11.22603419)"
T.NO-168,,DA,S,26,169-168,249.8979792,5.12,297,,77.49105756,11.22603419,GOOD,GOOD,NO,"22KV,LT",2nos TAAR  ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49105756 11.22603419, 77.4885906 11.22440123)"
T.NO-167,,DA,S,26,168-167,324.519645,4.72,297,,77.4885906,11.22440123,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4885906 11.22440123, 77.48663905 11.22309828)"
T.NO-166,,DA,S,26,167-166,257.4101785,3.19,292,,77.48663905,11.22309828,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48663905 11.22309828, 77.48467837 11.22179538)"
T.NO-165,,DA,S,26,166-165,258.2343897,4.55,289,,77.48467837,11.22179538,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48467837 11.22179538, 77.4827177 11.22049247)"
T.NO-164,,DA,S,26,165-164,258.2343897,5.31,286,,77.4827177,11.22049247,GOOD,GOOD,NO,2nos LT,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4827177 11.22049247, 77.48061892 11.21909129)"
T.NO-163,,DA,S,26,164-163,276.8266606,4.23,296,,77.48061892,11.21909129,GOOD,GOOD,NO,LT,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48061892 11.21909129, 77.47834588 11.21764637)"
T.NO-162 LILO - 110KV PG PALAYAM,3W,DB,T,24,163-162,295.3861879,5.31,304,"0°25'49.38""",77.47834588,11.21764637,GOOD,GOOD,NO,,,CULTIVATION,NEED 3 WAY JUNCTION BOX.2 EARTH WIRE ON THIS TOWER.1 EARTH WIRE CONTINUE TO OUR LINE ANOTHER EARTH WIRE CONNECTED FROM PG PALAYAM TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47834588 11.21764637, 77.47599903 11.21612974)"
T.NO-161,,DA,S,26,162-161,306.4718584,5.21,304,,77.47599903,11.21612974,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47599903 11.21612974, 77.47409288 11.21477209)"
T.NO-160,,DA,S,26,161-160,256.8131617,6.2,305,,77.47409288,11.21477209,GOOD,GOOD,NO,LT,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47409288 11.21477209, 77.47181998 11.21333613)"
T.NO-159,,DA,S,26,160-159,294.8389391,6.55,304,,77.47181998,11.21333613,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47181998 11.21333613, 77.46969368 11.21191701)"
T.NO-158,,DA,S,26,159-158,280.4318099,4.81,290,,77.46969368,11.21191701,GOOD,GOOD,NO,LT,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46969368 11.21191701, 77.46755741 11.21039856)"
T.NO-157,,DA,S,26,158-157,287.617802,5.13,286,,77.46755741,11.21039856,GOOD,GOOD,NO,,"NALA,TAAR ROAD",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46755741 11.21039856, 77.46532987 11.20890795)"
T.NO-156,,DB,T,24,157-156,294.0289101,4.44,284,"0°5'52.30""",77.46532987,11.20890795,GOOD,GOOD,NO,,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46532987 11.20890795, 77.46296423 11.20731906)"
T.NO-155,,DA,S,26,156-155,312.6227759,15.48,286,,77.46296423,11.20731906,GOOD,GOOD,NO,LT,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46296423 11.20731906, 77.46105934 11.20609683)"
T.NO-154,,DA,S,26,155-154,248.2297323,4.1,290,,77.46105934,11.20609683,GOOD,GOOD,NO,11KV,"MUDROAD,TAAR ROAD",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46105934 11.20609683, 77.4587485 11.20448937)"
T.NO-153,,DA,S,26,154-153,308.870523,5.7,293,,77.4587485,11.20448937,GOOD,GOOD,NO,,2nos MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4587485 11.20448937, 77.45648466 11.20302608)"
T.NO-152,,DA,S,26,153-152,295.6552046,3.98,296,,77.45648466,11.20302608,GOOD,GOOD,NO,11KV,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45648466 11.20302608, 77.45440441 11.20162452)"
T.NO-151,,DC,T,26,152-151,275.1817581,12.7,298,"21°55'54.11""",77.45440441,11.20162452,GOOD,GOOD,NO,LT,TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45440441 11.20162452, 77.45219468 11.20114569)"
T.NO-150,,DA,S,26,151-150,247.1962783,5.65,296,,77.45219468,11.20114569,GOOD,GOOD,NO,,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45219468 11.20114569, 77.44945194 11.20040916)"
T.NO-149,,DA,S,26,150-149,310.5752727,5.09,296,,77.44945194,11.20040916,GOOD,GOOD,NO,11KV CUM LT,"TAAR ROAD,MUDROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44945194 11.20040916, 77.44706681 11.199751)"
T.NO-148,,DA,S,26,149-148,270.6011826,7.11,294,,77.44706681,11.199751,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44706681 11.199751, 77.44470128 11.19924628)"
T.NO-147,,DA,S,26,148-147,264.4390289,8.15,295,,77.44470128,11.19924628,GOOD,GOOD,NO,,TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44470128 11.19924628, 77.441766 11.19846607)"
T.NO-146/1 LILO 110KV KUNNATHUR,3W,DD,T,28,147-146/1,332.1460522,6.08,288,"76°45'32.20""",77.441766,11.19846607,GOOD,GOOD,NO,"11KV CUM LT,LT","TAAR ROAD,NALA",CULTIVATION,NEED 3 WAY JUNCTION BOX.2 EARTH WIRE ON THIS TOWER.1 EARTH WIRE CONTINUE TO OUR LINE ANOTHER EARTH WIRE CONNECTED FROM ARASUR T.NO-145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.441766 11.19846607, 77.441775 11.198466)"
146/1 Arasur  lilo ,,T ,26,,,3,283,,1,77.441775,11.198466,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.441775 11.198466, 77.440975 11.199959)"
2,,T ,26,146/1 lilo to 2,186.9268571,3.2,286,"6°30'5"" LT",2,77.440975,11.199959,GOOD,LT - 1,Tar Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.440975 11.199959, 77.439898 11.201513)"
3,,T,24,2 to 3,208.3874763,3.5,289,"11°14'10"" LT",3,77.439898,11.201513,GOOD,LT - 1,Sand Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.439898 11.201513, 77.438447 11.202915)"
4,,S,26,3 to 4,221.8329714,4.1,292,,4,77.438447,11.202915,GOOD,,,Agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.438447 11.202915, 77.437197 11.204038)"
5,,S,26,4 to 5,184.6616509,3.6,294,,5,77.437197,11.204038,GOOD,,,Agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.437197 11.204038, 77.435712 11.205448)"
6,,T ,24,5 to 6,225.1144485,4.5,297,"1°24'24"" RT",6,77.435712,11.205448,GOOD,11 KV -1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.435712 11.205448, 77.433881 11.207274)"
7,,T ,24,6 to 7,284.3602828,4.2,297,"5°53'40"" LT",7,77.433881,11.207274,GOOD,"LT - 1 , 11 Kv -1",Tar road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.433881 11.207274, 77.433231 11.207801)"
8,,T ,24,7 to 8,91.89883515,5.3,298,"4°4'58"" RT",8,77.433231,11.207801,GOOD,,Highway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.433231 11.207801, 77.432636 11.208358)"
9,,T ,26,8 to 9,89.58902959,3.8,299,"21°7'39"" LT",9,77.432636,11.208358,GOOD,,,Agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.432636 11.208358, 77.431584 11.208785)"
10,,T ,24,9 to 10 ,124.2780291,4.7,300,"0°21'6"" RT",10,77.431584,11.208785,GOOD,,Tar road,Agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.431584 11.208785, 77.430199 11.209357)"
11,,T ,26,10 to 11,164.0336607,3.4,303,"20°13'53"" LT",11,77.430199,11.209357,GOOD,,,Agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.430199 11.209357, 77.429212 11.209399)"
12,,T ,26,11 to 12,107.940873,6.7,305,"27°46'13"" LT",12,77.429212,11.209399,GOOD,,,Agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.429212 11.209399, 77.42825 11.20895)"
70/13 Kunnathur lilo,,T ,26,12 to 70/13 lilo,116.2628472,7.1,307,,13,77.42825,11.20895,GOOD,,,Agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
