SL NO,Tower No,JOINT BOX,Tower Type,Tower Type(S/T),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,THAMMAMPATTY GANTRY,2W,GANTRY,T,20,,,,301,,11.45416,78.48361,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48361 11.45416, 78.48358 11.4538)"
2,80,,DD,T,28,GANTRY-80,39.97811317,13.12,304,"89⁰23'37"" RT",11.4538,78.48358,GOOD,GOOD,33 KV LINE CROSSING,,,SS INSIDE THE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48358 11.4538, 78.48188 11.45392)"
3,79,,DD,T,28,80-79,186.0723672,3.17,310,"68⁰28'50"" LT",11.45392,78.48188,GOOD,GOOD,,SAND ROAD,,AIM SCHOOL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48188 11.45392, 78.48136 11.45285)"
4,78,,DD,T,28,79-78,131.3291705,3.3,315,"33⁰17'52"" RT",11.45285,78.48136,GOOD,GOOD,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48136 11.45285, 78.47931 11.45612)"
5,77,,DA,S,26,78-77,261.4808426,1.44,315,,11.45612,78.47931,GOOD,GOOD,LT LINE-2,,MANGO GARDAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47931 11.45612, 78.47681 11.45014)"
6,76,,DD,T,28,77-76,318.7988434,4.25,310,"49⁰16'5"" LT",11.45014,78.47681,GOOD,GOOD,LT LINE-1,TAR ROAD,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47681 11.45014, 78.47649 11.44827)"
7,75,,DA,S,26,76-75,209.895029,10.27,309,,11.44827,78.47649,GOOD,GOOD,LT LINE-1,TAR ROAD,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47649 11.44827, 78.47617 11.44613)"
8,74,,DB,T,24,75-74,239.4128409,11.35,309,"5⁰48'15"" LT",11.44613,78.47617,GOOD,GOOD,,TAR ROAD,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47617 11.44613, 78.47605 11.44351)"
9,73,,DA,S,26,74-73,290.2710311,9.08,311,,11.44351,78.47605,GOOD,GOOD,LT LINE-1,TAR ROAD,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47605 11.44351, 78.47595 11.44096)"
10,72,,DD,T,28,73-72,282.4388618,7.36,310,"39⁰27'55"" LT",11.44096,78.47595,GOOD,GOOD,,TAR ROAD,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47595 11.44096, 78.47706 11.43952)"
