Tower No,JOINT BOX,CIRCUIT,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,   Broken etc)",Ground Earth Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-79 LILO,2W,DC,LILO,T,32,,,2.29,2017,,76.81136111,11.40677778,GOOD,,NO,,,CULTIVATION,"NEED 4WAY JUCNTION BOX, WAY -1 FROM SANDYNALLA WAY -2 TO KATTABETU WAY -3 TO THUDIYALUR WAY -4 TO JAKATHALA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.81136111111111 11.406777777777778, 76.81138888888889 11.405972222222223)"
T.NO-1,,SC,SD,T,31,LILO-79-1,90.04998612,1.62,1998,"30°3'15.8""",76.81138889,11.40597222,GOOD,MISSING,NO,,,CULTIVATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.81138888888889 11.405972222222223, 76.80997222222221 11.40338888888889)"
T.NO-2,,SC,SB,T,27,1--2,324.3532025,0.7,1997,"4°30'57.0""",76.80997222,11.40338889,GOOD,GOOD,NO,"LT, 11KV",TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.80997222222221 11.40338888888889, 76.80905555555556 11.401388888888889)"
T.NO-3,,SC,SB,T,24,2--3,244.4994888,1.24,2018,"00°0'00.00""",76.80905556,11.40138889,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.80905555555556 11.401388888888889, 76.80761111111111 11.398055555555555)"
T.NO-4,,SC,SB,T,24,03-Apr,400.2324325,5.28,2100,"12°49'0.1""",76.80761111,11.39805556,GOOD,GOOD,NO,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.80761111111111 11.398055555555555, 76.80733333333333 11.396555555555555)"
T.NO-5,,SC,SB,T,24,04-May,167.5291019,5.1,2156,"11°39'7.6""",76.80733333,11.39655556,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.80733333333333 11.396555555555555, 76.80613888888888 11.393611111111111)"
T.NO-6,,SC,SC,T,26,05-Jun,352.8229018,5.12,2173,"17°6'30.4""",76.80613889,11.39361111,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.80613888888888 11.393611111111111, 76.80463888888889 11.391777777777778)"
T.NO-7,,SC,SB,T,24,06-Jul,258.9362856,4.38,2168,"00°0'00.00""",76.80463889,11.39177778,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.80463888888889 11.391777777777778, 76.80322222222222 11.389999999999999)"
T.NO-8,,SC,SB,T,24,07-Aug,250.8385935,3.9,2172,"00°0'00.00""",76.80322222,11.39,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.80322222222222 11.389999999999999, 76.80172222222222 11.388083333333332)"
T.NO-9,,SC,SB,T,24,08-Sep,268.6000745,3.62,2090,"00°0'00.00""",76.80172222,11.38808333,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.80172222222222 11.388083333333332, 76.79972222222221 11.385444444444444)"
T.NO-10,2W,SC,SC,T,26,09-Oct,365.2026835,4.4,2059,"14°41'23.8""",76.79972222,11.38544444,GOOD,GOOD,NO,2nos LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.79972222222221 11.385444444444444, 76.79855555555555 11.384527777777777)"
T.NO-11,,SC,SB,T,24,10-Nov,160.0781059,5.18,2000,"14°23'16.2""",76.79855556,11.38452778,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.79855555555555 11.384527777777777, 76.79511111111111 11.383027777777778)"
T.NO-12,,SC,SB,T,24,11-Dec,413.5565258,5.21,1979,"3°12'44.6""",76.79511111,11.38302778,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.79511111111111 11.383027777777778, 76.7935 11.382416666666668)"
T.NO-13,,SC,SD,T,28,Dec-13,186.4537476,3.42,1780,"46°11'43.0""",76.7935,11.38241667,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.7935 11.382416666666668, 76.79158333333334 11.383333333333333)"
T.NO-14,,SC,SD,T,28,13-14,233.0708047,2.6,1890,"34°5'25.8""",76.79158333,11.38333333,GOOD,GOOD,NO,LT,,HILLY,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.79158333333334 11.383333333333333, 76.78855555555555 11.382888888888889)"
T.NO-15,,SC,SC,T,26,14-15,334.0718486,2.48,2070,"25°34'56.4""",76.78855556,11.38288889,GOOD,GOOD,NO,"LT, 11KV",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.78855555555555 11.382888888888889, 76.78697222222222 11.381833333333335)"
T.NO-16,,SC,SB,T,24,15-16,206.3710251,2.62,2013,"4°45'28.7""",76.78697222,11.38183333,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.78697222222222 11.381833333333335, 76.78533333333333 11.380916666666668)"
T.NO-17,,SC,SB,T,24,16-17,207.3861133,3.2,1972,"3°52'7.6""",76.78533333,11.38091667,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.78533333333333 11.380916666666668, 76.78244444444444 11.379055555555556)"
T.NO-18,,SC,SB,T,24,17-18,377.1962354,2.94,1919,"00°0'00.00""",76.78244444,11.37905556,GOOD,GOOD,NO,LT,TAAR ROAD,HILLY,"BUSHES, MRC INDIAN ARMY CAMPUS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.78244444444444 11.379055555555556, 76.78033333333333 11.37775)"
T.NO-19,,SC,SB,T,24,18-19,270.7397274,3.42,1902,"4°8'50.2""",76.78033333,11.37775,GOOD,GOOD,NO,,TAAR ROAD,PLAIN,"BUSHES, MRC INDIAN ARMY CAMPUS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.78033333333333 11.37775, 76.77938888888889 11.377055555555556)"
