S.NO,Tower No,JOINT BOX,Tower Type ,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,DEVIYAKURICHI GANTRY,2W,GANTRY,T,20,,,,129,,11.5833,78.72356,,,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72356 11.5833, 78.72355 11.58297)"
2,1,,B,T,24,GANTRY-1,36.53381824,1.56,193,"5⁰36'52"" LT",11.58297,78.72355,GOOD,GOOD,,,RAILWAY CROSSING (AATUR TO VIRUTHACHALAM),AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72355 11.58297, 78.72366 11.58138)"
3,2,,B,T,24,01-Feb,176.356903,0.59,193,"11⁰46'35"" LT",11.58138,78.72366,GOOD,GOOD,," SAND ROAD CROSSING,TAR ROAD (1),FENCING CROSSING(1)",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72366 11.58138, 78.72405 11.58001)"
4,3,,C,T,26,02-Mar,157.4615393,2.35,190,"28⁰3'55"" RT",11.58001,78.72405,GOOD,GOOD,22KV LINE CROSSING,SAND ROAD CROSSING (1),,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72405 11.58001, 78.72358 11.5779)"
5,4,,A,S ,26,03-Apr,239.0557415,0.23,189,,11.5779,78.72358,GOOD,GOOD,LT LINE CROSSING,CANAL CROSSING (1),,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72358 11.5779, 78.72296 11.57538)"
6,5,,A,S ,26,04-May,286.9489176,0.59,190,,11.57538,78.72296,GOOD,GOOD,,"C ANAL CROSSING (1) ,SAND ROAD CROSSING (1),THRONE FOREST CROSSING ,FENCING CROSSING (2)",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72296 11.57538, 78.72238 11.57289)"
7,6,,B,T,24,05-Jun,282.7151769,2.29,191,"6⁰3'1"" LT",11.57289,78.72238,GOOD,GOOD,"LT LINE CROSSING 1  ,WIRE CABLE CROSSING 1",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72238 11.57289, 78.72208 11.57044)"
8,7,,A,S ,26,06-Jul,273.0838837,1.37,192,,11.57044,78.72208,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72208 11.57044, 78.72179 11.56799)"
9,8,,A,S ,26,07-Aug,272.9552904,0.54,192,,11.56799,78.72179,GOOD,GOOD,LT LINE CROSSING 1 ,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72179 11.56799, 78.72148 11.56559)"
10,9,,B,T,24,08-Sep,267.7273994,0.92,191,"0⁰48'36"" LT",11.56559,78.72148,GOOD,NO E//W,LT LINE CROSSING 1,SAND ROAD CROSSING (1),,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72148 11.56559, 78.72119 11.56306)"
11,10,,D,T,28,09-Oct,281.7502968,1.03,189,"52⁰33'43"" RT",11.56306,78.72119,GOOD,GOOD,"LT LINE CROSSING 1, 230KV LINE CROSSING(DKY TO  STCM S",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72119 11.56306, 78.71913 11.56184)"
12,11,,A,S ,26,10-Nov,262.2036637,1.28,205,,11.56184,78.71913,GOOD,GOOD,"22KV  LINE CROSSING 1,LT LINE CROSSING 1",TAR ROAD CROSSING (1),,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71913 11.56184, 78.71718 11.56063)"
13,12,,D,T,28,11-Dec,251.4000539,1.68,185,"39⁰4'3"" LT",11.56063,78.71718,GOOD,GOOD,LT LINE CROSSING 2,TAR ROAD CROSSING (1),,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71718 11.56063, 78.71655 11.5588)"
14,13,,A,S ,26,Dec-13,213.8566457,0.49,185,,11.5588,78.71655,GOOD,GOOD,LT LINE CROSSING 1,CANAL CROSSING (1),,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71655 11.5588, 78.71587 11.55672)"
15,14,,C,T,26,13-14,241.8359877,1.14,186,"27⁰25'46"" LT",11.55672,78.71587,GOOD,GOOD,LT LINE CROSSING 1,CANAL CROSSING (1),,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71587 11.55672, 78.71628 11.55432)"
16,15,,A,S ,26,14-15,269.3246534,0.51,187,,11.55432,78.71628,GOOD,GOOD,LT LINE CROSSING 1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71628 11.55432, 78.71669 11.55203)"
17,16,2W,B,T,24,15-16,257.3291239,0.78,187,"12⁰32'14"" RT",11.55203,78.71669,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71669 11.55203, 78.71658 11.54957)"
18,17,,A,S ,26,16-17,272.4867386,3.68,185,,11.54957,78.71658,GOOD,GOOD,"LT LINE CROSSING 2,22KV LINE CROSSING 2",TAR ROAD CROSSING (1),,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71658 11.54957, 78.71649 11.54746)"
19,18,,A,S ,26,17-18,233.697859,2.33,185,,11.54746,78.71649,GOOD,GOOD,LT LINE CROSSING 1,"TAR ROAD CROSSING (1),SAND ROAD CROSSING(2),CANAL CROSSING(1)",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71649 11.54746, 78.71642 11.54531)"
20,19,,C,T,26,18-19,238.0403594,1.56,185,"21⁰13'34"" LT",11.54531,78.71642,GOOD,GOOD,LT LINE CROSSING 1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71642 11.54531, 78.71733 11.54276)"
21,20,2W,B,T,24,19-20,299.1439473,7.26,186,"1⁰00'37"" RT",11.54276,78.71733,GOOD,NO E//W,LT LINE CROSSING 2,"CANAL CROSSING (1),SAND ROAD CROSSING (1)",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71733 11.54276, 78.71828 11.53994)"
22,21,2W,B,T,24,20-21,328.8279443,0.78,189,"10⁰55'51"" LT",11.53994,78.71828,GOOD,GOOD,"LT LINE CROSSING 1, 400KV LINE CROSSING(NKL-SLM)",SAND ROAD CROSSING (1),,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71828 11.53994, 78.71976 11.53734)"
23,22,,A,S ,26,21-22,329.9435931,0.48,187,,11.53734,78.71976,GOOD,GOOD,,SAND ROAD CROSSING (1),,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71976 11.53734, 78.72121 11.53472)"
24,23,,B,T,24,22-23,330.2948668,0.21,185,"0⁰22'44"" RT",11.53472,78.72121,GOOD,GOOD,LT LINE CROSSING (1),"SAND ROAD CROSSING (1),FENCING CROSSING (4)",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72121 11.53472, 78.72261 11.53215)"
25,24,,D,T,28,23-24,322.8316623,1.08,182,"38⁰28'38"" RT",11.53215,78.72261,GOOD,GOOD,LT LINE CROSSING 1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72261 11.53215, 78.72207 11.5292)"
