S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 13  LILO ANTHIYUR ,,T,DC,26,,,4.86,226,,77.39636111,11.51380556,GOOD,GOOD,,,PLAIN,ANTHIYUR LILO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39636111111112 11.513805555555555, 77.39727777777779 11.51475)"
2,T.NO 94,,T,DB,24,13-94,146.3864748,3.28,229,"7°22'36""",77.39727778,11.51475,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39727777777779 11.51475, 77.39916666666667 11.516194444444444)"
3,T.NO 93,,T,DB,24,94-93,260.4995202,4.87,227,"1°34'12""",77.39916667,11.51619444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39916666666667 11.516194444444444, 77.40108333333333 11.517750000000001)"
4,T.NO 92,,T,DC,26,93-92,269.0074348,10.55,234,"29°13'3""",77.40108333,11.51775,GOOD,GOOD,LT-2,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40108333333333 11.517750000000001, 77.40327777777779 11.51813888888889)"
5,T.NO 91,,T,DD,28,Sep-91,245.3507693,6.92,232,"47°47'58""",77.40327778,11.51813889,GOOD,GOOD,HT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40327777777779 11.51813888888889, 77.40480555555555 11.520472222222223)"
6,T.NO 90,,S,DA,26,91-90,306.5566832,16.22,236,,77.40480556,11.52047222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40480555555555 11.520472222222223, 77.40627777777779 11.522861111111112)"
7,T.NO 89,2W,T,DD,28,90-89,309.7385995,4.52,240,"45°24'17""",77.40627778,11.52286111,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40627777777779 11.522861111111112, 77.4085 11.523361111111113)"
8,T.NO 88,,T,DB,24,89-88,249.595673,13.47,232,"1°4'17""",77.4085,11.52336111,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4085 11.523361111111113, 77.40944444444445 11.5235)"
9,T.NO 87,,S,DA,26,88-87,104.3934864,15.41,238,,77.40944444,11.5235,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40944444444445 11.5235, 77.41183333333333 11.52413888888889)"
10,T.NO 86,,S,DA,26,87-86,268.5553947,13.73,249,,77.41183333,11.52413889,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41183333333333 11.52413888888889, 77.41372222222223 11.524638888888889)"
11,T.NO 85,,T,DB,24,86-85,215.6687275,3.56,245,"3°5'17""",77.41372222,11.52463889,GOOD,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41372222222223 11.524638888888889, 77.41619444444446 11.525111111111112)"
12,T.NO 84,,S,DA,26,85-84,275.3470537,14.01,237,,77.41619444,11.52511111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41619444444446 11.525111111111112, 77.41905555555556 11.525611111111113)"
13,T.NO 83,,S,DA,26,84-83,314.5822627,10.71,239,,77.41905556,11.52561111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41905555555556 11.525611111111113, 77.42180555555557 11.526111111111112)"
14,T.NO 82,,S,DA,26,83-82,305.5552323,3.36,235,,77.42180556,11.52611111,GOOD,GOOD,"LT,HT",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42180555555557 11.526111111111112, 77.42436111111111 11.526555555555557)"
