Tower No,JOINT BOX,Tower Type,Tower Type(S/T),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
K.R.Thoppur Gantry,2W,,T,15,Gantry,,,,,11.66873742,78.00597273,GOOD,GOOD,,,,K.R.Thoppur SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00597272508588 11.66873742135349, 78.00592470774822 11.668542268015297)"
1,,SA,T,24,Gantry to 1,26,1.15,255.748199,,11.66854227,78.00592471,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00592470774822 11.668542268015297, 78.00574670793789 11.66835927147419)"
1A,,SB,T,24,1-1A,0.001963857,1.1,257.375702," 12d45'23""LT",11.66835927,78.00574671,GOOD,GOOD,,CARTRACK,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00574670793789 11.66835927147419, 78.0051997085901 11.667463274024756)"
2,,SC,T,24,1A-2,0.002887181,4.59,251.942734,"15d45'18""LT",11.66746327,78.00519971,GOOD,GOOD,"HT-1,LT-1",ROAD-1,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0051997085901 11.667463274024756, 78.00447371026934 11.664844273810502)"
3,2W,SD,T,28,02-Mar,0.00211348,4.35,249.596252,"61d12'21""RT",11.66484427,78.00447371,GOOD,GOOD,LT-1,ROAD-1,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00447371026934 11.664844273810502, 78.00192371399065 11.664240269934854)"
4,,SA,S,26,03-Apr,0.002711308,1.32,254.064667,,11.66424027,78.00192371,GOOD,GOOD,400KV ,,PLAIN,Power Grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00192371399065 11.664240269934854, 77.9996132831715 11.663562275701215)"
5,,SA,S,26,4-5',263,2.27,251.482727,,11.66356228,77.99961328,GOOD,GOOD,"LT-3,HT-1,400KV",ROAD-1,PLAIN,Power Grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9996132831715 11.663562275701215, 77.99794928619943 11.664605275334717)"
6,,SD,T,28,05-Jun,0.00242611,1.29,248.852661,"58d21'52""LT",11.66460528,77.99794929,GOOD,GOOD,LT-1,CARTRACK-1,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99794928619943 11.664605275334717, 77.99534528999688 11.66335827245474)"
7,2W,SB,T,24,06-Jul,0.001675821,0.5,240.241928," 11d58'50""RT",11.66335827,77.99534529,GOOD,GOOD,230KV,,PLAIN,MTPS I-K.R.Thoppur I&II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99534528999688 11.66335827245474, 77.99329229302198 11.662856274212558)"
8,,SB,T,24,07-Aug,0.001885565,5,247.438995," 14d41'26""LT",11.66285627,77.99329229,GOOD,GOOD,LT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99329229302198 11.662856274212558, 77.99090429716773 11.661572269808833)"
9,,SA,S,26,08-Sep,0.00231467,4.5,251.154816,,11.66157227,77.9909043,GOOD,GOOD,LT-2,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99090429716773 11.661572269808833, 77.98847830090364 11.6602902702796)"
9A,,SA,S,26,9-9A,0.001905233,4.6,248.406067,,11.66029027,77.9884783,GOOD,GOOD,LT-2,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98847830090364 11.6602902702796, 77.98634530423631 11.659134271000438)"
10,,SA,S,26,9A-10,0.002058782,0.75,248.078247,,11.65913427,77.9863453,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98634530423631 11.659134271000438, 77.9848733060519 11.658333273811268)"
11,,SA,S,26,10-Nov,0.00208244,3.53,244.127197,,11.65833327,77.98487331,GOOD,GOOD,LT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9848733060519 11.658333273811268, 77.98321530900672 11.657435276267975)"
12 LILO,3W,SB,T,24,11-Dec,0.002054683,2.5,242.734436," 3d37'1""RT",11.65743528,77.98321531,GOOD,GOOD,,,PLAIN,K.R.Thoppur to Vembadithalam direct line Tapping to Ettikuttamedu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98321530900672 11.657435276267975, 77.9811123122283 11.656468269154711)"
13,,SB,T,24,Dec-13,0.002150762,18.16,240.559204,"6d51'21""LT",11.65646827,77.98111231,GOOD,GOOD,LT-2,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9811123122283 11.656468269154711, 77.97948631443704 11.655475272143981)"
14,,SA,S,26,13-14,0.001993269,7.9,241.442734,,11.65547527,77.97948631,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97948631443704 11.655475272143981, 77.97773231691606 11.654397276183934)"
15,,SC,T,26,14-15,0.001937934,9. 80,242.051758," 15d16'9""RT",11.65439728,77.97773232,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97773231691606 11.654397276183934, 77.97573432027934 11.653810278434875)"
16,,SB,T,24,15-16,0.002466737,5.61,239.858368,"13d7'29""LT",11.65381028,77.97573432,GOOD,GOOD,LT-1,ROAD-1,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97573432027934 11.653810278434875, 77.97394332260619 11.652803278249635)"
17,,SA,S,26,16-17,0.002808296,7.8,234.501465,,11.65280328,77.97394332,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97394332260619 11.652803278249635, 77.97207532518729 11.651737274481926)"
18,,SA,S,26,17-18,0.002708562,4.75,236.36087,,11.65173727,77.97207533,GOOD,GOOD,HT-1,CARTRACK-1,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97207532518729 11.651737274481926, 77.97033232791645 11.650770277564526)"
19,,SC,T,26,18-19,0.002795653,5.2,244.094406,"24d13'5""RT",11.65077028,77.97033233,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97033232791645 11.650770277564526, 77.96840433135104 11.650574275724843)"
20,,SA,S,26,19-20,0.001517695,6.15,234.462646,,11.65057428,77.96840433,GOOD,GOOD,LT-2,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96840433135104 11.650574275724843, 77.96594733512056 11.650355273647605)"
21,,SA,S,26,20-21,0.002926678,7.8,235.05719,,11.65035527,77.96594734,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96594733512056 11.650355273647605, 77.9631523392124 11.650082277168131)"
22,,SA,S,26,21-22,0.002829804,1.3,235.468201,,11.65008228,77.96315234,GOOD,GOOD,HT-1,ROAD-1,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9631523392124 11.650082277168131, 77.96045434299882 11.6498432724312)"
23,,SA,S,26,22-23,0.002086843,4.45,237.487335,,11.64984327,77.96045434,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96045434299882 11.6498432724312, 77.95767234693882 11.649567277091899)"
