Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
NALLUR GANTRY,2W,Gantry,T,20,,,,,202,,11.25834,77.94994,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94994 11.25834, 77.94977 11.2583)"
57(B:K:III),,D,T,24,GANTRY-57,28,19.09944543,0.8,204,"612'24""  LT",11.2583,77.94977,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94977 11.2583, 77.94778 11.2576)"
56(LILO),,D,T,28,57-56 lilo ,233,230.8788012,0.47,210,"8125'20"" LT",11.2576,77.94778,GOOD,GOOD,"LT-2,22KV LINE CROSSING-2",HIGHWAY CROSSING (TIRUCHENGODE TO KARUR),TOWER INSIDE SUB STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94778 11.2576, 77.94827 11.25512)"
55,,D,T,28,56 lilo -55,282,279.7446894,0.69,209,"4938'31""  LT",11.25512,77.94827,GOOD,GOOD,"LT-1 ,22KV-1",SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94827 11.25512, 77.95029 11.254)"
54,,D,T,28,55-54,257,253.2050825,1.37,202,"5558'30""  RT",11.254,77.95029,GOOD,GOOD,22KV-2,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95029 11.254, 77.95052 11.25124)"
53,,A,S,26,54-53,111,306.6038933,4.76,198,"1355'1""  RT",11.25124,77.95052,GOOD,GOOD,"22KV LINE CROSSING, ZIG ZAG LAND",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95052 11.25124, 77.95005 11.24838)"
52,,A,S,26,53-52,325,320.7824799,0.93,201,,11.24838,77.95005,GOOD,GOOD,LT LINE CROSSING,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95005 11.24838, 77.94963 11.24617)"
51,,B,T,24,52-51,252,248.9471462,1.38,205,"73'46""  LT",11.24617,77.94963,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94963 11.24617, 77.94949 11.24395)"
50,,A,S,26,51-50,247,246.2614886,0.47,203,,11.24395,77.94949,GOOD,GOOD,LT-1,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94949 11.24395, 77.9493 11.24179)"
49,,A,S,26,50-49,243,240.042656,3.59,196,,11.24179,77.9493,GOOD,GOOD,,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9493 11.24179, 77.94913 11.23907)"
48,,B,T,24,49-48,305,301.7152807,4.07,196,"1015'11""  LT",11.23907,77.94913,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94913 11.23907, 77.94937 11.23706)"
47,,B,T,24,48-47,226,224.0761584,0.17,192,"042'21""   LT",11.23706,77.94937,GOOD,GOOD,"765KV LINE CROSSING(CVP-DPI), CLEARENCE 5M(T.NO 684-683)",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94937 11.23706, 77.94972 11.23441)"
46,,A,S,26,47-46,298,295.8759844,0.36,190,,11.23441,77.94972,GOOD,GOOD,"LT-1,22KV-1",TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94972 11.23441, 77.94997 11.23203)"
45,,A,S,26,46-45,266,264.9127971,0.76,188,,11.23203,77.94997,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94997 11.23203, 77.95039 11.22952)"
44,,A,S,26,45-44,287,281.6587828,1.18,192,,11.22952,77.95039,GOOD,GOOD,LT-2,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95039 11.22952, 77.95065 11.22761)"
43,,A,S,26,44-43,220,213.3651608,2.25,198,,11.22761,77.95065,GOOD,GOOD,"LT-1,22KV-1",TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95065 11.22761, 77.95097 11.22516)"
42,2W,B,T,24,43-42,283,273.4956392,0.26,204,"044'58""  LT",11.22516,77.95097,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95097 11.22516, 77.9513 11.22287)"
41,,A,S,26,42-41,261,256.0885703,0.47,200,,11.22287,77.9513,GOOD,GOOD,LT-1,SAND ROAD CROSSING,ROCK WALL CROSSING-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9513 11.22287, 77.95165 11.22015)"
40,,A,S,26,41-40,304,303.5630865,0.29,202,,11.22015,77.95165,GOOD,GOOD,,TOWER INSIDE IN A COMPOUND WALL,SMALL FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95165 11.22015, 77.95198 11.21796)"
