Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
323,T,24,324 to323 ,292.4979241294405,5.33,278,"0°19'43"" LT",11.17518,77.6132,GOOD,GOOD,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6132 11.17518, 77.6133 11.17323)"
322,S,26,323 to 322 ,216.10884086255592,6.21,275,,11.17323,77.6133,GOOD,GOOD,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6133 11.17323, 77.6134 11.17129)"
321,S,26,322 to 321 ,215.003427369229,5.91,270,,11.17129,77.6134,GOOD,GOOD,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6134 11.17129, 77.61355 11.16847)"
320,S,26,321 to 320 ,312.55693079683505,6.11,267,,11.16847,77.61355,GOOD,GOOD,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61355 11.16847, 77.61368 11.16579)"
319,S,26,320 to 319 ,296.971111475843,5.55,265,,11.16579,77.61368,GOOD,GOOD,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61368 11.16579, 77.61382 11.1631)"
318,S,26,319 to 318 ,298.1307648691586,5.35,262,,11.1631,77.61382,GOOD,GOOD,"LT,11 kv line crossing ","Tar Road ,Sand Road",plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61382 11.1631, 77.61392 11.16084)"
317,S,26,318 to 317 ,250.38271157542673,5.3,260,,11.16084,77.61392,GOOD,GOOD,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61392 11.16084, 77.61405 11.15823)"
316,S,26,317 to 316 ,289.2323657175778,3.1,258,,11.15823,77.61405,GOOD,GOOD,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61405 11.15823, 77.61421 11.1552)"
315,T,28,316 to 315 ,335.8257112690883,6.4,274,"31°33'30"" RT",11.1552,77.61421,GOOD,GOOD,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61421 11.1552, 77.6133 11.15355)"
314,S,26,315 to 314 ,207.9543092978412,6.9,256,,11.15355,77.6133,GOOD,GOOD,Lt-2-11 kv line crossing ,Tar Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6133 11.15355, 77.61218 11.1516)"
