Tower No,JOINT BOX,Tower Type & Supspension/Tenion,,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
HOSUR GANTRY,2W,T,T,20,,,,,880M,,12.7275,77.8129,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8129 12.7275, 77.81315 12.72733)"
HM 290 ,,NA(T),DC,34,HOSUR GANTRY- HM 290,39,33.0528562,3.45,888,"28°35'25""(LT)",12.72733,77.81315,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81315 12.72733, 77.81353 12.72729)"
HM DP01,,NA(T),DC,34,HM 290-HM DP01,,41.53665444,2.21,888,"16°52'42""(RT)",12.72729,77.81353,Good,Good,,,,LINE CROSSING FOR HOSUR SUBSTATION INSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81353 12.72729, 77.81389 12.72714)"
HM DP 02,,NA(T),DB,32,HM DP 01-HM DP 02,,42.50468564,75.01,888,"14°22'45""(RT)",12.72714,77.81389,Good,Good,"220KV LINE CROSSING,220KV LINE GO FOR 110KV GOAHEAD CLEARENCE FOR 4M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81389 12.72714, 77.81405 12.72702)"
HH 289,,DP 2(T),DC,34,HM DP 02-HH 289,39,21.88368028,17.5,887,"25°11'05""(LT)",12.72702,77.81405,Good,Good,,,,WIRE CABLE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81405 12.72702, 77.81537 12.72674)"
HH288,,DPI (T),DB,32,HH 289- HH 288,113,146.7741746,1.57,886,"00°00'00""",12.72674,77.81537,Good,Good,"11KV- 1,LT LINE 11",TAR ROAD CROSSING OUTER RING ROAD TO HOSUR CITY ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81537 12.72674, 77.8185 12.72603)"
HM 287,,MA (T),DB,32,HH 288-HM 287,270,349.1465906,-207,886,"10°32'08""(RT)",12.72603,77.8185,Good,Good,11KV CROSSING(NO CROSSING),LAKE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8185 12.72603, 77.82037 12.72523)"
HM 286,,NA(S),DA,34,HM 287-HM 286,210,221.7017514,2.41,888,"07°05'42""(LT)",12.72523,77.82037,Good,Good,,SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82037 12.72523, 77.82344 12.72434)"
HM 285,,AXP (S),DA,34,HM 286- HM 285,210,347.9103198,4.09,894,"04°01'41""(RT)",12.72434,77.82344,Good,Good,LT LINE -6,"APPARTMENT AREA,APPARTMENT ROAD CROSSING",,"11KV LINE CROSSING,TAR ROAD(CITY ROAD TO OUTER RING ROAD)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82344 12.72434, 77.82554 12.72357)"
HM 284,,LN S(T),DC,34,HM 285-HM 284,210,243.6421646,,403,"16°51'45""(LT)",12.72357,77.82554,Good,Good,LT LINE(B),TAR ROAD CROSSING(CITY ROAD TO OUTER ROAD) APPARTMENT AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82554 12.72357, 77.8286 12.72338)"
HM 283,,NA(S),DA,34,HM 284-HM 283,310,333.246274,1.68,339,"00°00'00""",12.72338,77.8286,Good,Good,"LT LINE 4,11KV LINE CROSSING,WIRE CABLE CROSSING (T)",CEMENT ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8286 12.72338, 77.83173 12.7232)"
HM 282,,NA(T),DC,34,HM 2983-HM 282,332,340.774099,5.41,892,"23°18'44""(LT)",12.7232,77.83173,Good,Good,"11KV-(S),LT LINE(S) WIRE CABLE CROSSING",CEMENT ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83173 12.7232, 77.83288 12.72361)"
HM 281 (LILO POINT),3W,NA(T),DD,36,HM 282-HM 281,180,132.9777672,1.47,897,"58°30'58""(LT)",12.72361,77.83288,Good,Good,LT LINE CROSSING 2,TAR ROAD CROSSING,,HOSUR 110KV LINE ONSIDE CIRCUIT GOING MINNAGAR SUBSTATION THEN ANOTHER SIDE TO KARIYAMANGALAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83288 12.72361, 77.83318 12.72463)"
HM SP 1,,NA(T),DD,36,HM 281-SP 1,,105.5342168,5.17,892,"76°35'31""(RT)",12.72463,77.83318,NO EARTH WIRE,NO EARTH WIRE,"LT (3),11KV (4), NO EARTH WIRE, CLEARENCE NOT COMING,220KV  LINE CROSSING 110KV GOAHEAD CLEARENCE NOT COMING","TAR ROAD CROSSING,OUTER RING ROAD TO CITY ROAD,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83318 12.72463, 77.83326 12.72455)"
MINNAGAR GANTRY,2W,T,T,20,SP1-MINNAGAR GANTRY,,20.22667833,,892,,12.72455,77.83326,NO EARTH WIRE,NO EARTH WIRE,,"POWER LINE (1),TOWER FOR MINNAGAR SS INSIDE, (2)NO WIRE(EARTH WIRE)ONLY CIRCUIT GOING",,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
