Tower No,JOINT BOX,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 19/1 PODANUR LILO,3W,T,DB,24,18-19/1,101.1928851,7.17,398,"14°54'35""",77.01775,10.91427778,GOOD,GOOD,,,CULTI VACTION LAND,PODANUR LILO.NEED  3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01774999999999 10.914277777777778, 77.02022222222222 10.915861111111111)"
T.NO 20,,T,DC,26,19-01-2020,322.0093166,5.36,386,"22°58'12""",77.02022222,10.91586111,GOOD,GOOD,"HT,LT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02022222222222 10.915861111111111, 77.02286111111111 10.916305555555557)"
T.NO 21,,S,DA,26,20-21,292.3080567,4.34,397,,77.02286111,10.91630556,GOOD,GOOD,,CEMENT ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02286111111111 10.916305555555557, 77.02616666666667 10.916888888888888)"
T.NO 22,,T,DB,24,21-22,368.5172995,4.83,392,"10°17'3""",77.02616667,10.91688889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02616666666667 10.916888888888888, 77.02872222222223 10.917833333333332)"
T.NO 23,,S,DA,26,22-23,298.1040087,4.34,399,,77.02872222,10.91783333,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02872222222223 10.917833333333332, 77.03119444444444 10.91875)"
T.NO 24,,T,DB,36,23-24,288.6243233,5.12,404,"5°26'11""",77.03119444,10.91875,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03119444444444 10.91875, 77.03344444444444 10.919805555555556)"
T.NO 25,2W,T,DB,36,24-25,272.8094573,6.04,410,"1°19'58""",77.03344444,10.91980556,GOOD,GOOD,"LT,HT","NON ELECTRICAL RAILWAY, 2nos TAAR ROAD",PLAIN,NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03344444444444 10.919805555555556, 77.03555555555555 10.920888888888888)"
T.NO 26,,S,DA,26,25-26,260.3094313,6.43,419,,77.03555556,10.92088889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03555555555555 10.920888888888888, 77.03758333333333 10.921805555555554)"
T.NO 27,,S,DA,26,26-27,244.247825,6.18,413,,77.03758333,10.92180556,GOOD,GOOD,LT,"MUD ROAD,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03758333333333 10.921805555555554, 77.03966666666666 10.922888888888888)"
T.NO 28,,S,DA,26,27-28,256.7664308,4.32,415,,77.03966667,10.92288889,GOOD,GOOD,2nos LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03966666666666 10.922888888888888, 77.04166666666667 10.923944444444444)"
T.NO 29,,T,DD,28,28-29,248.4552274,5.14,424,"42°40'2""",77.04166667,10.92394444,GOOD,GOOD,,MUD ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04166666666667 10.923944444444444, 77.04263888888889 10.926638888888888)"
T.NO 30,,S,DA,26,29-30,313.7387448,5.15,426,,77.04263889,10.92663889,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04263888888889 10.926638888888888, 77.0436111111111 10.92925)"
T.NO 31,,S,DA,26,30-31,308.4234103,4.76,430,,77.04361111,10.92925,GOOD,GOOD,3nos HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0436111111111 10.92925, 77.04483333333333 10.9325)"
T.NO 32,,S,DA,26,31-32,382.7531842,6.21,427,,77.04483333,10.9325,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04483333333333 10.9325, 77.04575 10.934805555555556)"
T.NO 33,,S,DA,26,32-33,275.9855069,4.92,428,,77.04575,10.93480556,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04575 10.934805555555556, 77.04683333333332 10.937694444444444)"
T.NO 34,,S,DA,26,33-34,339.7793402,6.31,427,,77.04683333,10.93769444,GOOD,GOOD,"LT,HT",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04683333333332 10.937694444444444, 77.04780555555556 10.94036111111111)"
T.NO 35,,T,DC,26,34-35,315.0142854,5.82,430,"22°25'49""",77.04780556,10.94036111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04780555555556 10.94036111111111, 77.04936111111111 10.942027777777778)"
T.NO 36,,S,DA,26,35-36,250.5713471,7.21,431,,77.04936111,10.94202778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04936111111111 10.942027777777778, 77.05091666666667 10.943694444444445)"
T.NO 37 T-off,2W,T,DB,24,36-37 TF,251.3105648,6.18,433,"1°25'38""",77.05091667,10.94369444,GOOD,GOOD,,,PLAIN,T-OFF FOR PRIVATE COMPANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05091666666667 10.943694444444445, 77.053 10.94575)"
T.NO 38,,S,DA,26,37-38,321.7530109,6.78,440,,77.053,10.94575,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.053 10.94575, 77.05455555555555 10.947416666666667)"
T.NO 39,,S,DA,26,38-39,249.7779013,6.12,441,,77.05455556,10.94741667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05455555555555 10.947416666666667, 77.05633333333333 10.949222222222222)"
T.NO 40,,S,DA,26,39-40,280.1035523,6.18,440,,77.05633333,10.94922222,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05633333333333 10.949222222222222, 77.05797222222222 10.950916666666666)"
T.NO 41,,S,DA,26,40-41,258.172423,4.02,437,,77.05797222,10.95091667,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05797222222222 10.950916666666666, 77.05983333333333 10.952805555555555)"
T.NO 42,,S,DA,26,41-42,292.8275943,6.86,436,,77.05983333,10.95280556,GOOD,GOOD,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05983333333333 10.952805555555555, 77.06177777777778 10.954777777777776)"
T.NO 43,,S,DA,26,42-43,302.6945655,5.96,432,,77.06177778,10.95477778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06177777777778 10.954777777777776, 77.06386111111111 10.95686111111111)"
T.NO 44/1 PATTANAM LILO,3W,T,DB,24,43-44/1,324.5997535,7.26,423,"0°52'23""",77.06386111,10.95686111,GOOD,GOOD,LT,,PLAIN,PATTANAM LILO. NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06386111111111 10.95686111111111, 77.06566666666666 10.958749999999998)"
T.NO 45,,T,DC,26,44/1-45,287.987847,8.51,423,"28°31'43""",77.06566667,10.95875,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06566666666666 10.958749999999998, 77.06819444444444 10.959555555555555)"
T.NO 46,,S,DA,26,45-46,290.9467305,6.32,423,,77.06819444,10.95955556,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06819444444444 10.959555555555555, 77.07019444444444 10.960166666666666)"
T.NO 47,,S,DA,26,46-47,227.0594636,5.32,423,,77.07019444,10.96016667,GOOD,GOOD,,MUD ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07019444444444 10.960166666666666, 77.07241666666667 10.960916666666666)"
T.NO 48,,S,DA,26,47-48,257.7692767,4.52,326,,77.07241667,10.96091667,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07241666666667 10.960916666666666, 77.07505555555555 10.961777777777778)"
T.NO 49,,S,DA,26,48-49,305.7924132,6.31,408,,77.07505556,10.96177778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07505555555555 10.961777777777778, 77.07674999999999 10.962333333333333)"
T.NO 50,,S,DA,26,49-50,194.4865034,5.61,408,,77.07675,10.96233333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07674999999999 10.962333333333333, 77.07869444444444 10.962972222222222)"
T.NO 51,,S,DA,26,50-51,221.677694,5.62,406,,77.07869444,10.96297222,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07869444444444 10.962972222222222, 77.08063888888888 10.96361111111111)"
