Tower No,Tower Type,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs)As per tower schedule ,Span length (mtrs),Difference (T Schedule - Span length Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Latitude,Longitude,,,,,Horizontal Angle(˚),"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,,,,,,,
11,HCR/ T,T,24.64,10 TO 11,266,268.524959681054,=F17-G17,3.1,462,12.30189,78.19267,,,,,14⁰59′59″,GOOD,GOOD,LT LINECROSSING ,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19267 12.30189, 78.19009 12.30192)",,,,,,,,,,,,,,,,,,,
12,GCR/S ,S,25.64,11 TO 12,285,280.883793405319,=F18-G18,4,466,12.30192,78.19009,,,,,,GOOD,GOOD,11KV LINE CROSSING ,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19009 12.30192, 78.18753 12.30199)",,,,,,,,,,,,,,,,,,,
13,HCR/ S,S,24.64,12 TO 13 ,276,278.79517917603465,=F19-G19,4.3,465,12.30199,78.18753,,,,,,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18753 12.30199, 78.1851 12.30204)",,,,,,,,,,,,,,,,,,,
14,GCR/S ,S,25.64,13 TO 14,265,264.5937465661665,=F20-G20,6,469,12.30204,78.1851,,,,,,GOOD,GOOD,LT LINE CROSSING ,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1851 12.30204, 78.18227 12.30208)",,,,,,,,,,,,,,,,,,,
15,GCR/S ,S,25.64,14 TO 15,303,308.11327265622566,=F21-G21,5.3,471,12.30208,78.18227,,,,,,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18227 12.30208, 78.17973 12.30312)",,,,,,,,,,,,,,,,,,,
16,GCR/S ,S,25.64,15 TO 16,300,299.52487502277893,=F22-G22,4.4,470,12.30312,78.17973,,,,,,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17973 12.30312, 78.17735 12.30405)",,,,,,,,,,,,,,,,,,,
17,HCR/S ,S,24.64,16 TO17 ,280,278.80064594573724,=F23-G23,5.6,467,12.30405,78.17735,,,,,,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17735 12.30405, 78.17458 12.30516)",,,,,,,,,,,,,,,,,,,
18,GCR/S ,S,25.64,17 TO 18 ,325,325.62708485732963,=F24-G24,4.3,462,12.30516,78.17458,,,,,,GOOD,GOOD,LT LINE CROSSING ,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17458 12.30516, 78.17277 12.30588)",,,,,,,,,,,,,,,,,,,
19,GCR/T ,T,25.64,18 TO 19  ,217,212.55312081285942,=F25-G25,4.5,462,12.30588,78.17277,2W,,,,0⁰29′59″  LT,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17277 12.30588, 78.17014 12.3069)",,,,,,,,,,,,,,,,,,,
20,GCR/S ,S,25.64,19 TO 20 ,301,307.7720599504108,=F26-G26,5.5,448,12.3069,78.17014,,,,,,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17014 12.3069, 78.16817 12.30767)",,,,,,,,,,,,,,,,,,,
