Tower No,JOINT BOX,Circuit,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Ground Earth Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-LILO79 KATABETU,,DC,DD,T,34,,,2.29,2017,,76.81136111,11.40677778,GOOD,MISSING,NO,,,CULTIVATION,"NO EARTH WIRE,NEED 4WAY JUCNTION BOX, WAY -1 FROM SANDYNALLA WAY -2 TO KATTABETU WAY -3 TO THUDIYALUR WAY -4 TO JAKATHALA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.81136111111111 11.406777777777778, 76.81130555555555 11.407)"
DP SWITCH,,DP,DP,DP,20,LILO-79-DP SWITCH,23.40939982,4.88,2024,"3°26'44""",76.81130556,11.407,GOOD,MISSING,NO,,,CULTIVATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.81130555555555 11.407, 76.81105555555555 11.407527777777778)"
DP-1,,DP,DP,DP,20,DP SWITCH-DP1,65.3911309,6.11,2037,"3°8'11""",76.81105556,11.40752778,GOOD,MISSING,NO,,,CULTIVATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.81105555555555 11.407527777777778, 76.81086111111111 11.407916666666667)"
DP SWITCH,,DP,DP,DP,20,DP-1-DP SWITCH,46.95742753,9.47,2049,"60°43'29""",76.81086111,11.40791667,GOOD,MISSING,NO,110KV SC LINE IS ABOVE OUR LINE,,CULTIVATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.81086111111111 11.407916666666667, 76.81105555555555 11.408166666666666)"
T.NO-2,,SC,SB,T,24,DP SWITCH-T.NO-2,33.83784863,15.55,2051,"13°45'4""",76.81105556,11.40816667,GOOD,MISSING,NO,2nos 11KV,,PLAIN,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.81105555555555 11.408166666666666, 76.81133333333334 11.408416666666668)"
DP-3,,DP,DP,DP,20,T.NO-2-DP-3,41.77319715,12.86,2044,"9°41'52""",76.81133333,11.40841667,GOOD,MISSING,NO,"LT, 11KV",TAAR ROAD,PLAIN,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.81133333333334 11.408416666666668, 76.81219444444444 11.408944444444446)"
DP-4,,DP,DP,DP,20,DP-3-DP-4,110.1362792,7.56,2034,"2°52'52""",76.81219444,11.40894444,GOOD,MISSING,NO,,TAAR ROAD,PLAIN,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.81219444444444 11.408944444444446, 76.81255555555555 11.409194444444445)"
T.NO-5,,SC,SD,T,28,DP-4-T.NO-5,50.21951812,10.6,2039,"40°6'24""",76.81255556,11.40919444,GOOD,MISSING,NO,230KV DC LINE IS ABOVE OUR LINE,,PLAIN,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.81255555555555 11.409194444444445, 76.81266666666666 11.409611111111111)"
T.NO-6 LILO KOTAGIRI&BB2,3W,DC,DD,T,28,T.NO-5-6,47.5394573,7.29,2034,"88°11'0""",76.81266667,11.40961111,GOOD,GOOD,NO,,,HILL,"ROCK, 3 EARTH WIRE. 1 E/W CONTINUE TO OUR T.NO-6A, 2 E/WIRE CONNECT TO 110KV BB2, 3 E/W CONNECT TO KOTAGIRI T.NO-7 NEED 4 WAY JUCTION BOX, 3 FEEDER ON THIS TOWER (FEEDER 1.KOTAGIRI 2.KATTABETU 3.BB-2 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.81266666666666 11.409611111111111, 76.81288888888889 11.409583333333334)"
T.NO-6A,,DC,DC,T,26,T.NO-6-6A,22.56102835,2.73,2026,"27°19'52""",76.81288889,11.40958333,GOOD,GOOD,NO,,,HILL,ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.81288888888889 11.409583333333334, 76.81333333333333 11.409194444444445)"
GANTRY 110KV KATABETU,2W,GANTRY,,GANTRY,20,6A-GANTRY,66.70832032,,2000,,76.81333333,11.40919444,GOOD,MISSING,,,,SS,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
