Tower No,JOINT BOX,Tower Type,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance,Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
4,,SD,T,28,03-Apr,236,233.672737,0.36,221,"33°15'38""(LT)",11.34442,77.95152,GOOD,GOOD,FENCING CROSSING-2,SAND ROAD CROSSING-2,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95152 11.34442, 77.95303 11.34226)"
5,,SA,S,26,04-May,294,290.5294556,0.78,218,,11.34226,77.95303,GOOD,GOOD,"LT-1, 22KV-1",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95303 11.34226, 77.95464 11.34003)"
6,,SB,T,24,05-Jun,305,303.1488042,0.24,214,"06°13'07""(LT)",11.34003,77.95464,GOOD,GOOD,"LT-1,22KV-1",SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95464 11.34003, 77.95612 11.33839)"
7,,SA,S,26,06-Jul,248,243.1381915,1.64,211,,11.33839,77.95612,GOOD,GOOD,LT-1,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95612 11.33839, 77.95776 11.33653)"
8,,SA,S,26,07-Aug,275,272.9732972,1.41,209,,11.33653,77.95776,GOOD,GOOD,,"TAR ROAD CROSSING, SAND ROAD CROSSING",SMALL CANNAL CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95776 11.33653, 77.95922 11.33492)"
9,,SB,T,24,08-Sep,240,239.2071084,0.17,210,"00°00'00""",11.33492,77.95922,GOOD,GOOD,LT-2,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.95922 11.33492, 77.96084 11.33309)"
10,,SA,S,26,09-Oct,272,269.0358273,1.57,214,,11.33309,77.96084,GOOD,GOOD,,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96084 11.33309, 77.96237 11.33135)"
11,,SB,T,24,10-Nov,256,255.0645891,0.91,216,"11°24'51""(RT)",11.33135,77.96237,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96237 11.33135, 77.963888 11.328706)"
12,,SA,S,26,11-Dec,340,336.4554207,2.06,213,,11.328706,77.963888,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.963888 11.328706, 77.96533 11.32615)"
13,2W,SD,T,28,Dec-13,330,323.8951227,0.39,210,"35°14'35""(LT)",11.32615,77.96533,GOOD,GOOD,"LT-1, 22KV-1",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96533 11.32615, 77.96782 11.32497)"
