S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,
1,T.NO 1 MC MILLKOILPALAYAM LILO,T,MC,45,,,6.31,351,,77.09211111111111,10.762666666666666,GOOD,GOOD,,,PLAIN,MILLKOILPALAYAM LILO NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09211111111111 10.762666666666666, 77.09233333333333 10.76025)",,
2,T.NO 2,T,DB,24,1-2,269.1635190734435,5.18,361,"11°58'36""",77.09233333333333,10.76025,GOOD,GOOD,"LT,11KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09233333333333 10.76025, 77.09202777777777 10.757861111111112)",,
3,T.NO 3,T,DD,28,2-3,267.8002987302292,4.36,365,"43°32'50""",77.09202777777777,10.757861111111112,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09202777777777 10.757861111111112, 77.09163888888888 10.757527777777778)",,
4,DP1,T,DP,15,3-DP1,54.67174773134658,,367,,77.09163888888888,10.757527777777778,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09163888888888 10.757527777777778, 77.0916111111111 10.757388888888888)",,
5,DP2,T,DP,15,DP1-DP2,18.681541692269406,,365,,77.0916111111111,10.757388888888888,GOOD,GOOD,230KV,,PLAIN,O.K.M - ANAIKADAVU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0916111111111 10.757388888888888, 77.09144444444443 10.757083333333334)",,
6,T.NO 4,T,DD,28,DP2-4,36.6742416417845,4.12,366,"61°35'1""",77.09144444444443,10.757083333333334,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09144444444443 10.757083333333334, 77.08919444444444 10.757)",,
7,T.NO 5,S ,DA,26,4-5,247.24481794367298,3.4,365,,77.08919444444444,10.757,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08919444444444 10.757, 77.08691666666667 10.756944444444445)",,
8,T.NO 6,T,DB,24,5-6,248.07257002740147,3.26,366,"5°53'33""",77.08691666666667,10.756944444444445,GOOD,GOOD,LT ,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08691666666667 10.756944444444445, 77.08508333333333 10.757111111111112)",,
9,T.NO 7,S,DA,26,6-7,203.62956563328422,4.28,363,,77.08508333333333,10.757111111111112,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08508333333333 10.757111111111112, 77.08244444444443 10.757277777777778)",,
10,T.NO 8,S,DA,26,7-8,287.5030434621519,3.98,355,,77.08244444444443,10.757277777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08244444444443 10.757277777777778, 77.08061111111111 10.757444444444445)",,
