Tower No,JOINT BOX,Tower Type (S/T),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
Mettur Auto ss  Gantry,2W,T,Gantry,20,,,,253,,11.815342,77.829973,Good,Good,,,,110 Kv Mettur (Auto) SS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.829973 11.815342, 77.83019 11.81495)"
1,,T,D,28,Gantry to 1,49.43071334,12,254,"66⁰39'31"" LT",11.81495,77.83019,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83019 11.81495, 77.83109 11.81503)"
2,,T,D,28,1 to 2,98.55371859,15,248,"64⁰4'42"" LT",11.81503,77.83109,Good,Good,,,forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83109 11.81503, 77.83194 11.81725)"
3,,T,D,28,2 to 3,262.6712178,15,249,"66⁰25'39"" LT",11.81725,77.83194,Good,Good,,,forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83194 11.81725, 77.83174 11.81744)"
4,,Dp1,D,28,3 to 4,30.30195258,14,247,"35⁰47'35"" RT",11.81744,77.83174,Good,Good,,,forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83174 11.81744, 77.83167 11.81783)"
5,,Dp2,C,26,4 to 5,43.84544812,12,249,"22⁰41'33"" LT",11.81783,77.83167,Good,Good,230 kv line crossing,,forest ,230KV MTPH  to Mettur Auttoss (66-67),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83167 11.81783, 77.8315 11.81809)"
6,,Dp3,C,26,5 to 6,34.23808486,15,249,"21⁰35'53"" RT",11.81809,77.8315,Good,Good,230 kv line crossing,,forest ,230KV Mettur Auttoss to Hosur Palavady (66-67),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8315 11.81809, 77.83143 11.8184)"
7,,T,D,28,6 to 7,35.15800021,16,253,"63⁰36'9"" LT",11.8184,77.83143,Good,Good,,,forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83143 11.8184, 77.8289 11.81908)"
8,,T,D,28,7 to 8,286.0059048,18,256,"35⁰21'52"" LT",11.81908,77.8289,Good,Good,,,forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8289 11.81908, 77.8276 11.81862)"
9,,T,D,28,8 to 9,150.6456522,14,252,"31⁰29'22"" LT",11.81862,77.8276,Good,Good,,,forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8276 11.81862, 77.82597 11.81659)"
