Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY 230KV THUDIYALUR ,GANTRY,GANTRY,20,,,,448,,76.93494444444445,11.085722222222223,GOOD,,NO,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93494444444445 11.085722222222223, 76.93497222222223 11.085833333333333)"
T.NO-148,DC,T,26,GANTRY-148,12.36931687685298,2.38,473,"22°6'11""",76.93497222222223,11.085833333333333,GOOD,MISSING,NO,,,PLAIN,"NO EARTH WIRE, 2 FEEDER ON THIS TOWER FDR 1. KUNDAH PH-4, FDR 2.230KV KARAMADAI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93497222222223 11.085833333333333, 76.93466666666667 11.08813888888889)"
T.NO-147,DA,S,29,148-147,256.5384961365448,2.12,447,,76.93466666666667,11.08813888888889,GOOD,GOOD,NO,2nos LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93466666666667 11.08813888888889, 76.93436111111112 11.090805555555557)"
T.NO-146,DC,T,29,147-146,297.9463038871266,1.18,458,"23°52'33""",76.93436111111112,11.090805555555557,GOOD,GOOD,NO,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93436111111112 11.090805555555557, 76.93294444444444 11.093250000000001)"
T.NO-145,DA,S,29,146-145,311.96954979612997,2.2,458,,76.93294444444444,11.093250000000001,GOOD,GOOD,NO,LT,"CANAL, MUD ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93294444444444 11.093250000000001, 76.93136111111112 11.09575)"
T.NO-144,DC,T NARROW BASE TOWER,29,145-144,324.8907508686574,0.58,453,"20°48'48""",76.93136111111112,11.09575,GOOD,GOOD,NO,"3nos LT, 11KV",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93136111111112 11.09575, 76.93097222222222 11.097722222222222)"
T.NO-143,DA,S,26,144-143,223.37636401374252,1.52,463,,76.93097222222222,11.097722222222222,GOOD,GOOD,NO,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93097222222222 11.097722222222222, 76.93055555555556 11.09988888888889)"
T.NO-142,DA,S,26,143-142,243.77243486497812,1.4,459,,76.93055555555556,11.09988888888889,GOOD,GOOD,NO,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93055555555556 11.09988888888889, 76.9291388888889 11.10225)"
T.NO-141,DA,S,26,142-141,304.4158340165636,1.71,463,,76.9291388888889,11.10225,GOOD,GOOD,NO,11KV,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9291388888889 11.10225, 76.92975 11.103527777777778)"
T.NO-140,DB,T,24,141-140,153.87332452377834,1.4,457,"00°00'00""",76.92975,11.103527777777778,GOOD,GOOD,NO,11KV,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92975 11.103527777777778, 76.92936111111112 11.105611111111111)"
T.NO-139,DB,T NARROW BASE TOWER,24,140-139,237.11811402758752,1.172,464,"2°17'16""",76.92936111111112,11.105611111111111,GOOD,GOOD,NO,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92936111111112 11.105611111111111, 76.92872222222223 11.108527777777777)"
T.NO-138,DA,S,26,139-138,329.41918584077644,1.25,466,,76.92872222222223,11.108527777777777,GOOD,GOOD,NO,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92872222222223 11.108527777777777, 76.92811111111112 11.111305555555555)"
T.NO-137,DA,S,26,138-137,315.41718405946114,1.75,462,,76.92811111111112,11.111305555555555,GOOD,GOOD,NO,"LT, 11KV",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92811111111112 11.111305555555555, 76.92758333333333 11.113638888888888)"
T.NO-136,DC,T NARROW BASE TOWER,26,137-136,262.71086768537003,0.64,477,"19°13'31""",76.92758333333333,11.113638888888888,GOOD,GOOD,NO,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92758333333333 11.113638888888888, 76.92619444444445 11.115916666666667)"
T.NO-135,DD,T,28,136-135,295.8530040408581,1.58,480,"29°46'15""",76.92619444444445,11.115916666666667,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92619444444445 11.115916666666667, 76.92611111111111 11.11875)"
T.NO-134,DA,S,26,135-134,314.1591953134589,1.64,479,,76.92611111111111,11.11875,GOOD,GOOD,NO,"11KV, LT",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92611111111111 11.11875, 76.92602777777778 11.121527777777779)"
T.NO-133,DB,T,24,134-133,307.23443817384793,1.12,480,"9°25'49""",76.92602777777778,11.121527777777779,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92602777777778 11.121527777777779, 76.92552777777779 11.124027777777778)"
T.NO-132,DA,S,26,133-132,281.82441342083905,1.07,476,,76.92552777777779,11.124027777777778,GOOD,GOOD,NO,,RIVER ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92552777777779 11.124027777777778, 76.92497222222222 11.12663888888889)"
T.NO-131,DA,S,26,132-131,294.3891981714003,1.22,472,,76.92497222222222,11.12663888888889,GOOD,GOOD,NO,11KV,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92497222222222 11.12663888888889, 76.92441666666667 11.129194444444446)"
T.NO-130,DB,T,27,131-130,288.951553032684,1.73,480,"1°33'55""",76.92441666666667,11.129194444444446,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92441666666667 11.129194444444446, 76.92386111111112 11.132027777777779)"
T.NO-129,DA,S,26,130-129,318.88869531546584,2.1,474,,76.92386111111112,11.132027777777779,GOOD,GOOD,NO,LT,"MUD ROAD, RIVER",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92386111111112 11.132027777777779, 76.9235 11.133805555555556)"
T.NO-128,DA,S,26,129-128,202.20039564748632,2.12,473,,76.9235,11.133805555555556,GOOD,GOOD,NO,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9235 11.133805555555556, 76.92297222222223 11.136444444444445)"
T.NO-127,DA,S,26,128-127,297.12118739665806,2.17,471,,76.92297222222223,11.136444444444445,GOOD,GOOD,NO,,"CANAL, MUD ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92297222222223 11.136444444444445, 76.92233333333334 11.1395)"
T.NO-126,DB,T,24,127-126,343.62770551863247,2.24,465,"9°2'2""",76.92233333333334,11.1395,GOOD,GOOD,NO,LT,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92233333333334 11.1395, 76.92130555555556 11.142166666666666)"
T.NO-125,DA,S,26,126-125,316.26096818924714,,458,,76.92130555555556,11.142166666666666,GOOD,GOOD,NO,LT,MUD ROAD,PLAIN,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92130555555556 11.142166666666666, 76.92033333333333 11.144833333333333)"
T.NO-124,DB,T,24,125-124,314.14805426741066,1.12,451,"5°32'0""",76.92033333333333,11.144833333333333,GOOD,GOOD,NO,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92033333333333 11.144833333333333, 76.9191388888889 11.147333333333332)"
T.NO-123,DA,S,29,124-123,305.039341724965,2.32,448,,76.9191388888889,11.147333333333332,GOOD,GOOD,NO,3nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9191388888889 11.147333333333332, 76.91822222222223 11.149277777777778)"
T.NO-122,DA,S,26,123-122,237.03375287076733,1.73,449,,76.91822222222223,11.149277777777778,GOOD,GOOD,NO,2nos LT,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91822222222223 11.149277777777778, 76.91705555555556 11.151583333333333)"
T.NO-121,DC,T,29,122-121,285.7708872506085,1.01,445,"25°42'35""",76.91705555555556,11.151583333333333,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91705555555556 11.151583333333333, 76.91705555555556 11.15463888888889)"
T.NO-120,DA,S,29,121-120,339.0235979987234,1.9,451,,76.91705555555556,11.15463888888889,GOOD,GOOD,NO,"2nos LT, 2nos 11KV",2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91705555555556 11.15463888888889, 76.91694444444445 11.157111111111112)"
T.NO-119,DA,S,29,120-119,273.26360899322106,1.9,446,,76.91694444444445,11.157111111111112,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91694444444445 11.157111111111112, 76.91694444444445 11.159611111111111)"
T.NO-118,DA,S,26,119-118,276.0163038662753,0.02,450,,76.91694444444445,11.159611111111111,GOOD,GOOD,NO,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91694444444445 11.159611111111111, 76.91686111111112 11.162416666666667)"
T.NO-117,DB,T,24,118-117,310.16124838541646,1.49,447,"7°14'34""",76.91686111111112,11.162416666666667,GOOD,GOOD,NO,,2nos MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91686111111112 11.162416666666667, 76.91652777777779 11.164666666666667)"
T.NO-116,DB,T,24,117-116,253.17977802344325,3.92,448,"2°18'44""",76.91652777777779,11.164666666666667,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91652777777779 11.164666666666667, 76.91627777777778 11.166888888888888)"
T.NO-115,DB,T,24,116-115,245.7173172570464,4.4,454,"4°22'26""",76.91627777777778,11.166888888888888,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91627777777778 11.166888888888888, 76.91577777777778 11.169416666666667)"
T.NO-114,DA,S,29,115-114,284.36947796836427,1.8,467,,76.91577777777778,11.169416666666667,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91577777777778 11.169416666666667, 76.91527777777779 11.17236111111111)"
T.NO-113,DA,S,26,114-113,332.10389940499044,0.59,468,,76.91527777777779,11.17236111111111,GOOD,GOOD,NO,LT,MUD ROAD,PLAIN,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91527777777779 11.17236111111111, 76.91472222222222 11.175305555555555)"
