Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY  PUDANSANTHAI,3W,GANTRY,T,20,,,,,205,,11.31837,78.17637,GOOD,NO,,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17637 11.31837, 78.17652 11.31866)"
1,,KCR(T),DB,24,GANTRY-01,24,36.0447225,7.06,212,"08°51'05""(RT)",11.31866,78.17652,GOOD,GOOD,LT-1,,,"TOWER INSIDE THE SS 230 KV, FENCING CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17652 11.31866, 78.17729 11.31971)"
2,,HCR(T),DB,24,01-Feb,153,143.4860296,5.96,223,"04°28'19""(LT)",11.31971,78.17729,GOOD,GOOD,,TAR ROAD CROSSING (SENDHAMANGALAM TO PUDANSANTHAI),,TOWER INSIDE THE SS 110KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17729 11.31971, 78.17807 11.32097)"
3,,KCR(T),DD,28,02-Mar,167,163.4567789,1.63,226,"58°08'21""(LT)",11.32097,78.17807,GOOD,GOOD,,,,FENCING CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17807 11.32097, 78.17756 11.32197)"
4,,HCR(T),DB,24,03-Apr,112,123.9340688,0.97,229,"06°57'09""(LT)",11.32197,78.17756,GOOD,GOOD,22KV LINE CROSSING,SAND ROAD CROSSING,,"AGRICULTURE LAND, FENCING CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17756 11.32197, 78.17648 11.32357)"
5,,GCR(S),DA,26,04-May,219,212.8265549,2.43,235,,11.32357,78.17648,GOOD,GOOD,22KV-1,,SMALL ROCK CROSSING,"AGRICULTURE LAND, FENCING CROSSING,TOWER INSIDE APPARTMENT FLAT FENCING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17648 11.32357, 78.17565 11.32479)"
6,,KCR(T),DD,28,05-Jun,165,162.6749135,1.59,241,"44°21'41""(RT)",11.32479,78.17565,GOOD,GOOD,,SAND ROAD CROSSING,SMALL ROCK INSIDE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17565 11.32479, 78.1758 11.32559)"
7,,KCR(T),DD,28,06-Jul,81,90.06580521,6.21,238,"57°21'34""(RT)",11.32559,78.1758,GOOD,GOOD,22KV-1(SALEM TO NAMAKKAL),SAND ROAD CROSSING-2,,"ELECTRICAL TRAIN ROAD CROSSING,PIT IN ELECTRICAL TRAIN ROAD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1758 11.32559, 78.17687 11.32602)"
8,,HCR(T),DB,24,07-Aug,132,126.2185309,3.98,241,"08°50'27""(LT)",11.32602,78.17687,GOOD,GOOD,"22KV-1, LT-1",SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17687 11.32602, 78.178 11.32669)"
9,,HCR+3(T),DC+3,29,08-Sep,132,144.0204346,2.16,248,"21°49'29""(LT)",11.32669,78.178,GOOD,GOOD,,,MINI FOREST AREA,TOWER IN SMALL HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.178 11.32669, 78.17966 11.32885)"
10,,GCR+3(S),DA+3,29,09-Oct,302,300.1111069,2.41,246,,11.32885,78.17966,GOOD,GOOD,,SMALL ROCK CROSSING,,"PIT CROSSING, AGRICULTURE LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17966 11.32885, 78.18151 11.3312)"
11,,HCR+3(T),DC+3,29,10-Nov,341,329.4341742,4.08,246,"19°45'31""(LT)",11.3312,78.18151,GOOD,GOOD,LT-3,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18151 11.3312, 78.18242 11.33395)"
12,,GCR(S),DA,26,11-Dec,318,320.2531009,2.53,242,,11.33395,78.18242,GOOD,GOOD,22KV -1,TAR ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18242 11.33395, 78.18329 11.33651)"
13,,GCR(S),DA,26,Dec-13,304,298.9111926,4.13,236,,11.33651,78.18329,GOOD,GOOD,LT-2,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18329 11.33651, 78.18404 11.33866)"
14,,HCR(S),DA,26,13-14,242,251.7179771,0.18,237,"08°36'29""(RT)",11.33866,78.18404,GOOD,GOOD,LT-1,"SAND ROAD CROSSING-2,TAR ROAD CROSSING",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18404 11.33866, 78.18546 11.34134)"
15,2W,HCR+3(T),DC+3,29,14-15,335,334.7903421,0.69,235,"16°11'43""(RT)",11.34134,78.18546,GOOD,GOOD,LT-1,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18546 11.34134, 78.18718 11.34311)"
16,,KCR(T),DD,28,15-16,274,271.4763383,0.48,236,"36°36'50""(RT)",11.34311,78.18718,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18718 11.34311, 78.18982 11.34355)"
17,,HCR+3(T),DC+3,29,16-17,298,292.4850779,1.18,238,"20°29'16""(LT)",11.34355,78.18982,GOOD,GOOD,"22KV-1, LT-2",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18982 11.34355, 78.1915 11.34451)"
18,,GCR(S),DA,26,17-18,212,212.0760025,3.61,212,,11.34451,78.1915,GOOD,GOOD,LT-1,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1915 11.34451, 78.19331 11.34556)"
19,,HCR(T),DC,26,18-19,229,229.3623929,6.21,240,"19°06'20""(LT)",11.34556,78.19331,GOOD,GOOD,LT-1,,,"AGRICULTURE LAND,ROW PROBLEM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19331 11.34556, 78.19534 11.34791)"
20,,KCR+3(T),DD+3,31,19-20,335,341.8394084,5.1,246,"42°34'44""(RT)",11.34791,78.19534,GOOD,GOOD,,"TAR ROAD CROSSING, FENCING CROSSING-3",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19534 11.34791, 78.19834 11.34827)"
21,,KCR+3(T),DD+3,31,20-21,335,330.1346094,5.31,254,"35°24'58""(LT)",11.34827,78.19834,GOOD,GOOD,LT-1,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19834 11.34827, 78.20023 11.34997)"
22,,HCR(T),DC,26,21-22,273,279.3616548,3.03,253,"17°21'54""(LT)",11.34997,78.20023,GOOD,GOOD,LT-1,SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20023 11.34997, 78.20139 11.35193)"
23,,HCR(T),DC,26,22-23,258,251.2662525,2.93,249,"25°16'25""(RT)",11.35193,78.20139,GOOD,GOOD,"LT LINE-2,WIRE CABLE CROSSING-3",TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20139 11.35193, 78.20272 11.35283)"
24,,KCR(T),DC,26,23-24,176,176.1659888,2.11,252,"26°10'02""(RT)",11.35283,78.20272,GOOD,GOOD,"22KV-1, LT-1",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20272 11.35283, 78.20502 11.35316)"
25,,GCR(S),DA,26,24-25,254,253.8884527,1.61,255,,11.35316,78.20502,GOOD,GOOD,LT-2,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20502 11.35316, 78.20731 11.3535)"
26,,KCR(T),DD,28,25-26,241,252.9690609,0.18,249,"57°37'14""(RT)",11.3535,78.20731,GOOD,GOOD,,TAR ROAD CROSSING,,AGRICULTURE LAND(KN PATTI TO KARAIKURUCHI ROAD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20731 11.3535, 78.20927 11.35127)"
27,,KCR(T),DD,28,26-27,328,326.7746446,0.58,251,"36°14'10""(LT)",11.35127,78.20927,GOOD,GOOD,"LT-2, WIRE CABLE-2",SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20927 11.35127, 78.21194 11.35067)"
28,2W,KCR+3(T),DC+3,29,27-28,299,299.1321142,0.79,244,"28°31'25""(RT)",11.35067,78.21194,GOOD,GOOD,"22KV-1,LT-1",TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21194 11.35067, 78.21407 11.34882)"
29,,HCR(T),DC,26,28-29,316,309.966738,0.8,245,"22°16'27""(LT)",11.34882,78.21407,GOOD,GOOD,22KV-1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21407 11.34882, 78.21574 11.34825)"
