S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 30/1 KINATHUKADAVU LILO,,T,DC,26,,,2.85,370,,77.04455556,10.83622222,GOOD,GOOD,,,PLAIN,KINATHUKADAVU LILO NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04455555555555 10.836222222222222, 77.04319444444444 10.834444444444445)"
2,T.NO 2,,S ,DA,26,01-Feb,248.0020161,3.89,376,,77.04319444,10.83444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04319444444444 10.834444444444445, 77.04208333333334 10.832888888888888)"
3,T.NO 3,,T,DB,24,02-Mar,210.2379604,3.16,375,"3°15'42""",77.04208333,10.83288889,GOOD,GOOD,11KV,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04208333333334 10.832888888888888, 77.04161111111111 10.832277777777778)"
4,T.NO 4,,T,DB,24,03-Apr,85.60373824,4.18,375,"4°56'3""",77.04161111,10.83227778,GOOD,GOOD,230KV,,PLAIN,O.K.M - MYLADI SC LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04161111111111 10.832277777777778, 77.04025 10.830194444444444)"
5,T.NO 5,,S,DA,26,04-May,273.806501,3.39,363,,77.04025,10.83019444,GOOD,GOOD,11KV,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04025 10.830194444444444, 77.03911111111111 10.828444444444445)"
6,T.NO 6,,S,DA,26,05-Jun,230.2433495,4.76,369,,77.03911111,10.82844444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03911111111111 10.828444444444445, 77.03794444444445 10.826694444444444)"
7,T.NO 7,,S,DA,26,06-Jul,230.7834483,4.97,357,,77.03794444,10.82669444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03794444444445 10.826694444444444, 77.03669444444444 10.824777777777777)"
8,T.NO 8,,S,DA,26,07-Aug,252.7152548,5.13,350,,77.03669444,10.82477778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03669444444444 10.824777777777777, 77.03522222222222 10.822527777777777)"
9,T.NO 9,,S,DA,26,08-Sep,295.4352721,4.28,349,,77.03522222,10.82252778,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03522222222222 10.822527777777777, 77.03422222222223 10.821)"
10,T.NO 10,,T,DD,28,09-Oct,203.3248632,5.2,347,"53°24'25""",77.03422222,10.821,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03422222222223 10.821, 77.0316111111111 10.820833333333333)"
