Tower No,JOINT BOX,Tower Type,Tower Type (T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 18,,T,DB,24,17-18,247.842692,6.15,387,"0°34'41""",77.02102778,10.86980556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02102777777777 10.869805555555557, 77.02216666666666 10.86825)"
T.NO 19,,S,DA,26,18-19,212.407627,9.82,378,,77.02216667,10.86825,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02216666666666 10.86825, 77.02330555555555 10.866694444444445)"
T.NO 20,,S,DA,26,19-20,213.4338305,9.32,379,,77.02330556,10.86669444,GOOD,GOOD,"LT,11KV",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02330555555555 10.866694444444445, 77.02475 10.864666666666666)"
T.NO 21,,S,DA,26,20-21,273.4264069,8.87,379,,77.02475,10.86466667,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02475 10.864666666666666, 77.02597222222222 10.862972222222222)"
T.NO 22,,S,DA,26,21-22,231.4497786,8.18,393,,77.02597222,10.86297222,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02597222222222 10.862972222222222, 77.02727777777778 10.861138888888888)"
T.NO 23,2W,T,DB,24,22-23,245.8637834,7.9,390,"0°41'21""",77.02727778,10.86113889,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02727777777778 10.861138888888888, 77.02847222222222 10.859527777777778)"
T.NO 24,,S,DA,26,23-24,223.2129029,7.53,385,,77.02847222,10.85952778,GOOD,GOOD,,TAAR ROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02847222222222 10.859527777777778, 77.02961111111111 10.857972222222221)"
T.NO 25,,S,DA,26,24-25,212.407627,7.27,384,,77.02961111,10.85797222,GOOD,GOOD,,MUD ROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02961111111111 10.857972222222221, 77.03063888888889 10.8565)"
T.NO 26,,S,DA,26,25-26,196.6977377,7.03,379,,77.03063889,10.8565,GOOD,GOOD,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03063888888889 10.8565, 77.03194444444445 10.854666666666667)"
T.NO 27,,S,DA,26,26-27,249.2388413,7.14,370,,77.03194444,10.85466667,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03194444444445 10.854666666666667, 77.0333611111111 10.852805555555555)"
T.NO 28,,S,DA,26,27-28,257.8003103,6.79,366,,77.03336111,10.85280556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0333611111111 10.852805555555555, 77.03447222222222 10.851194444444443)"
T.NO 29,,T,DB,33,28-29,213.9018466,6.13,360,"0°22'49""",77.03447222,10.85119444,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03447222222222 10.851194444444443, 77.03572222222222 10.849444444444446)"
T.NO 30,,T,DB,33,29-30,239.4702487,7.18,373,"0°28'59""",77.03572222,10.84944444,GOOD,GOOD,LT,RAILWAY,CULTIVACTION,NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03572222222222 10.849444444444446, 77.03680555555556 10.847944444444446)"
T.NO 31,,S,DA,26,30-31,202.6252699,7.36,382,,77.03680556,10.84794444,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03680555555556 10.847944444444446, 77.03808333333333 10.846194444444444)"
T.NO 32,,S,DA,26,31-32,239.2404648,5.42,381,,77.03808333,10.84619444,GOOD,GOOD,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03808333333333 10.846194444444444, 77.03913888888889 10.844694444444444)"
