S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 1MC DEVANAMPALAYAM LILO,T,MC,45,,,6.23,312,,77.07630555555555,10.77538888888889,GOOD,GOOD,,,PLAIN,DEVANAMPALAYAM LILO NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07630555555555 10.77538888888889, 77.07533333333333 10.774777777777778)"
2,T.NO 2,T,DC,26,1-2,125.0959631642844,4.75,310,"17°28'15""",77.07533333333333,10.774777777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07533333333333 10.774777777777778, 77.07291666666666 10.77413888888889)"
3,T.NO 3,T,DD,28,2-3,273.9069184960467,3.67,310,"93°5'40""",77.07291666666666,10.77413888888889,GOOD,GOOD,11KV,CANAL,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07291666666666 10.77413888888889, 77.07263888888889 10.775444444444446)"
4,T.NO 4,T,DD,28,3-4,149.46571513226704,2.32,306,"55°18'32""",77.07263888888889,10.775444444444446,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07263888888889 10.775444444444446, 77.07111111111111 10.776083333333334)"
5,T.NO 5,T,DC,26,4-5,181.61773041198373,1.8,309,"26°29'57""",77.07111111111111,10.776083333333334,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07111111111111 10.776083333333334, 77.07022222222221 10.776027777777779)"
6,T.NO 6,T,DD,28,5-6,96.25487000666512,2.04,307,"34°31'53""",77.07022222222221,10.776027777777779,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07022222222221 10.776027777777779, 77.06869444444445 10.774833333333333)"
7,T.NO 7,T-MC,MB,45,6-7,212.70872102478543,5.29,310,"1°11'52""",77.06869444444445,10.774833333333333,GOOD,GOOD,LT,TAARROAD,WATERLOGGED,NEED 4WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06869444444445 10.774833333333333, 77.0675 10.773944444444446)"
8,T.NO 8,T,DD,28,7-8,162.60996279441184,2.09,304,"83°23'58""",77.0675,10.773944444444446,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0675 10.773944444444446, 77.0663611111111 10.77513888888889)"
9,T.NO 9,T,DB,24,8-9,181.0414317221337,2.96,305,"14°58'20""",77.0663611111111,10.77513888888889,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0663611111111 10.77513888888889, 77.06447222222222 10.776277777777779)"
10,T.NO 10,T,DD,28,9-10,241.29857024027308,3.03,306,"74°26'7""",77.06447222222222,10.776277777777779,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06447222222222 10.776277777777779, 77.06375 10.775583333333334)"
