Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,   Broken etc)",Ground Earth Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY 110KV  MARUTHUR,,GANTRY,GANTRY,20,,,,296,,77.37252778,10.76588889,GOOD,MISSING,NO,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37252777777778 10.765888888888888, 77.37222222222222 10.765916666666667)"
T.NO-36,2W,DD,T,28,GANTRY-36,35.22782991,1.22,296,"40°38'54.06""",77.37222222,10.76591667,GOOD,GOOD,YES,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37222222222222 10.765916666666667, 77.37055555555555 10.764833333333334)"
T.NO-35,,SA,S,26,36-35,217.4488446,12.21,295,,77.37055556,10.76483333,GOOD,,NO,2nos 22KV ,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37055555555555 10.764833333333334, 77.36944444444444 10.764055555555556)"
T.NO-34,,SA,S,26,35-34,149.2648653,12.63,293,,77.36944444,10.76405556,GOOD,GOOD,NO,22KV ,TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36944444444444 10.764055555555556, 77.36772222222221 10.762916666666667)"
T.NO-33,,SC,T,26,34-33,226.0486673,11.85,294,"28°40'54.32""",77.36772222,10.76291667,GOOD,GOOD,NO,22KV ,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36772222222221 10.762916666666667, 77.36524999999999 10.762722222222223)"
T.NO-32,,SA,S,26,33-32,271.2489631,11.52,294,,77.36525,10.76272222,GOOD,GOOD,NO,LT,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36524999999999 10.762722222222223, 77.36297222222221 10.762472222222222)"
T.NO-31,,SA,S,32,32-31,251.5631134,6.15,294,,77.36297222,10.76247222,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36297222222221 10.762472222222222, 77.36075 10.762194444444445)"
T.NO-30,,SA,S,32,31-30,244.1065341,8.16,289,,77.36075,10.76219444,GOOD,GOOD,NO,,RIVER,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36075 10.762194444444445, 77.35822222222221 10.762027777777778)"
T.NO-29,,SC,T,26,30-29,277.9532335,12.03,290,"25°43'8.48""",77.35822222,10.76202778,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35822222222221 10.762027777777778, 77.35633333333332 10.760944444444444)"
T.NO-28,,SD,T,28,29-28,236.6769951,10.96,294,"37°48'42.49""",77.35633333,10.76094444,GOOD,GOOD,NO,2nos 22KV ,TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35633333333332 10.760944444444444, 77.35541666666666 10.758694444444444)"
T.NO-27,,SA,S,26,28-27,270.1869723,11.07,297,,77.35541667,10.75869444,GOOD,GOOD,NO,230KV DC(SINGLE FEEDER ONLY) LINE CROSSING ABOVE OUR LINE,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35541666666666 10.758694444444444, 77.35449999999999 10.756416666666667)"
T.NO-26,,SC,T,26,27-26,269.4531499,13.12,303,"24°55'14.89""",77.3545,10.75641667,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35449999999999 10.756416666666667, 77.35255555555555 10.75461111111111)"
T.NO-25,,SA,S,26,26-25,292.1044334,15.54,304,,77.35255556,10.75461111,GOOD,GOOD,NO,LT,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35255555555555 10.75461111111111, 77.35047222222222 10.752694444444444)"
T.NO-24,2W,SC,T,26,25-24,311.9310821,5.27,301,"15°53'12.43""",77.35047222,10.75269444,GOOD,GOOD,NO,2nos 22KV ,2nos MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35047222222222 10.752694444444444, 77.34841666666667 10.75163888888889)"
T.NO-23,,SC,T,26,24-23,251.8293073,11.66,303,"20°27'0.77""",77.34841667,10.75163889,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34841666666667 10.75163888888889, 77.34547222222221 10.751305555555556)"
T.NO-22,,SA,S,26,23-22,325.5917689,12.32,302,,77.34547222,10.75130556,GOOD,GOOD,NO,LT,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34547222222221 10.751305555555556, 77.34308333333333 10.751083333333334)"
T.NO-21,,SD,T,28,22-21,261.2967661,15.2,305,"35°38'53.60""",77.34308333,10.75108333,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34308333333333 10.751083333333334, 77.34094444444445 10.74922222222222)"
T.NO-20,,SA,S,26,21-20,311.7563151,12.3,302,,77.34094444,10.74922222,GOOD,GOOD,NO,"2nos 22KV,LT","TAAR ROAD,CANAL",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34094444444445 10.74922222222222, 77.33855555555554 10.74725)"
T.NO-19,,SB,T,24,20-19,340.4732001,14.29,304,"13°23'32.31""",77.33855556,10.74725,GOOD,GOOD,NO,LT,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33855555555554 10.74725, 77.33652777777777 10.74625)"
T.NO-18,,SA,S,26,19-18,248.2136177,9.16,306,,77.33652778,10.74625,GOOD,GOOD,NO,LT,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33652777777777 10.74625, 77.3338611111111 10.744944444444444)"
T.NO-17,,SA,S,26,18-17,324.6783023,6.62,308,,77.33386111,10.74494444,GOOD,GOOD,NO,,"MUDROAD,CANAL",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3338611111111 10.744944444444444, 77.33177777777777 10.743916666666665)"
