S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,GPS Co-ordinate's,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,T.NO-318,,S,DA,26,319-318,314.5059618,5.3,253,,11.1447,77.6233,"11°08'41.1"" N","77°37'23.8"" E",GOOD,GOOD,"LT-3,11KV-1",CANAL-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6233 11.1447, 77.6222 11.1423)"
20,T.NO-317,,S,DA,26,318-317,294.9610144,6.15,250,,11.1423,77.6222,"11°08'32.4"" N","77°37'19.8"" E",GOOD,GOOD,LT-1,TAR-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6222 11.1423, 77.621 11.1398)"
21,T.NO-316,,T,DC,26,317-316,305.1442282,6.13,260,"29°7'17"" ",11.1398,77.621,"11°08'23.4"" N","77°37'15.5"" E",GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.621 11.1398, 77.6211 11.1373)"
22,T.NO-315,,S,DA,26,316-315,278.7920372,6.7,260,,11.1373,77.6211,"11°08'14.3"" N","77°37'16.1"" E",GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6211 11.1373, 77.6213 11.1346)"
23,T.NO-314,2W,T,DC,26,315-314,305.722096,7.12,259,"23°53'18"" ",11.1346,77.6213,"11°08'04.4"" N","77°37'16.7"" E",GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6213 11.1346, 77.6204 11.1321)"
24,T.NO-313,,S,DA,26,314-313,294.8389391,3.71,259,,11.1321,77.6204,"11°07'55.4"" N","77°37'13.3"" E",GOOD,GOOD,LT-1,TAR-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6204 11.1321, 77.6193 11.1294)"
25,T.NO-312,,S,DA,26,313-312,314.4932432,7.1,258,,11.1294,77.6193,"11°07'45.9"" N","77°37'09.6"" E",GOOD,GOOD,,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6193 11.1294, 77.6184 11.1269)"
26,T.NO-311,,S,DA,30,312-311,300.2215848,5.14,280,,11.1269,77.6184,"11°07'36.7"" N","77°37'06.1"" E",GOOD,GOOD,,RIVER-1(NOYAL),PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6184 11.1269, 77.6175 11.1245)"
27,T.NO-310,,T,DD,30,311-310,273.5781424,4.91,270,"11°57'13"" ",11.1245,77.6175,"11°07'28.4"" N","77°37'03.1"" E",GOOD,GOOD,,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6175 11.1245, 77.6172 11.122)"
28,T.NO-309,,S,DA,26,310-309,284.4169475,8.89,237,,11.122,77.6172,"11°07'19.2"" N","77°37'01.8"" E",GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6172 11.122, 77.6169 11.12)"
29,T.NO-308,,S,DA,26,309-308,221.1990054,6.46,241,,11.12,77.6169,"11°07'12.0"" N","77°37'01.0"" E",GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6169 11.12, 77.6167 11.1178)"
30,T.NO-307,,S,DA,26,308-307,250.9661332,10.6,243,,11.1178,77.6167,"11°07'03.9"" N","77°37'00.2"" E",GOOD,GOOD,LT-1,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6167 11.1178, 77.6165 11.1156)"
31,T.NO-306,,T,DC,26,307-306,235.3316808,8.91,246,"18°37'9"" ",11.1156,77.6165,"11°06'56.3"" N","77°36'59.3"" E",GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6165 11.1156, 77.6154 11.1134)"
32,T.NO-305 LILO PALYAKOTTAI,3W,T,DD,28,306-305 LILO,277.4166542,2.38,234,,11.1134,77.6154,"11°06'48.2"" N","77°36'55.4"" E",GOOD,GOOD,,,PLAIN,Already Three Way Junction Box is Proposed in the Line (MUTHUR 110KV to PALAYAKOTTAI 110KV ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : T.NO-1 LILO THANEERPANDAL to T No 310 is Under Ingur Juridiction (7448 Mtrs) & T No 310-305 is Under Palldam Juridiction (1269 Mtrs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
