S.NO,Tower No,JOINT BOX,Tower Type ,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,RASIPURAM GANTRY,2W,GANTRY,T,20,,,,,228,,11.45439,78.17013,,,,,,FENCING CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17013 11.45439, 78.16989 11.45477)"
2,93,,DB,T,24,GANTRY-93,48,49.56378935,9.81,230,"8⁰37'46"" LT",11.45477,78.16989,GOOD,GOOD,,,,FENCING CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16989 11.45477, 78.16917 11.4556)"
3,92,,DC,           T ,26,93-92,121,120.9326395,6.82,229,"22⁰34'0"" LT",11.4556,78.16917,GOOD,GOOD,,SAND ROAD CROSSING,,TOWER IN SIDE THE FACTORY FENCING CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16917 11.4556, 78.16823 11.45607)"
4,91,,DD,T,28,92-91,116,115.0831105,1.96,229,"30⁰52'17"" RT",11.45607,78.16823,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16823 11.45607, 78.167781 11.456772)"
5,90,,DD,T,28,91-90,91,91.88924239,0.58,228,"44⁰7'32"" LT",11.456772,78.167781,GOOD,GOOD,LT LINE CROSSING,,,"FENCING CROSSING,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.167781 11.456772, 78.16574 11.45726)"
6,89,,DA,S,26,90-89,229,229.3335304,2.54,230,,11.45726,78.16574,GOOD,GOOD,"22KV LINE CROSSING ,LT LINE CROSSING",SAND ROAD CROSSING,,FENCING CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16574 11.45726, 78.16351 11.45776)"
7,88,,DB,T,24,89-88,250,249.7302224,2.18,234,"3⁰44'00"" LT",11.45776,78.16351,GOOD,GOOD,LT LINE CROSSING,,,TOWER IN SIDE THE COLLEGE(SRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16351 11.45776, 78.16078 11.45819)"
8,87,,DC,T,26,88-87,300,301.8959498,5.13,235,"15⁰43'5"" LT ",11.45819,78.16078,GOOD,GOOD,,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16078 11.45819, 78.15904 11.45799)"
9,86,,DD,T,28,87-86,190,191.296018,13.12,235,"30⁰40'54"" LT",11.45799,78.15904,GOOD,GOOD,LT LINE CROSSING,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15904 11.45799, 78.15791 11.45714)"
10,85,,DA,S,26,86-85,155,155.1830738,10.76,236,,11.45714,78.15791,GOOD,GOOD,22KV LINE CROSSING,TAR ROAD CROSSING(NH 44),,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15791 11.45714, 78.15646 11.45595)"
