Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
Mettur Gantry,2W,T,20,,,,304,,11.815365,77.829916,Good,Good,,,,Inside the sub  Station 230 kv Auto ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.829916 11.815365, 77.82999 11.81498)"
1,,T,28,Gantry to 1,68,18,310,"60°41'43"" LT",11.81498,77.82999,Good,Good,,,,In side the sub station compount ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82999 11.81498, 77.830884 11.814593)"
2,,T,28,1 to 2 ,123,17,304,"56°18'56"" LT",11.814593,77.830884,Good,Good,,,forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.830884 11.814593, 77.83273 11.8155)"
3,,T,24,2 to 3 ,277.3526846,18,310,"9°39'45"" LT",11.8155,77.83273,Good,Good,,SAND ROAD,forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83273 11.8155, 77.8352 11.81677)"
4,,T,24,3 to 4 ,303.8645329,16,309,"6°34'59"" LT",11.81677,77.8352,Good,Good,,SAND ROAD,forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8352 11.81677, 77.83755 11.81834)"
5,,S,26,4 to 5 ,309.670609,18,302,,11.81834,77.83755,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.83755 11.81834, 77.84003 11.82009)"
6,,T,28,5 to 6 ,332.6981956,12,300,"51°10'22"" LT",11.82009,77.84003,Good,Good,,CAR TRACK,plain,inside the plant copount ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84003 11.82009, 77.84014 11.82202)"
7,,S,26,6 to 7,227,16,300,,11.82202,77.84014,Good,Good,,,hill,inside the plant copount ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84014 11.82202, 77.84024 11.82389)"
8,,T,28,7 to 8 ,219,19,302,"49°46'24"" RT",11.82389,77.84024,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84024 11.82389, 77.84151 11.82484)"
9,,T,28,8 to 9 ,198,18,305,"49°9'57"" RT",11.82484,77.84151,Good,Good,,,plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84151 11.82484, 77.84314 11.8245)"
