S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 17 MC,,T,MC,45,,,2.47,363,,77.12658333,11.06152778,GOOD,GOOD,,,CULTI VACTION,NEED 4WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12658333333333 11.061527777777778, 77.12502777777777 11.06038888888889)"
2,T.NO 18 M.G PUDHUR LILO,3W,T,DB,24,17-118,210.6015195,4.53,363,"9°2'8""",77.12502778,11.06038889,GOOD,GOOD,,DRAIN,CULTI VACTION,M.G PUDHUR LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12502777777777 11.06038888888889, 77.12238888888888 11.059027777777779)"
3,T.NO 19,,T,DB,24,118-119,327.4706094,4.17,368,"4°53'39""",77.12238889,11.05902778,GOOD,GOOD,,DRAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12238888888888 11.059027777777779, 77.12025 11.057666666666668)"
4,T.NO 20,,T,DB,24,119-120,277.6508599,3.39,368,"1°16'11""",77.12025,11.05766667,GOOD,GOOD,"LT,HT",,CULTI VACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12025 11.057666666666668, 77.1183611111111 11.056416666666667)"
5,T.NO 21,,S,DA,26,120-121,247.9858867,5.79,370,,77.11836111,11.05641667,GOOD,GOOD,"LT,HT",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1183611111111 11.056416666666667, 77.11611111111111 11.054944444444445)"
6,T.NO 22 LILO,2W,T,DB,24,121-122,296.2110734,3.15,366,"0°21'47""",77.11611111,11.05494444,GOOD,GOOD,LT,TAAR ROAD,PLAIN,PRIVATE COMPANY LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11611111111111 11.054944444444445, 77.11380555555554 11.053416666666667)"
7,T.NO 23,,S,DA,26,122-123,302.0629074,2.32,370,,77.11380556,11.05341667,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11380555555554 11.053416666666667, 77.11188888888888 11.052138888888889)"
8,T.NO 24,,S,DA,26,123-124,253.5034517,4.72,372,,77.11188889,11.05213889,GOOD,GOOD,"LT,HT",,CULTI VACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11188888888888 11.052138888888889, 77.10997222222221 11.050944444444445)"
9,T.NO 25,,S,DA,26,124-125,247.9697562,2.53,365,,77.10997222,11.05094444,GOOD,GOOD,2 nos LT,,CULTI VACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10997222222221 11.050944444444445, 77.10788888888888 11.049583333333333)"
10,T.NO 26,,T,DB,24,125-126,271.8032377,3.52,372,"0°21'47""",77.10788889,11.04958333,GOOD,GOOD,LT,,CULTI VACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10788888888888 11.049583333333333, 77.10602777777777 11.048388888888889)"
