S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 1 MC MILLKOILPALAYAM LILO,,T,MC,45,,,6.31,351,,77.09211111,10.76266667,GOOD,GOOD,,,PLAIN,MILLKOILPALAYAM LILO NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09211111111111 10.762666666666666, 77.09233333333333 10.76025)"
2,T.NO 2,,T,DB,24,01-Feb,269.1635191,5.18,361,"11°58'36""",77.09233333,10.76025,GOOD,GOOD,"LT,11KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09233333333333 10.76025, 77.09202777777777 10.757861111111112)"
3,T.NO 3,,T,DD,28,02-Mar,267.8002987,4.36,365,"43°32'50""",77.09202778,10.75786111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09202777777777 10.757861111111112, 77.09163888888888 10.757527777777778)"
4,DP1,,T,DP,15,3-DP1,54.67174773,,367,,77.09163889,10.75752778,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09163888888888 10.757527777777778, 77.0916111111111 10.757388888888888)"
5,DP2,,T,DP,15,DP1-DP2,18.68154169,,365,,77.09161111,10.75738889,GOOD,GOOD,230KV,,PLAIN,O.K.M - ANAIKADAVU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0916111111111 10.757388888888888, 77.09144444444443 10.757083333333334)"
6,T.NO 4,,T,DD,28,DP2-4,36.67424164,4.12,366,"61°35'1""",77.09144444,10.75708333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09144444444443 10.757083333333334, 77.08919444444444 10.757)"
7,T.NO 5,,S ,DA,26,04-May,247.2448179,3.4,365,,77.08919444,10.757,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08919444444444 10.757, 77.08691666666667 10.756944444444445)"
8,T.NO 6,,T,DB,24,05-Jun,248.07257,3.26,366,"5°53'33""",77.08691667,10.75694444,GOOD,GOOD,LT ,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08691666666667 10.756944444444445, 77.08508333333333 10.757111111111112)"
9,T.NO 7,,S,DA,26,06-Jul,203.6295656,4.28,363,,77.08508333,10.75711111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08508333333333 10.757111111111112, 77.08244444444443 10.757277777777778)"
10,T.NO 8,,S,DA,26,07-Aug,287.5030435,3.98,355,,77.08244444,10.75727778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08244444444443 10.757277777777778, 77.08061111111111 10.757444444444445)"
11,T.NO 9,,T,DB,24,08-Sep,201.7176244,4.14,354,"9°28'23""",77.08061111,10.75744444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08061111111111 10.757444444444445, 77.07925 10.757805555555555)"
12,T.NO 10,,T,DB,24,09-Oct,153.7693077,5.18,357,"14°31'16""",77.07925,10.75780556,GOOD,GOOD,LT,CEMENT ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07925 10.757805555555555, 77.07680555555555 10.757805555555555)"
13,T.NO 11,,S,DA,26,10-Nov,268.0018657,6.98,357,,77.07680556,10.75780556,GOOD,GOOD,11KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07680555555555 10.757805555555555, 77.07480555555556 10.757722222222222)"
14,T.NO 12,,T,DD,28,11-Dec,219.3285207,5.18,357,"31°38'12""",77.07480556,10.75772222,GOOD,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07480555555556 10.757722222222222, 77.07269444444444 10.756277777777777)"
15,T.NO 13,,S,DA,26,Dec-13,278.7866568,4.67,356,,77.07269444,10.75627778,GOOD,GOOD,11KV,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07269444444444 10.756277777777777, 77.07083333333333 10.75511111111111)"
16,T.NO 14,,T,DD,28,13-14,241.3047865,3.68,355,"30°27'24""",77.07083333,10.75511111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07083333333333 10.75511111111111, 77.06833333333333 10.755)"
17,T.NO 15,,S,DA,26,14-15,275.3071013,7.02,354,,77.06833333,10.755,GOOD,GOOD,"LT,11KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06833333333333 10.755, 77.06625 10.754944444444444)"
18,T.NO 16,,S,DA,26,15-16,229.1767877,6.36,351,,77.06625,10.75494444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06625 10.754944444444444, 77.06363888888889 10.754861111111111)"
19,T.NO 17,,T,DC,26,16-17,285.2525197,5.12,348,"19°46'54""",77.06363889,10.75486111,GOOD,GOOD,"LT,11KV",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06363888888889 10.754861111111111, 77.06186111111111 10.755416666666667)"
20,T.NO 18,,T,DC,26,17-18,204.318379,6.72,347,"21°53'24""",77.06186111,10.75541667,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06186111111111 10.755416666666667, 77.05919444444444 10.755222222222223)"
21,T.NO 19,,T,DC,26,18-19,291.9075196,4.56,343,"16°59'23""",77.05919444,10.75522222,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05919444444444 10.755222222222223, 77.05633333333333 10.75586111111111)"
22,T.NO 20,2W,T,DC,26,19-20,319.53873,5.31,341,"18°55'19""",77.05633333,10.75586111,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05633333333333 10.75586111111111, 77.0535 10.75761111111111)"
23,T.NO 21,,T,DD,28,20-21,366.6742423,6.32,335,"35°56'26""",77.0535,10.75761111,GOOD,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0535 10.75761111111111, 77.05027777777778 10.757388888888888)"
24,T.NO 22,,T,DC,26,21-22,353.1118803,6.71,335,"25°2'30""",77.05027778,10.75738889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05027777777778 10.757388888888888, 77.04844444444444 10.756361111111111)"
25,T.NO 23,,S,DA,26,22-23,228.8449257,6.43,331,,77.04844444,10.75636111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04844444444444 10.756361111111111, 77.04666666666667 10.755305555555555)"
26,T.NO 24,,T,DC,26,23-24,227.9232327,5.33,322,"26°41'24""",77.04666667,10.75530556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04666666666667 10.755305555555555, 77.04444444444444 10.755166666666666)"
27,T.NO 25,,T,DC,26,24-25,242.7447219,6.17,319,"23°30'10""",77.04444444,10.75516667,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04444444444444 10.755166666666666, 77.04241666666667 10.754111111111111)"
28,T.NO 26,,S,DA,26,25-26,251.4120124,4.11,325,,77.04241667,10.75411111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04241666666667 10.754111111111111, 77.04005555555555 10.752916666666666)"
29,T.NO 27,,S,DA,26,26-27,288.4874347,4.61,323,,77.04005556,10.75291667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04005555555555 10.752916666666666, 77.03822222222222 10.752)"
30,T.NO 28,,S,DA,26,27-28,227.2003521,6.92,326,,77.03822222,10.752,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03822222222222 10.752, 77.03622222222222 10.750972222222222)"
31,T.NO 29,,S,DA,26,28-29,244.2375892,7.02,325,,77.03622222,10.75097222,GOOD,GOOD,"LT,11KV",TAARROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03622222222222 10.750972222222222, 77.03302777777778 10.749333333333333)"
32,T.NO 30,,T,DC,26,29-30,394.5339022,5.37,321,"19°51'20""",77.03302778,10.74933333,GOOD,GOOD,LT,CANAL,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03302777777778 10.749333333333333, 77.03144444444445 10.74911111111111)"
33,T.NO 31,,T,DD,28,30-31,173.6663468,4.1,316,"37°20'10""",77.03144444,10.74911111,GOOD,GOOD,11KV,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03144444444445 10.74911111111111, 77.03052777777778 10.748194444444444)"
34,T.NO 32,,T,DD,28,31-32,144.9586148,6.5,312,"59°45'30""",77.03052778,10.74819444,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03052777777778 10.748194444444444, 77.031 10.746388888888887)"
35,T.NO 33,,T,DD,28,32-33,208.1273649,8.23,314,"40°33'58""",77.031,10.74638889,GOOD,GOOD,11KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.031 10.746388888888887, 77.03216666666667 10.745555555555555)"
36,T.NO 34,2W,T,DD,28,33-34,157.5468184,7.14,318,"79°1'57""",77.03216667,10.74555556,GOOD,GOOD,LT,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03216666666667 10.745555555555555, 77.03205555555556 10.745305555555555)"
37,GANTRY MILLKOILPALAYAM SS,,T,GT,20,34-GT,32.69556545,,319,,77.03205556,10.74530556,GOOD,MISSING,,,PLAIN,110KV MILLKOILPALAYAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
