S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT 110KV KEERANATHAM SS,,T,GT,15,,,,421,,76.99091667,11.10866667,GOOD,,,,PLAIN,110KV KEERANATHAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99091666666666 11.108666666666666, 76.99138888888889 11.108722222222221)"
2,T.NO 21A ,,T,DC,26,Gantry - 21A,51,,419,,76.99138889,11.10872222,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99138888888889 11.108722222222221, 76.99225 11.109472222222221)"
3,T.NO 22,,T,DB,24,21A-22,126.7320007,7.8,416,"9°34'53""",76.99225,11.10947222,GOOD,GOOD,HT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99225 11.109472222222221, 76.99472222222222 11.110999999999999)"
4,T.NO 23,,T,DC,26,22-23,317.9072192,6.42,417,"22°12'33""",76.99472222,11.111,GOOD,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99472222222222 11.110999999999999, 76.99602777777778 11.11286111111111)"
5,T.NO 24,,S,DA,26,23-24,250.4595776,7.28,418,,76.99602778,11.11286111,GOOD,GOOD,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99602777777778 11.11286111111111, 76.99772222222222 11.115138888888888)"
6,T.NO 25,,S,DA,26,24-25,314.0143309,4.95,418,,76.99772222,11.11513889,GOOD,GOOD,"LT-2,HT",TAARROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99772222222222 11.115138888888888, 76.99916666666667 11.11713888888889)"
7,T.NO 26,,T,DB,24,25-26,270.756348,5.62,410,"11°42'51""",76.99916667,11.11713889,GOOD,GOOD,"LT-2,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99916666666667 11.11713888888889, 77.00016666666667 11.119277777777778)"
8,T.NO 27,,S,DA,26,26-27,260.9463546,6.8,414,,77.00016667,11.11927778,GOOD,GOOD,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00016666666667 11.119277777777778, 77.00097222222222 11.121055555555555)"
9,T.NO 28,,S,DA,26,27-28,213.9369066,5.35,411,,77.00097222,11.12105556,GOOD,GOOD,"LT,HT",TAARROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00097222222222 11.121055555555555, 77.00216666666667 11.123750000000001)"
10,T.NO 29,,S,DA,26,28-29,325.2460607,7.18,404,,77.00216667,11.12375,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00216666666667 11.123750000000001, 77.00297222222223 11.125611111111112)"
11,T.NO 30,,T,DB,24,29-30,224.1539649,4.85,407,"13°20'0""",77.00297222,11.12561111,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00297222222223 11.125611111111112, 77.00477777777778 11.12786111111111)"
12,T.NO 31,,S,DA,26,30-31,318.2907476,4.62,404,,77.00477778,11.12786111,GOOD,GOOD,,MUDROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00477777777778 11.12786111111111, 77.00647222222223 11.130166666666668)"
13,T.NO 32,,T,DB,24,31-32,316.8911485,6.25,402,"8°20'13""",77.00647222,11.13016667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00647222222223 11.130166666666668, 77.00777777777778 11.131416666666667)"
14,T.NO 33,2W,T,DC,26,32-33,195.8698548,4.95,402,"22°5'6""",77.00777778,11.13141667,GOOD,GOOD,LT-3,TAARROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00777777777778 11.131416666666667, 77.01072222222223 11.13263888888889)"
15,T.NO 34,,S,DA,26,33-34,350.8532457,7.15,400,,77.01072222,11.13263889,GOOD,GOOD,"LT-2,HT",TAARROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01072222222223 11.13263888888889, 77.01358333333333 11.133777777777777)"
16,T.NO 35,,S,DA,26,34-35,336.3108681,5.68,398,,77.01358333,11.13377778,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01358333333333 11.133777777777777, 77.01636111111111 11.134888888888888)"
17,T.NO 36,,S,DA,26,35-36,328.1539273,6.05,398,,77.01636111,11.13488889,GOOD,GOOD,,TAARROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01636111111111 11.134888888888888, 77.01919444444444 11.136055555555554)"
18,T.NO 37,,T,DC,26,36-37,334.3112322,4.38,398,"16°8'29""",77.01919444,11.13605556,GOOD,GOOD,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01919444444444 11.136055555555554, 77.02161111111111 11.137888888888888)"
19,T.NO 38,,S,DA,26,37-38,334.8611653,6.42,396,,77.02161111,11.13788889,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02161111111111 11.137888888888888, 77.02358333333333 11.1395)"
20,T.NO 39,,T,DC,26,38-39,278.9928314,4.78,397,"28°33'1""",77.02358333,11.1395,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02358333333333 11.1395, 77.0243888888889 11.141388888888889)"
21,T.NO 40,2W,T,DB,24,39-40,226.3846285,5.25,399,"12°45'52""",77.02438889,11.14138889,GOOD,GOOD,LT-2 ,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0243888888889 11.141388888888889, 77.02494444444444 11.144305555555555)"
22,T.NO 41,,T,DB,24,40-41,327.8185474,3.83,402,"9°24'49""",77.02494444,11.14430556,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02494444444444 11.144305555555555, 77.02502777777778 11.147166666666665)"
23,T.NO 42,,S,DA,26,41-42,319.0767933,4.96,406,,77.02502778,11.14716667,GOOD,GOOD,"LT-3,HT",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02502777777778 11.147166666666665, 77.02505555555555 11.150055555555555)"
24,T.NO 43,,S,DA,26,42-43,319.0062695,5.09,409,,77.02505556,11.15005556,GOOD,GOOD,"LT, ",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02505555555555 11.150055555555555, 77.02511111111112 11.153027777777778)"
25,T.NO 44,,S,DA,26,43-44,327.0137612,4.85,408,,77.02511111,11.15302778,GOOD,GOOD,LT-3,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02511111111112 11.153027777777778, 77.02508333333333 11.155333333333333)"
26,T.NO 45,,T,DD,28,44-45,256.0175775,6.13,411,"67°23'34""",77.02508333,11.15533333,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02508333333333 11.155333333333333, 77.02727777777778 11.156277777777778)"
27,T.NO 46,,S,DA,26,45-46,259.2180549,5.71,413,,77.02727778,11.15627778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02727777777778 11.156277777777778, 77.02958333333333 11.157111111111112)"
28,T.NO 47A,,T,DC,26,46-47A,268.0242526,5.95,418,"19°48'8""",77.02958333,11.15711111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02958333333333 11.157111111111112, 77.02974999999999 11.157250000000001)"
