Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,
20,S,26,19 to 20 ,262.6457103355749,6.4,315,"12°41'34"" LT",11.278858,77.485942,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.485942 11.278858, 77.484058 11.27705)",,,,,,,,,,,,
21,T,26,20 to 21 ,287.046390576433,6.8,316,"18°3'45"" RT",11.27705,77.484058,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.484058 11.27705, 77.482028 11.276067)",,,,,,,,,,,,
22,T,28,21 to 22 ,247.00586201065224,8.1,312,"46°43'14"" LT",11.276067,77.482028,GOOD,GOOD,LT Line crossing ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.482028 11.276067, 77.48135 11.273898)",,,,,,,,,,,,
23,S,26,22 to 23 ,251.2159844800564,7.7,312,,11.273898,77.48135,GOOD,GOOD,11kv -LT Line crossing ,SAND ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48135 11.273898, 77.48065 11.27164)",,,,,,,,,,,,
24,S,26,23 to 24 ,261.3373260429264,6.3,313,,11.27164,77.48065,GOOD,GOOD,,TAR ROAD ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48065 11.27164, 77.479943 11.269322)",,,,,,,,,,,,
25,T,24,24 to 25 ,267.9135680988916,6.1,316,"11°53'26"" RT",11.269322,77.479943,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.479943 11.269322, 77.479228 11.26803)",,,,,,,,,,,,
26,T,28,25 to 26 ,162.93205423884027,7.7,311,"33°46'23"" LT",11.26803,77.479228,GOOD,GOOD,11kv line crossing ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.479228 11.26803, 77.479398 11.26616)",,,,,,,,,,,,
27,T,24,26 to 27 ,207.7895632826881,5.7,308,"6°27'5"" LT",11.26616,77.479398,GOOD,GOOD,,SAND ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.479398 11.26616, 77.479837 11.264045)",,,,,,,,,,,,
28,T,24,27 to 28 ,238.9352879621919,7.1,306,"7°1'23"" RT",11.264045,77.479837,GOOD,GOOD,,TAR ROAD ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.479837 11.264045, 77.479863 11.263723)",,,,,,,,,,,,
29,T,28,28 to 29 ,35.74963632018517,7.7,302,"86°8'16"" RT",11.263723,77.479863,GOOD,NO E/W,,,Plain,Earth wire is not avilable ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.479863 11.263723, 77.479596 11.263684)",,,,,,,,,,,,
D1,D1,28,29 to D1 ,29.485935701396677,7.8,304,"128°10'6"" LT",11.263684,77.479596,GOOD,NO E/W,,,Plain,Earth wire is not avilable ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.479596 11.263684, 77.479959 11.263345)",,,,,,,,,,,,
30,T,26,D1 to 30,54.591108157978276,7.5,306,"22°31'15"" LT",11.263345,77.479959,GOOD,NO E/W,230 Kv line crossing ,,Plain,(Tower No.290 to 291),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.479959 11.263345, 77.480097 11.263293)",,,,,,,,,,,,
D2,D2,28,30 to D2,16.13688351321322,7.4,304,"117°53'40"" RT",11.263293,77.480097,GOOD,NO E/W,,,Plain,Earth wire is not avilable ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.480097 11.263293, 77.480038 11.263242)",,,,,,,,,,,,
31,T,28,D2 to 31,8.56749581906453,7.8,304,"73°20'16"" LT",11.263242,77.480038,GOOD,GOOD,LT Line crossing ,,River ,Tower is located inside the river ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.480038 11.263242, 77.48097 11.261228)",,,,,,,,,,,,
32,T,28,31 to 32 ,245.04854161489925,7.2,303,"40°24'3"" RT",11.261228,77.48097,GOOD,GOOD,LT Line crossing ,"SAND ROAD,TAR ROAD",Forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48097 11.261228, 77.480242 11.258697)",,,,,,,,,,,,
33,S,26,32 to 33 ,291.18444450354195,6.3,306,,11.258697,77.480242,GOOD,GOOD,,TAR ROAD ,Forest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.480242 11.258697, 77.479442 11.256185)",,,,,,,,,,,,
