S. No ,Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY(PUDANSANTHAI),2W,T,T,20,,,,,214,,11.31840541,78.17600709,GOOD,GOOD,,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17600708823412 11.318405408779224, 78.17605943425707 11.31866788361093)"
2,13,,T,DD,28,GANTRY-13,29,29.61418579,9.08,220,"90°00'00""(LT)",11.31866788,78.17605943,GOOD,GOOD,"33KV-3 LINE CROSSING,S.S BOUNDARY LINE 110KV",TAR ROAD CROSSING,,TOWER INSIDE THE SUB-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17605943425707 11.31866788361093, 78.1757844125847 11.318710423811597)"
3,12,,T,DD,28,13-Dec,30,30.41381265,5.15,222,"64°24'02""(LT)",11.31871042,78.17578441,GOOD,GOOD,LT LINE CROSSING,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1757844125847 11.318710423811597, 78.17434020793851 11.316636959770513)"
4,11,,T,DD,28,12-Nov,279,278.5390457,4.21,224,"57°22'38""(RT)",11.31663696,78.17434021,GOOD,GOOD,"LT-3,33KV LINE CROSSING",SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17434020793851 11.316636959770513, 78.17218847542709 11.316706719868208)"
5,10,,T,DB,24,11-Oct,234,235.2126697,3.19,223,"11°04'03""(RT)",11.31670672,78.17218848,GOOD,GOOD,,TAR ROAD CROSSING(SALEM TO NAMAKKAL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17218847542709 11.316706719868208, 78.16985831968196 11.317235467686537)"
6,9,,T,DD,28,10-Sep,261,261.2221277,0.93,224,"39°38'07""(LT)",11.31723547,78.16985832,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16985831968196 11.317235467686537, 78.16696168523264 11.315798486814385)"
7,8,,T,DC,26,09-Aug,353,354.2033314,2.72,223,"29°06'08""(RT)",11.31579849,78.16696169,GOOD,GOOD,,SAND ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16696168523264 11.315798486814385, 78.16431529397036 11.315908617253893)"
8,7,,S,DA,26,08-Jul,289,289.3890115,2.85,289,"02°11'30""(LT)",11.31590862,78.16431529,GOOD,GOOD,11KV LINE CROSSING,,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16431529397036 11.315908617253893, 78.1616241238655 11.315918924932427)"
9,6,,S,DA,26,07-Jun,295,294.0272096,5.36,218,,11.31591892,78.16162412,GOOD,GOOD,,SAND ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1616241238655 11.315918924932427, 78.15870352580056 11.315990237385702)"
10,5,,T,DB,24,06-May,319,319.1895988,5.75,227,"02°45'55""(LT)",11.31599024,78.15870353,GOOD,GOOD,,,SMALL HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15870352580056 11.315990237385702, 78.15604969060936 11.315928584995959)"
11,4,,S,DA,26,05-Apr,289,290.0275849,1.57,227,,11.31592858,78.15604969,GOOD,GOOD,,,SMALL HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15604969060936 11.315928584995959, 78.15375307207091 11.31584324806723)"
12,3,,T,DB,24,04-Mar,250,251.0975906,2.19,224,"00°00'00""",11.31584325,78.15375307,GOOD,GOOD,,,SMALL HILLS AREA,FOREST AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15375307207091 11.31584324806723, 78.15124559824325 11.315791995474989)"
13,2,,T,DC,26,03-Feb,273,274.0164229,2.08,217,"18°56'45""(LT)",11.315792,78.1512456,GOOD,GOOD,,,SMALL HILLS AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15124559824325 11.315791995474989, 78.1496039022618 11.315198032129265)"
14,1(TAPPING POINT),,T,DD,28,2-1(TP),191,191.039263,0.33,214,"105°14'39""(RT)",11.31519803,78.1496039,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1496039022618 11.315198032129265, 78.14940756266752 11.317463526913269)"
15,58,,S,DA,26,1(TP)-58,252,251.7180963,1.25,209,,11.31746353,78.14940756,GOOD,GOOD,"LT-2,33KV LINE CROSSING",,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14940756266752 11.317463526913269, 78.14919004792036 11.320017885586504)"
16,57,,S,DA,26,58-57,285,283.7780823,0.82,208,,11.32001789,78.14919005,GOOD,GOOD,,SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14919004792036 11.320017885586504, 78.14898462937946 11.322274257003015)"
17,56,,S,DA,26,57-56,255,250.7987241,3.15,205,,11.32227426,78.14898463,GOOD,GOOD,"LT-3,33KV LINE CROSSING",,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14898462937946 11.322274257003015, 78.14872744269847 11.325135366004186)"
18,55,,S,DA,26,56-55,316,317.9842763,3.56,202,,11.32513537,78.14872744,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14872744269847 11.325135366004186, 78.14851788787713 11.327807231562938)"
19,54,,S,DA,26,55-54,297,296.6749063,2.06,205,,11.32780723,78.14851789,GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14851788787713 11.327807231562938, 78.14826363407319 11.330370263158438)"
20,53,2W,S,DA,26,54-53,286,285.0982287,1.56,210,,11.33037026,78.14826363,GOOD,GOOD,,,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14826363407319 11.330370263158438, 78.14804633992668 11.332897516617775)"
21,52,,S,DA,26,53-52,282,280.7863957,0.26,207,,11.33289752,78.14804634,GOOD,GOOD,LT -3,SAND ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14804633992668 11.332897516617775, 78.14779781309718 11.335803869557378)"
22,51,,S,DA,26,52-51,324,322.8931712,0.18,208,,11.33580387,78.14779781,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14779781309718 11.335803869557378, 78.14757152526334 11.338312966340943)"
23,50,,S,DA,26,51-50,280,278.8691449,0.54,210,,11.33831297,78.14757153,GOOD,GOOD,33KV LINE CROSSING,TAR ROAD CROSSING,,FARMER LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14757152526334 11.338312966340943, 78.14737313580771 11.340777164524699)"
24,49,,S,DA,26,50-49,274,273.6603735,0.49,212,,11.34077716,78.14737314,GOOD,GOOD,,SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14737313580771 11.340777164524699, 78.14718577488854 11.34305176697435)"
25,48,,S,DA,26,49-48,254,252.6420393,0.81,208,,11.34305177,78.14718577,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14718577488854 11.34305176697435, 78.14691988590069 11.345858578398948)"
26,47,,S,DA,26,48-47,313,312.0849243,0.72,206,,11.34585858,78.14691989,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14691988590069 11.345858578398948, 78.14672389343585 11.348078894535325)"
27,46,,S,DA,26,47-46,247,246.7326488,0.81,207,,11.34807889,78.14672389,GOOD,GOOD,,,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14672389343585 11.348078894535325, 78.14647709817747 11.350804587117494)"
28,45,, S,DA,26,46-45,304,302.9521414,0.45,206,,11.35080459,78.1464771,GOOD,GOOD,,,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14647709817747 11.350804587117494, 78.14626969041811 11.353250624734166)"
29,44,,T,DB,24,45-44,273,271.7370052,0.75,205,"08°26'35""(RT)",11.35325062,78.14626969,GOOD,GOOD,33KV LINE CROSSING,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14626969041811 11.353250624734166, 78.14644429788402 11.355944262287778)"
30,43,,S,DA,26,44-43,201,298.810977,0.97,200,,11.35594426,78.1464443,GOOD,GOOD,,TAR ROAD CROSSING,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14644429788402 11.355944262287778, 78.1466190821028 11.35861983508472)"
31,42,,S,DA,26,43-42,294,296.8164416,2.96,196,,11.35861984,78.14661908,GOOD,GOOD,LT LINE CROSSING,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1466190821028 11.35861983508472, 78.14683020878694 11.361322860393248)"
32,41,,S,DA,26,42-41,302,300.1283059,1.98,193,,11.36132286,78.14683021,GOOD,GOOD,,CANNAL CROSSING,,FARMER AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14683020878694 11.361322860393248, 78.14698596073522 11.364070516430585)"
33,40,,S,DA,26,41-40,305,304.6571844,1.09,187,,11.36407052,78.14698596,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14698596073522 11.364070516430585, 78.14717330655031 11.3664029434773)"
34,39,2W,S,DA,26,40-39,260,259.023165,1.63,190,,11.36640294,78.14717331,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14717330655031 11.3664029434773, 78.14730419822317 11.368888391091364)"
35,38,,S,DA,26,39-38,277,275.5249535,1.24,194,,11.36888839,78.1473042,GOOD,GOOD,"LT-1,33KV LINE CROSSING",TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14730419822317 11.368888391091364, 78.14746794496703 11.370832154651962)"
36,37,,S,DA,26,38-37,216,215.9282288,1.05,196,,11.37083215,78.14746794,GOOD,GOOD,LT LINE CROSSING,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14746794496703 11.370832154651962, 78.14762566453564 11.37338109638163)"
37,36,,T,DB,24,37-36,284,282.7083303,1.58,194,"04°03'24""(LT)",11.3733811,78.14762566,GOOD,GOOD,,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14762566453564 11.37338109638163, 78.1475973280126 11.376226335616895)"
38,35,,S,DA,26,36-35,316,315,0.93,191,,11.37622634,78.14759733,GOOD,GOOD,,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1475973280126 11.376226335616895, 78.14757186367574 11.37878253414841)"
39,34,,S,DA,26,35-34,284,283,1.93,193,,11.37878253,78.14757186,GOOD,GOOD,33KV LINE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14757186367574 11.37878253414841, 78.14753714883608 11.381347675867522)"
40,33,,S,DA,26,34-33,285,284.0017606,2.03,193,,11.38134768,78.14753715,GOOD,GOOD,,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14753714883608 11.381347675867522, 78.14750890998363 11.383262477092652)"
41,32,,S,DA,26,33-32,212,212.0023585,1.73,198,,11.38326248,78.14750891,GOOD,GOOD,LT LINE CROSSING,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14750890998363 11.383262477092652, 78.1474802173569 11.385222440497083)"
42,31,,S,DA,26,32-31,218,217.0023041,1.96,200,,11.38522244,78.14748022,GOOD,GOOD,,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1474802173569 11.385222440497083, 78.14744782838108 11.387552735934426)"
43,30,,S,DA,26,31-30,259,258.001938,2.06,205,,11.38755274,78.14744783,GOOD,GOOD,,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14744782838108 11.387552735934426, 78.1473763831616 11.39012655272974)"
44,29,,S,DA,26,30-29,284,285.0438563,3.02,209,,11.39012655,78.14737638,GOOD,GOOD,LT-2,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1473763831616 11.39012655272974, 78.14736003966541 11.392682837267252)"
45,28,,S,DA,26,29-28,286,283.0017668,1.73,208,,11.39268284,78.14736004,GOOD,GOOD,LT-2,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14736003966541 11.392682837267252, 78.14731685665748 11.395175627128046)"
46,27,,S,DA,26,28-27,277,276.0072463,1.36,205,,11.39517563,78.14731686,GOOD,GOOD,"LT-2,33KV LINE CROSSING",,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14731685665748 11.395175627128046, 78.14729851779951 11.3979306254551)"
47,26,2W,S,DA,26,27-26,306,305.0016393,2.06,205,,11.39793063,78.14729852,GOOD,GOOD,LT-2,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14729851779951 11.3979306254551, 78.14728287732969 11.400414648630703)"
48,25,,S,DA,26,26-25,276,275.0018182,13.74,211,,11.40041465,78.14728288,GOOD,GOOD,33KV LINE CROSSING,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14728287732969 11.400414648630703, 78.14721085761603 11.403042657199533)"
49,24,,S,DA,26,25-24,292,291.0429522,4.01,210,,11.40304266,78.14721086,GOOD,GOOD,LT-2,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14721085761603 11.403042657199533, 78.1471827117747 11.405860792233558)"
50,23,,S,DA,26,24-23,314,312,3.06,210,,11.40586079,78.14718271,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1471827117747 11.405860792233558, 78.1471747641906 11.408489422622727)"
51,22,,S,DA,26,23-22,292,291.0068728,3.97,292,,11.40848942,78.14717476,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1471747641906 11.408489422622727, 78.1471204921837 11.411171802164391)"
52,21,,S,DA,26,22-21,298,297.0151511,4.96,217,,11.4111718,78.14712049,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1471204921837 11.411171802164391, 78.14706801875556 11.413673531476135)"
53,20,,S,DA,26,21-20,278,277.016245,4.07,218,,11.41367353,78.14706802,GOOD,GOOD,LT-1,TAR ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14706801875556 11.413673531476135, 78.14706023277371 11.416284095383268)"
54,19,,S,DA,26,20-19,289,289.0069203,4.07,216,,11.4162841,78.14706023,GOOD,GOOD,LT LINE CROSSING,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14706023277371 11.416284095383268, 78.14702479332779 11.41891245644231)"
55,18,,T,DD,28,19-18,292,291.0017182,2.03,220,"38°22'57""(RT)",11.41891246,78.14702479,GOOD,GOOD,LT-1,TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14702479332779 11.41891245644231, 78.14829050305286 11.420532712385093)"
56,17,,S,DA,26,18-17,228,226.4597094,1.06,221,,11.42053271,78.1482905,GOOD,GOOD,,SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14829050305286 11.420532712385093, 78.14971069980673 11.422271902619487)"
57,16,2W,S,DA,26,17-16,246,247.2448179,1.96,220,,11.4222719,78.1497107,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14971069980673 11.422271902619487, 78.15135673950574 11.424320420761532)"
58,15,,S,DA,26,16-15,289,289.3941948,3.06,219,,11.42432042,78.15135674,GOOD,GOOD,,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15135673950574 11.424320420761532, 78.15274977489752 11.426032240185936)"
59,14,,S,DA,26,15-14,243,243.0226327,2.63,216,,11.42603224,78.15274977,GOOD,GOOD,"33KV-2,LT-2",TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15274977489752 11.426032240185936, 78.15409749741004 11.427698449354237)"
60,13,,S,DA,26,14-13,236,235.9872878,4.93,216,,11.42769845,78.1540975,GOOD,GOOD,LT LINE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15409749741004 11.427698449354237, 78.15566173337396 11.429691961587569)"
61,12,,T,DC,26,13_12,279,279.0877998,2.96,216,"28°44'58""(RT)",11.42969196,78.15566173,GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSING(NH-44),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15566173337396 11.429691961587569, 78.15714794584788 11.43032969950305)"
62,11,,T,DD,28,12-Nov,177,177.0028248,8.26,214,"40°29'29""(LT)",11.4303297,78.15714795,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15714794584788 11.43032969950305, 78.15831481081098 11.432689717266149)"
63,10,,T,DB,24,11-Oct,292,290.6888371,5.13,214,"00°00'00""",11.43268972,78.15831481,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,SMALL CANNAL CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15831481081098 11.432689717266149, 78.15956229597172 11.435231185582689)"
64,9,,S,DA,26,10-Sep,313,312.6035828,3.13,220,,11.43523119,78.1595623,GOOD,GOOD,LT-2,"SAND ROAD CROSSING, TAR ROAD CROSSING",,HOUSE OPEN LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15956229597172 11.435231185582689, 78.16059500092413 11.437273730095999)"
65,8,,S,DA,26,09-Aug,253,252.6855754,3.95,224,,11.43727373,78.160595,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16059500092413 11.437273730095999, 78.16197698362397 11.440105572361785)"
