Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
23,S,26,22 to 23 ,335.1972678221753,335.1972678221753,16,16,212,,11.747029,77.786015,Good,Good,Lt-11 kv line crossing ,,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.786015 11.747029, 77.784935 11.744669)"
24,T,24,23 to 24 ,286.59172588185356,286.59172588185356,14,14,212,"0°26'54"" LT",11.744669,77.784935,Good,Good,,,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.784935 11.744669, 77.78383 11.742203)"
25,S,26,24 to 25 ,298.41917644679364,298.41917644679364,16,16,209,,11.742203,77.78383,Good,Good,,Tar Road,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78383 11.742203, 77.782658 11.739593)"
26,S,26,25 to 26 ,326,326,14,14,209,,11.739593,77.782658,Good,Good,,Tar Road,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.782658 11.739593, 77.781535 11.737122)"
27,S,26,26 to 27 ,299.7230504252776,299.7230504252776,13,13,208,,11.737122,77.781535,Good,Good,Lt line crossing ,,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.781535 11.737122, 77.780446 11.734609)"
28,T,24,27 to 28,312,312,16,16,207,"1°23'46"" RT",11.734609,77.780446,Good,Good,Lt line crossing ,,waterlogged ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.780446 11.734609, 77.779573 11.732723)"
29,T,24,28 to 29 ,229.4778147070493,229.4778147070493,18,18,208,"14°54'18"" LT",11.732723,77.779573,Good,Good,Lt line crossing ,,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.779573 11.732723, 77.779124 11.730111)"
30,S,26,29 to 30 ,308,308,16,16,207,,11.730111,77.779124,Good,Good,11 kv line crosssing ,Pond,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.779124 11.730111, 77.778828 11.728197)"
31,S,26,30 to 31,224,224,18,18,203,,11.728197,77.778828,Good,Good,,,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.778828 11.728197, 77.778537 11.72695)"
32 LILO,T,28,31 to 32 lilo,162,162,11,11,200,"87°39'26"" LT",11.72695,77.778537,Good,Good,,Tar Road,plain ,Tapping LMHEP2 & Mettur Dam Power House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.778537 11.72695, 77.778678 11.726912)"
LMHEP-1 SS,T,20,32 to gantry,46,46,,,,,11.726912,77.778678,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,=SUM(F7:F39),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
