Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Difference,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
BKB 2 Gantry ,2W,Gantry ,20,,,,,,160,,11.33013,77.75786,GOOD,GOOD,,,PLAIN,Inside the 110 kv BKB-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75786 11.33013, 77.7579 11.3298)"
54/1,,T,28,Gantry  to 54/1,36.84298521,36.79042048,,2.4,158,"120⁰12'47"" LT",11.3298,77.7579,GOOD,GOOD,,,,"Thrichangodu -BKB-2 ,BKB-1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7579 11.3298, 77.76158 11.33254)"
54/2,,T,24,54/1 to 54/2,493.2833634,503.5985658,,2.2,158,"13⁰13'45"" LT",11.33254,77.76158,GOOD,GOOD,,River Crossing,,River crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76158 11.33254, 77.763328 11.334615)"
54/3,,T,26,54/2 to 54/3,307.388698,298.7048135,,2.3,154,"21⁰47'15"" LT",11.334615,77.763328,GOOD,GOOD,,Road crossing ,sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.763328 11.334615, 77.764043 11.336793)"
54/4,,T,28,54/3 to 54 /4,251.9562269,253.4356023,,3.4,152,"30⁰45'53"" LT",11.336793,77.764043,GOOD,GOOD,2-LT line crossing ,,water logged ,Water loggrd ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.764043 11.336793, 77.7633822 11.33966)"
54/5,,T,26,54/4 to 54/5,318.7105283,325.4757101,,3.4,153,"29⁰27'15"" RT",11.33966,77.7633822,GOOD,GOOD,11kv -Lt line crossing ,,water logged ,Water loggrd ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7633822 11.33966, 77.764153 11.342205)"
54/6,,T,24,54/5 to 54/6,294.0466187,294.0392073,,3.2,153,"0⁰57'15"" RT",11.342205,77.764153,GOOD,GOOD,LT crossing ,Road crossing ,water logged ,Water loggrd ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.764153 11.342205, 77.764618 11.343652)"
54/7,,T,24,54/6 to 54/7,170.2285416,168.0407388,,3.2,157,"1⁰54'22"" LT",11.343652,77.764618,GOOD,GOOD,,,water logged ,Water loggrd ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.764618 11.343652, 77.765142 11.345493)"
54/8,,T,28,54/7 to 54/8,216.5046235,211.680588,,3,155,"54⁰20'8"" RT",11.345493,77.765142,GOOD,GOOD,,,water logged ,Water loggrd ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.765142 11.345493, 77.76643 11.345955)"
54/9,,T,28,54/8 to 54/9,141.6374769,149.7047195,,2.8,159,"51⁰38'52"" LT",11.345955,77.76643,GOOD,GOOD,,,water logged ,Water loggrd ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76643 11.345955, 77.766803 11.347063)"
54/10,,T,28,54/9 to 54/10 ,131.4115497,129.244007,,2.2,157,"81⁰9'51"" RT",11.347063,77.766803,GOOD,GOOD,,,water logged ,Tapping To paper mill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.766803 11.347063, 77.767635 11.346925)"
53,,T,26,54/10 to 53,93.60877885,92.16035236,,3.1,161,"24⁰6'2"" LT",11.346925,77.767635,GOOD,GOOD,,,sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.767635 11.346925, 77.769145 11.347312)"
52,,S,26,53 to 52,168.1544336,170.4208387,,3.6,156,,11.347312,77.769145,GOOD,GOOD,,Car Track,sugar cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.769145 11.347312, 77.771135 11.347797)"
