Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,,SB,24,18-19,282,279.1975135,0.29,234,"05°37'46""(LT)",11.38463,77.97504,GOOD,GOOD,22KV-1,ZIG ZAG AREA,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97504 11.38463, 77.97668 11.3862)"
20,,SB,24,19-20,251,249.6255686,0.2,239,"12°47'35""(LT)",11.3862,77.97668,GOOD,GOOD,LT-3,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97668 11.3862, 77.97767 11.3877)"
21,,SA,26,20-21,202,198.1860825,2.34,235,,11.3877,77.97767,GOOD,GOOD,,SAND ROAD CROSSING,PIT CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97767 11.3877, 77.97868 11.38916)"
22,,SD,28,21-22,199,195.7130992,0.19,235,"39°22'35""(RT)",11.38916,77.97868,GOOD,GOOD,,ZIG ZAG AREA,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97868 11.38916, 77.98062 11.38972)"
23,,SA,26,22-23,222,220.8106963,1.62,235,,11.38972,77.98062,GOOD,GOOD,,ZIG ZAG AREA,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98062 11.38972, 77.9826 11.39026)"
24,,SB,24,23-24,226,224.4077767,0.98,235,"03°12'59""(LT)",11.39026,77.9826,GOOD,GOOD,,TAR ROAD CROSSING,ROCK AREA CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9826 11.39026, 77.98515 11.39111)"
25,2W,SB,24,24-25,295,294.0316711,17.05,225,"00°00'00""",11.39111,77.98515,GOOD,GOOD,,TAR ROAD CROSSING,ROCK AREA CROSSING,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98515 11.39111, 77.98758 11.39188)"
26,,SA,26,25-26,279,278.8088464,0.39,225,,11.39188,77.98758,GOOD,GOOD,"LT-1,22KV-1",SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98758 11.39188, 77.98967 11.39259)"
27,,SA,26,26-27,245,241.4670569,1.87,216,,11.39259,77.98967,GOOD,GOOD,,,,"AGRICULTURE LAND,MANGO FARM CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98967 11.39259, 77.99183 11.39328)"
28,,SA,26,27-28,248,248.0186901,0.65,213,,11.39328,77.99183,GOOD,GOOD,LT-2,SAND ROAD CROSSING,,"TOWER INSIDE THE MANGO FARM, AGRICULTURE LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99183 11.39328, 77.99387 11.39397)"
29,,SB,24,28-29,236,235.5817452,0.17,215,"12°55'55""(LT)",11.39397,77.99387,GOOD,GOOD,"LT-1,22KV-1","SMALL CANNAL CROSSING, TAR ROAD CROSSING",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99387 11.39397, 77.99648 11.39557)"
30,,SB,24,29-30,343,335.6699945,0.22,220,"08°57'52""(LT)",11.39557,77.99648,GOOD,GOOD,22KV-1,SAND ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99648 11.39557, 77.99763 11.39655)"
31,,SA,26,30-31,169,165.997901,0.73,218,,11.39655,77.99763,GOOD,GOOD,,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99763 11.39655, 77.99958 11.39819)"
32,,SA,26,31-32,282,279.9069584,0.41,212,,11.39819,77.99958,GOOD,GOOD,22KV-1,,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99958 11.39819, 78.00139 11.39973)"
33,,SB,24,32-33,262,262,0.76,205,"10°25'50""(LT)",11.39973,78.00139,GOOD,GOOD,LT-4,"FENCING CROSSING, SAND ROAD CROSSING, TAR ROAD CROSSING",,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00139 11.39973, 78.00267 11.40135)"
