Tower No,CIRCUIT,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,   Broken etc)",Ground Earth Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO-196/1 - LILO  110KV SIPCOT-1 ,3W,DA,T,26,,,,,,77.55465824,11.25398455,GOOD,GOOD,NO,,,INSIDE SIPCOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55465824 11.25398455, 77.55559388 11.25421143)"
2,T.NO-197,,DA,S,26,196/1-197,105.2615789,9.57,308,,77.55559388,11.25421143,GOOD,GOOD,NO,,,INSIDE SIPCOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55559388 11.25421143, 77.55825476 11.25493848)"
3,T.NO-198,,DA,S,26,197-198,301.6438297,9.28,304,,77.55825476,11.25493848,GOOD,GOOD,NO,,,INSIDE SIPCOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55825476 11.25493848, 77.56053019 11.25555137)"
4,T.NO-199,,DA,S,26,198-199,257.6897359,8.53,304,,77.56053019,11.25555137,GOOD,GOOD,NO,,,INSIDE SIPCOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56053019 11.25555137, 77.56286063 11.2561728)"
5,T.NO-200,,DA,S,26,199-200,263.736611,9.05,305,,77.56286063,11.2561728,GOOD,GOOD,NO,11KV,,INSIDE SIPCOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56286063 11.2561728, 77.56530974 11.25675704)"
6,T.NO-201,,DD,T,28,200-201,275.2780413,3.19,310,"74°20'30.63""",77.56530974,11.25675704,GOOD,GOOD,NO,,,INSIDE SIPCOT,NEED 3WAY JUNCTION BOX.EARTH WIRE CONNNECT TO T.NO-202 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56530974 11.25675704, 77.56541789 11.25656636)"
7,GANTRY 110KV  SIPCOT-3,2W,GANTRY,GANTRY,26,201-GANTRY,24.18677324,,303,,77.56541789,11.25656636,GOOD,MISSING,NO,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56541789 11.25656636, 77.56530974 11.25675704)"
,,,,,,,,,,,77.56530974,11.25675704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56530974 11.25675704, 77.56754272 11.25774068)"
8,T.NO-202,3W,DA,S,26,GANTRY-202,266.0545057,4.84,301,,77.56754272,11.25774068,GOOD,MISSING,NO,,,INSIDE SIPCOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56754272 11.25774068, 77.56961024 11.25864442)"
9,T.NO-203,,DA,S,26,202-203,247.0404825,6.18,300,,77.56961024,11.25864442,GOOD,GOOD,NO,2nos 11KV,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56961024 11.25864442, 77.57188908 11.25963666)"
