Tower No,CIRCUIT,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,   Broken etc)",Ground Earth Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 110KV INGUR,GANTRY,GANTRY,20,,,,314,,77.577836,11.24389976,GOOD,,NO,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.577836 11.24389976, 77.57804707 11.24396118)"
2,T.NO-1,DC,T,26,GANTRY-1,24.041630560342615,6.43,316,,77.57804707,11.24396118,GOOD,MISSING,YES,,,INSIDE SS,ALREADY HAVE 24F OPGW CABLE .2 FEEDER ON THIS TOWER 1.ERODE-II 2.KURUKATHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57804707 11.24396118, 77.57991562 11.24411665)"
3,T.NO-2,DA,S,26,1-2,204.88289338058462,6.08,305,,77.57991562,11.24411665,GOOD,GOOD,NO,"2nos LT,2nos 11KV",TAAR ROAD,CULTIVATION,ALREADY HAVE 24F OPGW CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57991562 11.24411665, 77.58209592 11.24433265)"
4,T.NO-3,DA,S,29,2-3,239.4159560263267,6.72,303,,77.58209592,11.24433265,GOOD,GOOD,NO,11KV,,PLAINLAND,ALREADY HAVE 24F OPGW CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58209592 11.24433265, 77.5844684 11.24454696)"
5,T.NO-4,DA,S,29,3-4,260.30174797722736,6.57,298,,77.5844684,11.24454696,GOOD,GOOD,NO,,MUDROAD,PLAINLAND,ALREADY HAVE 24F OPGW CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5844684 11.24454696, 77.58732668 11.24483835)"
6,T.NO-5,DA,S,29,4-5,313.95700342562833,7.45,297,,77.58732668,11.24483835,GOOD,GOOD,NO,,,PLAINLAND,ALREADY HAVE 24F OPGW CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58732668 11.24483835, 77.59020293 11.24509341)"
7,T.NO-6,DD,T,34,5-6,315.5265440497835,4.88,298,"51°57'29.75""",77.59020293,11.24509341,GOOD,GOOD,NO,LT,,CULTIVATION,ALREADY HAVE 24F OPGW CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59020293 11.24509341, 77.59116408 11.24408212)"
8,T.NO-7,DB,T,30,6-7,153.48289807011074,5.14,296,"12°8'16.01""",77.59116408,11.24408212,GOOD,GOOD,NO,"110KV SC LINE CROSSING BELOW OUR LINE,LT",MUDROAD,PLAINLAND,ALREADY HAVE 24F OPGW CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59116408 11.24408212, 77.59286525 11.24291982)"
9,T.NO-8,DA,S,26,7-8,226.0486673263083,3.94,288,,77.59286525,11.24291982,GOOD,GOOD,NO,,,PLAINLAND,ALREADY HAVE 24F OPGW CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59286525 11.24291982, 77.59445795 11.24191206)"
10,T.NO-9,DB,T,24,8-9,206.70026608594387,7.36,287,"8°4'36.47""",77.59445795,11.24191206,GOOD,GOOD,NO,LT,TAAR ROAD,PLAINLAND,ALREADY HAVE 24F OPGW CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59445795 11.24191206, 77.59617172 11.24113815)"
