Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
53/1(lilo),,T,24,,,,,0.6,181,,11.41773,77.79997,GOOD,GOOD,,Road,PLAIN,Tapping from 110 kv Selam to Eroad line ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79997 11.41773, 77.80134 11.41718)"
2,,T,24,53/1 to 2,179.4439506,161.5361372,,5.32,208,"13⁰19'8"" LT",11.41718,77.80134,GOOD,GOOD,2-11 kv line crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80134 11.41718, 77.80356 11.41684)"
3,,T,28,2 to 3 ,243.5927384,245.3585612,,4.2,210,"51⁰8'21"" LT",11.41684,77.80356,GOOD,GOOD,,,,INSIDE THE 110 KV KARIMANGALAM SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80356 11.41684, 77.80464 11.41781)"
4,,T,28,3 to 4 ,159.9627773,159.5086525,,4.9,211,"31⁰9'9"" LT",11.41781,77.80464,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80464 11.41781, 77.80498 11.41894)"
5,,T,28,4 to 5 ,132.4044989,130.4879067,,5.2,213,"71⁰16'50"" RT",11.41894,77.80498,GOOD,GOOD,,River ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80498 11.41894, 77.80737 11.41903)"
6,,T,28,5 to 6 ,271.9134258,261.2098596,,1.3,205,"40⁰51'13"" RT",11.41903,77.80737,GOOD,GOOD,33 kv line crossing ,,,Suitable Drum point ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80737 11.41903, 77.80889 11.41783)"
7,,T,26,6 to 7 ,144.661342,212.6140523,,2.3,216,"24⁰10'53"" LT",11.41783,77.80889,GOOD,GOOD,33 kv line crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80889 11.41783, 77.80991 11.41757)"
8,,T,26,7 to 8 ,221.2883948,115.0566494,,2.16,219,"21⁰49'18"" LT",11.41757,77.80991,GOOD,GOOD,11 kv line  crossing ,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80991 11.41757, 77.8118 11.41781)"
9,,T,24,8 to 9,242.486309,208.1177231,,5.35,220,"13⁰13'14"" LT",11.41781,77.8118,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8118 11.41781, 77.812738 11.418157)"
10,,T,24,9 to 10 ,119.8231367,109.4082929,,6.25,219,"9⁰15'39"" RT",11.418157,77.812738,GOOD,GOOD,,,,Suitable Drum point ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.812738 11.418157, 77.81321 11.41825)"
Uppupalayam Gantry,2W,T,20,10 to Gantry ,52,52.56714222,,,223,,11.41825,77.81321,GOOD,GOOD,,,,In Side the 110 kv Uppupalayam SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
