SL NO ,Tower No,JOINT BOX,Tower Type,Tower Type (S/T),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,19,,DC,T,26,18-19,192.052858,5.25,309,"27⁰41'57"" RT",11.70232,78.09109,GOOD,GOOD,LT LINE -1 ,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09109 11.70232, 78.09293 11.70236)"
21,20,,DB,T,24,19-20,200.8161301,8.62,313,"11⁰2'49"" LT",11.70236,78.09293,GOOD,GOOD,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09293 11.70236, 78.094218 11.702637)"
22,21,,DC,T,26,20-21,143.8440182,1.64,316,"24⁰36'28"" RT",11.702637,78.094218,GOOD,GOOD,LT LINE -2,"RAILWAY-1,SAND ROAD",AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.094218 11.702637, 78.09574 11.70231)"
23,22,,DD,T,28,21-22,169.9693184,5.67,317,"60⁰9'38"" LT",11.70231,78.09574,GOOD,GOOD,LT LINE - 1,TAR ROAD ,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09574 11.70231, 78.0963 11.70292)"
24,23,,DC,T,26,22-23,91.07423211,6.11,318,"28⁰17'48"" LT",11.70292,78.0963,GOOD,GOOD,LT LINE - 1,TAR ROAD,AGRI LAND,BOUNDARY WALL -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0963 11.70292, 78.09677 11.7048)"
25,24,,DB,T ,24,23-24,214.3647493,2.74,318,"6⁰44'13"" RT",11.7048,78.09677,GOOD,GOOD,33KV LINE-2,,,BOUNDARY WALL -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09677 11.7048, 78.09757 11.7069)"
26,25,,DC,T ,26,24-25,248.3427987,6.89,319,"28⁰38'11"" RT",11.7069,78.09757,GOOD,GOOD,LT LINE -1 ,TAR ROAD,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09757 11.7069, 78.09964 11.70866)"
27,26,,DD,T ,28,25-26,298.2949031,3.36,323,"35⁰41'14"" RT",11.70866,78.09964,GOOD,GOOD,22KV LINE-1,"TAR ROAD,TOWER IN LAKE",,COMPOUND  WALL -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09964 11.70866, 78.10237 11.7089)"
28,27,,DC,T ,26,26-27,299.0511333,5.32,328,"15⁰57'50"" RT",11.7089,78.10237,GOOD,GOOD,LT LINE - 1,"TAR ROAD, SAND ROAD",,FANCEING-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10237 11.7089, 78.10348 11.70869)"
29,28,,DD,T ,28,27-28,123.3225165,3.63,327,"47⁰34'14"" LT",11.70869,78.10348,GOOD,GOOD,,SAND ROAD -1,,FANCEING-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10348 11.70869, 78.10397 11.70905)"
30,29,,DD,T ,28,28-29,66.68485394,1.48,328,"44⁰6'24"" RT",11.70905,78.10397,GOOD,GOOD,"22KV LINE-1, LT LINE -3",TAR ROAD ,,CANAL -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10397 11.70905, 78.10561 11.70884)"
31,30,,DD,T ,28,29-30,180.4426399,2.96,328,"55⁰25'3"" RT",11.70884,78.10561,GOOD,GOOD,,TAR ROAD -2,,SCHOOL BOUNDARY -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10561 11.70884, 78.10623 11.70765)"
32,31,,DD,T ,28,30-31,148.0998032,3.53,331,"71⁰45'41"" RT",11.70765,78.10623,GOOD,NO,,,,COMPOUND  WALL -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10623 11.70765, 78.106 11.70742)"
33,Karupur Gantry,2W,T,T,20,31-Karupur Gantry,35.75149339,,330,,11.70742,78.106,,,,TOWER IN SCHOOL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL  LENGTH ,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
