Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO.196 K.N PALAYAM LILO,2W,DB,T,24,195-196,277.6544615,6.7,465,"2°44'39""",76.93055556,11.10777778,GOOD,GOOD,HT,CANAL,PLAIN,K.N PALAYAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93055555555556 11.107777777777777, 76.93136111111112 11.104805555555556)"
T.NO.197,,DA,S,26,196-197,341.0879652,4.75,466,,76.93136111,11.10480556,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93136111111112 11.104805555555556, 76.93230555555556 11.10175)"
T.NO.198,,DA,S,26,197-198,351.727167,6.15,455,,76.93230556,11.10175,GOOD,GOOD,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93230555555556 11.10175, 76.93308333333334 11.099)"
T.NO.199,,DB,T,24,198-199,316.8927263,6.05,457,"4°2'15""",76.93308333,11.099,GOOD,GOOD,"2 NOS LT,HT",2 NOS ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93308333333334 11.099, 76.93397222222222 11.096472222222223)"
T.NO.200,,DB,T,24,199-200,295.4386569,4.95,460,"9°9'16""",76.93397222,11.09647222,GOOD,GOOD,"HT,LT","ROAD,SCHOOL",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93397222222222 11.096472222222223, 76.93452777777779 11.093388888888889)"
T.NO.201,,DA,S,26,200-201,346.9538874,3.14,453,,76.93452778,11.09338889,GOOD,GOOD,"HT,LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93452777777779 11.093388888888889, 76.93497222222223 11.09075)"
T.NO.202,,DA,S,26,201-202,296.0827587,5.95,454,,76.93497222,11.09075,GOOD,GOOD,2 NOS LT,"ROAD,CANAL",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93497222222223 11.09075, 76.93552777777778 11.087833333333334)"
T.NO.203,,DB,T,24,202-203,329.0866147,5.05,455,"7°17'6""",76.93552778,11.08783333,GOOD,GOOD,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93552777777778 11.087833333333334, 76.93566666666668 11.085638888888889)"
T.NO.204,,DC,T,26,203-204,244.5240274,6.32,460,,76.93566667,11.08563889,GOOD,GOOD,"3 NOS HT,",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.93566666666668 11.085638888888889, 76.93569444444445 11.085277777777778)"
GT 230KV THUDIYALUR SS,2W,GANTRY,T,15,204-GANTRY,38.11823711,,462,,76.93569444,11.08527778,GOOD,MISSING,,,PLAIN,230KV THUDIYALUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
