S.NO,Tower No,JOINT BOX,Tower Type ,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,MALLIYAKARAI GANTRY ,2W,GANTRY,T,20,,,,,299,,11.57625,78.47618,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47618 11.57625, 78.47591 11.57647)"
2,35,,D,T,26,M GANTRY-35,43,38.22372034,11.05,299,"15⁰20'16"" LT",11.57647,78.47591,GOOD,GOOD,LT LINE 1,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47591 11.57647, 78.47422 11.57722)"
3,34,,D,T,28,35-34,202,202.2466621,1.43,303,"51⁰58'49"" RT",11.57722,78.47422,GOOD,GOOD,LT LINE 1,"CANAL CROSSING,SAND ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47422 11.57722, 78.47366 11.57947)"
4,33,,C,T,24,34-33,260,256.4157797,3.97,306,"13⁰47'17"" RT",11.57947,78.47366,GOOD,GOOD,LT LINE 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47366 11.57947, 78.47366 11.58115)"
5,32,,C,T,26,33-32,190,185.9401986,0.559,311,"15⁰52'36"" LT",11.58115,78.47366,GOOD,GOOD,LT LINE 2,TAR ROAD CROSSING (ATTUR - RASIPURAM),,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47366 11.58115, 78.47306 11.58323)"
6,31,,D,T,28,32-31,246,239.3418677,0.96,319,"57⁰00'53"" LT",11.58323,78.47306,GOOD,GOOD,,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47306 11.58323, 78.47105 11.58384)"
7,30,,C,T,24,31-30,234,229.4984538,5.88,322,"7⁰10'48"" RT",11.58384,78.47105,GOOD,GOOD,LT LINE 2,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47105 11.58384, 78.46878 11.58485)"
8,29,,C,T,24,30-29,272,271.7701894,7.36,320,"13⁰55'53"" RT",11.58485,78.46878,GOOD,GOOD,,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46878 11.58485, 78.46717 11.5861)"
9,28,,C,T,26,29-28,224,223.6249848,1.03,313,"16⁰16'59"" LT",11.5861,78.46717,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46717 11.5861, 78.46513 11.58691)"
10,27,,D,T,28,28-27,240,239.9892176,2.43,309,"47⁰51'25"" RT",11.58691,78.46513,GOOD,GOOD,LT LINE 1,ARIYAPALAYAM TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46513 11.58691, 78.46429 11.58916)"
11,26,,D,T,26,27-26,271,265.3635094,2.76,304,"26⁰33'35"" RT",11.58916,78.46429,GOOD,GOOD,LT LINE 2,ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46429 11.58916, 78.4645 11.59102)"
12,25,,D,T,28,26-25,211,207.1354493,0.82,303,"36⁰28'4"" RT",11.59102,78.4645,GOOD,GOOD,,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4645 11.59102, 78.46575 11.59235)"
13,24,,C,T,24,25-24,204,200.6863693,1.23,305,"3⁰24'45"" LT",11.59235,78.46575,GOOD,GOOD,LT LINE 1,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46575 11.59235, 78.46675 11.59355)"
14,23,,B,T,24,24-23,173,171.8943431,0.74,306,"3⁰36'0"" LT",11.59355,78.46675,GOOD,GOOD,,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46675 11.59355, 78.46795 11.59519)"
15,22,,B,T,24,23-22,227,223.8176562,0.35,309,"1⁰9'24"" LT",11.59519,78.46795,GOOD,GOOD,LT LINE 1,"SAND ROAD CROSSING, WIRE CABLE CROSSING",,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46795 11.59519, 78.46931 11.59713)"
16,21,2W,C,T,24,22-21,263,261.0128546,10.89,306,"4⁰47'9"" RT",11.59713,78.46931,GOOD,GOOD,LT LINE 1,CAR TRACK,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46931 11.59713, 78.47087 11.599)"
17,20,,D,T,26,21-20,271,267.98149,2.76,304,"23⁰22'37"" RT",11.599,78.47087,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47087 11.599, 78.47322 11.60019)"
18,19,,C,T,24,20-19,288,288.2775752,0.36,306,"3⁰11'46"" RT",11.60019,78.47322,GOOD,GOOD,,,SMALL FOREST ,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47322 11.60019, 78.47575 11.6013)"
19,18,,C,T,26,19-18,305,302.1725258,0.28,307,"18⁰21'46"" LT",11.6013,78.47575,GOOD,GOOD,,CANAL CROSSING,SMALL FOREST ,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47575 11.6013, 78.47733 11.60272)"
20,17,,D,T,28,18-17,237,233.2907703,1.08,303,"31⁰31'18"" RT",11.60272,78.47733,GOOD,GOOD,,  SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47733 11.60272, 78.47961 11.60315)"
21,16,,C,T,26,17-16,253,253.2997976,0.67,303,"19⁰32'4"" LT",11.60315,78.47961,GOOD,GOOD,,SMALL FOREST,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47961 11.60315, 78.48077 11.60382)"
22,15,,C,T,26,16-15,153,146.6984808,0.48,302,"21⁰38'27"" RT",11.60382,78.48077,GOOD,GOOD,,ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48077 11.60382, 78.48315 11.60418)"
23,14,,C,T,24,15-14,262,262.7375735,8.34,303,"12⁰11'14"" RT",11.60418,78.48315,GOOD,GOOD,LT LINE 1,WIRE CABLE CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48315 11.60418, 78.48516 11.60406)"
24,13,,D,T,28,14-13,229,219.726783,0.56,305,"42⁰10'32"" LT",11.60406,78.48516,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48516 11.60406, 78.48759 11.60598)"
25,12,,D,T,26,13-Dec,341,339.7982992,0.26,296,"23⁰54'52"" LT",11.60598,78.48759,GOOD,GOOD,,SMALL PIT CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48759 11.60598, 78.487767 11.606317)"
26,11,,TAPPING,T,28,12-Nov,44,42.00216103,,293,"34⁰16'27"" LT",11.606317,78.487767,GOOD,GOOD,230 KV LINE CROSSING .. THIS LINE GOING BELOW 8m HEIGHT FROM SLM-ATR277 TO SLM-ATR276 ,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.487767 11.606317, 78.48772 11.6067)"
27,10,,TAPPING,T,24,11-Oct,47,42.69866561,,291,"13⁰59'21"" LT",11.6067,78.48772,GOOD,GOOD,LT LINE 1,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48772 11.6067, 78.4876 11.60701)"
28,9,,D,T,28,10-Sep,38,36.72372438,0.48,290,"49⁰45'58"" RT",11.60701,78.4876,GOOD,GOOD,LT LINE 1,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4876 11.60701, 78.4884 11.60844)"
29,8,,B,T,24,09-Aug,182,180.7457791,1.04,287,"3⁰8'23"" RT",11.60844,78.4884,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4884 11.60844, 78.48951 11.61019)"
