S. No ,Tower No,JOINT BOX,Tower Type,Tower Type ,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,21,,GCR,DA,26,20-21,270,233.3376504,4.23,460,,12.43726,78.33304,GOOD,GOOD,,,,"MANGO GARDEN, AGRICULTURE LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33304 12.43726, 78.33495 12.43879)"
22,22,,HCR+6,DB+6,30,21-22,180,268.0736655,2.51,466,"09°23'50""(RT)",12.43879,78.33495,GOOD,GOOD,,SAND ROAD CROSSING,,MANGO GARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33495 12.43879, 78.33639 12.4396)"
23,23,,HCR+3M,DC+3,29,22-23,240,180.5059575,1.25,463,"21°39'36""(LT)",12.4396,78.33639,GOOD,GOOD,,"HILL CROSSING, BOUNDARY WALL CROSSING",,"AGRICULTURE LAND,MANGO GARDEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33639 12.4396, 78.33772 12.44124)"
24,24,,HCR+3M,DC+3,29,23-24,300,232.1499642,2.51,459,"22°55'32""(LT)",12.44124,78.33772,GOOD,GOOD,,CANAL CROSSING,SMALL HILLS,MANGO GARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33772 12.44124, 78.3385 12.44398)"
25,25,,HCR+3M,DC+3,29,24-25,220,314.9543136,1.25,459,"17°10'53""(LT)",12.44398,78.3385,GOOD,GOOD,,"HILL CROSSING, BOUNDARY WALL CROSSING",,MANGO GARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3385 12.44398, 78.33843 12.44652)"
26,26,,KCR+3M,DD+3,31,25-26,240,281.2714753,2.15,461,"60°00'00""(RT)",12.44652,78.33843,GOOD,GOOD,,SAND ROAD CROSSING,,"AGRICULTURE LAND,MANGO GARDEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33843 12.44652, 78.34029 12.44762)"
27,27,,HCR,DC,26,26-27,210,236.1596648,1.59,458,"21°45'31""(LT)",12.44762,78.34029,GOOD,GOOD,,"SAND ROAD CROSSING,TAR ROAD CROSSING",,MANGO GARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34029 12.44762, 78.34158 12.44929)"
28,28,,GCR,DA,26,27-28,180,232.0959129,0.91,453,,12.44929,78.34158,GOOD,GOOD,,FENCING CROSSING,,MANGO GARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34158 12.44929, 78.34269 12.45073)"
29,29,,GCR,DA,26,28-29,240,199.9764861,1.21,454,,12.45073,78.34269,GOOD,GOOD,,,,"AGRICULTURE LAND,MANGO GARDEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34269 12.45073, 78.34396 12.45239)"
30,30,,HCR,DB,24,29-30,230,229.8997267,2.52,455,"07°08'31""(RT)",12.45239,78.34396,GOOD,GOOD,,FENCING CROSSING-3,,"AGRICULTURE LAND,MANGO GARDEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34396 12.45239, 78.34531 12.45376)"
31,31,,HCR,DB,24,30-31,220,211.108645,2.21,459,"07°03'26""(LT)",12.45376,78.34531,GOOD,GOOD,,FENCING CROSSING,,"AGRICULTURE LAND,MANGO GARDEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34531 12.45376, 78.34663 12.45548)"
32,32,,KCR,DC,26,31-32,40,238.4759513,1.03,459,"24°44'22""(RT)",12.45548,78.34663,GOOD,GOOD,11KV LINE CROSSING,"SUB-STATION , FENCING CROSSING",,MANGO GARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34663 12.45548, 78.34699 12.45567)"
33,THUVARAPALLI GANTRY,2W,THUVARAPALLI GANTRY,T,20,32-THUVARAPALLI GANTRY,,44.45283255,,,,12.45567,78.34699,GOOD,GOOD,,,SUB-STATION INSIDE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL LENGTH ,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
