Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,
39,T,28,38 to 39 ,276.9242994925285,15,269,"43⁰21'17"" RT",11.76207,77.81903,Good,Good,400 Kv line crossing ,,hill,400KV MTPS II-Karamadai (5-6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81903 11.76207, 77.81751 11.76262)",,,,,,,,,,,,
40,T,24,39 to 40 ,176.62929476378693,16,280,"8⁰36'15"" RT",11.76262,77.81751,Good,Good,230 kv line crossing ,Car Track,hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81751 11.76262, 77.81568 11.76361)",,,,,,,,,,,,
41,T,26,40 to 41,227.7250591447606,16,263,"22⁰2'55"" RT",11.76361,77.81568,Good,Good,230 kv line crossing ,,hill,1.230KV MTPS II to Gobi & Thingalur   (6-7)                                    2.230 KV MTPS II to Auto SS(6-7)                                                                                ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81568 11.76361, 77.8141 11.76552)",,,,,,,,,,,,
42,T,24,41 to 42,272.78700874220175,14,230,"3⁰33'29"" RT",11.76552,77.8141,Good,Good,,Road Crossing ,hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8141 11.76552, 77.81274 11.76739)",,,,,,,,,,,,
43,T,28,42 to 43 ,254.68293133608245,18,175,"44⁰1'56"" RT",11.76739,77.81274,Good,Good,,Road Crossing ,hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81274 11.76739, 77.81283 11.76799)",,,,,,,,,,,,
44,T,26,43 to 44 ,67.1444649847126,16,225,"19⁰29'24"" RT",11.76799,77.81283,Good,Good,,Road Crossing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81283 11.76799, 77.813118 11.768526)",,,,,,,,,,,,
GANTRY THERMAL PH,T,20,44 to gantry,67.1404885824898,,226,,11.768526,77.813118,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH,,,,=SUM(E7:E36),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
