S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 32 LILO M.G.C PALAYAM,,T,DC,26,,,,354,,77.14941667,11.14722222,GOOD,GOOD,,,PLAIN,M.G.C PALAYAM LILO.NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14941666666667 11.147222222222222, 77.14727777777779 11.148638888888888)"
2,T.NO 2,,T,DD,28,32-2,280.6795326,4.75,352,"31°34'26""",77.14727778,11.14863889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14727777777779 11.148638888888888, 77.14541666666668 11.148722222222222)"
3,T.NO 3,,T,DD,28,02-Mar,206.1188977,5.26,349,"39°37'2""",77.14541667,11.14872222,GOOD,GOOD,,DRAIN,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14541666666668 11.148722222222222, 77.14355555555557 11.150361111111112)"
4,T.NO 4,,T,DD,28,03-Apr,271.309786,7.45,354,"58°15'45""",77.14355556,11.15036111,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14355555555557 11.150361111111112, 77.14152777777778 11.149777777777777)"
5,T.NO 5,,T,DD,28,04-May,229.6867432,3.36,355,"45°7'23""",77.14152778,11.14977778,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14152777777778 11.149777777777777, 77.13977777777778 11.15075)"
6,T.NO 6,,T,DD,28,05-Jun,220.5923843,5.17,353,"35°14'57""",77.13977778,11.15075,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13977777777778 11.15075, 77.13738888888889 11.150472222222223)"
7,T.NO 7,,T,DB,24,06-Jul,260.8486151,4.77,358,"9°14'53""",77.13738889,11.15047222,GOOD,GOOD,"LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13738888888889 11.150472222222223, 77.13502777777778 11.150611111111111)"
8,T.NO 8,,T,DC,26,07-Aug,260.2325883,7.95,358,"26°11'11""",77.13502778,11.15061111,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13502777777778 11.150611111111111, 77.13255555555556 11.149555555555555)"
9,T.NO 9,,T,DB,24,08-Sep,292.8275943,3.62,360,"5°17'27""",77.13255556,11.14955556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13255555555556 11.149555555555555, 77.13091666666666 11.148666666666665)"
10,T.NO 10,,T,DD,28,09-Oct,205.9126028,6.96,356,"36°26'55""",77.13091667,11.14866667,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13091666666666 11.148666666666665, 77.12849999999999 11.148972222222222)"
