Tower No,JOINTBOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Ground Earth Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-24,,T,SD,28,23-24,92.34717104,4.42,2010,"30°21'30.4""",76.65397222,11.30802778,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.65397222222222 11.30802777777778, 76.658 11.308916666666667)"
T.NO-25,,T,SB,27,24-25,450.0244438,3.67,2036,"3°25'9.3""",76.658,11.30891667,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.658 11.308916666666667, 76.65877777777779 11.309111111111111)"
T.NO-26,,T,SD,28,25-26,86.40023148,4.94,2053,"36°10'41.5""",76.65877778,11.30911111,GOOD,GOOD,NO,22KV,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.65877777777779 11.309111111111111, 76.65925 11.309722222222224)"
T.NO-27,,T,SD,28,26-27,83.40863265,4.18,2027,"36°31'1.4""",76.65925,11.30972222,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.65925 11.309722222222224, 76.66055555555556 11.310083333333335)"
T.NO-28,,T,SD,28,27-28,150.6851021,5.16,2036,"43°57'17.5""",76.66055556,11.31008333,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.66055555555556 11.310083333333335, 76.66166666666668 11.311916666666667)"
T.NO-29,,T,SD,28,28-29,236.1715478,3.3,2028,"43°55'27.7""",76.66166667,11.31191667,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.66166666666668 11.311916666666667, 76.66441666666667 11.312666666666667)"
T.NO-30,,T,SB,24,29-30,311.8092366,3.9,2033,"2°22'51.6""",76.66441667,11.31266667,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.66441666666667 11.312666666666667, 76.6665 11.31313888888889)"
T.NO-31,,T,SB,24,30-31,232.3617869,3.82,2090,"14°24'33.2""",76.6665,11.31313889,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.6665 11.31313888888889, 76.66758333333334 11.313111111111112)"
T.NO-32,,T,SC,26,31-32,118.0169479,3.48,2088,"26°46'19.8""",76.66758333,11.31311111,GOOD,GOOD,NO,,NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.66758333333334 11.313111111111112, 76.66897222222222 11.313777777777778)"
T.NO-33,,T,SB,24,32-33,167.7200048,3.6,2008,"12°44'11.7""",76.66897222,11.31377778,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.66897222222222 11.313777777777778, 76.67055555555557 11.315000000000001)"
T.NO-34,,T,SB,24,33-34,219.8931559,3.54,2100,"10°21'1.3""",76.67055556,11.315,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.67055555555557 11.315000000000001, 76.67219444444444 11.315861111111111)"
T.NO-35,,T,SB,24,34-35,205.353354,3.7,2118,"4°16'4.0""",76.67219444,11.31586111,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.67219444444444 11.315861111111111, 76.67333333333333 11.316361111111112)"
T.NO-36,,T,SB,24,35-36,135.6502857,3.62,2173,"11°11'42.9""",76.67333333,11.31636111,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.67333333333333 11.316361111111112, 76.67363888888889 11.316416666666667)"
T.NO-37,,T,SC,26,36-37,31.78049716,3.66,2180,"15°0'53.9""",76.67363889,11.31641667,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.67363888888889 11.316416666666667, 76.67455555555556 11.31638888888889)"
T.NO-38,,T,SC,26,37-38,100.079968,4.17,2175,"24°15'54.4""",76.67455556,11.31638889,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.67455555555556 11.31638888888889, 76.67558333333334 11.316777777777778)"
T.NO-39,2W,T,SC,26,38-39,122.9308749,3.6,2153,"21°50'52.9""",76.67558333,11.31677778,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.67558333333334 11.316777777777778, 76.67975 11.316777777777778)"
T.NO-40,,T,SB,27,39-40,453.0011038,4.42,2060,"12°1'42.5""",76.67975,11.31677778,GOOD,GOOD,NO,,4nos MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.67975 11.316777777777778, 76.68033333333334 11.316888888888888)"
