S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LMHEP II Gantry,2w,T,Gantry,15,,,-,183,,11.64325551,77.755598,GOOD,EW NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7555979974567 11.6432555112987, 77.7555540762841 11.6430722828954)"
2,1,,T,D+0,26,LMHEP II Gantry-1,28.92803933,2.1,183,118°28'3''RT,11.64307228,77.75555408,GOOD,GOOD,,,,Inside Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7555540762841 11.6430722828954, 77.7580484468489 11.6408767271786)"
3,2,,T,C+0,26,01-Feb,373.2374281,1.8,182,51°45'46''LT,11.64087673,77.75804845,GOOD,GOOD,,River & Dam Xing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7580484468489 11.6408767271786, 77.7608516905456 11.64136396721)"
4,3,,T,C+0,26,02-Mar,318.0649804,1.9,186,44°49'24''RT,11.64136397,77.76085169,GOOD,GOOD,HT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7608516905456 11.64136396721, 77.7633220050483 11.639669984579)"
5,4,,S,A+0,28,03-Apr,336.422299,1.5,191,,11.63966998,77.76332201,GOOD,GOOD,"LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7633220050483 11.639669984579, 77.76570498012 11.6380230244249)"
6,5,,T,C+0,26,04-May,325.6349014,1.1,197,13°4'46''LT,11.63802302,77.76570498,GOOD,GOOD,2-HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76570498012 11.6380230244249, 77.7682239934802 11.6370219737291)"
7,6,,S,A+0,28,05-Jun,304.0653573,1.6,191,,11.63702197,77.76822399,GOOD,GOOD,"LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7682239934802 11.6370219737291, 77.7708229701966 11.635983036831)"
8,7,,S,A+0,28,06-Jul,313.7206307,1.8,197,,11.63598304,77.77082297,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7708229701966 11.635983036831, 77.7733170054852 11.634983997792)"
9,8,,S,A+0,28,07-Aug,301.4634801,1.4,203,,11.634984,77.77331701,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7733170054852 11.634983997792, 77.7758620027452 11.6339849587529)"
10,9,,S,A+0,28,08-Sep,306.6090335,1.6,212,,11.63398496,77.775862,GOOD,GOOD,TUNEL,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7758620027452 11.6339849587529, 77.7782490011304 11.6330340318381)"
11,10,,S,A+0,28,09-Oct,288.6506858,1.7,216,,11.63303403,77.778249,GOOD,GOOD,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7782490011304 11.6330340318381, 77.7806869614869 11.632069023326)"
12,11,,S,A+0,28,10-Nov,294.383488,1.8,213,,11.63206902,77.78068696,GOOD,GOOD,"2-LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7806869614869 11.632069023326, 77.7830400131642 11.6311330161988)"
13,12,,T,D+0,26,11-Dec,284.602585,1.2,214,59°17'9''LT,11.63113302,77.78304001,GOOD,GOOD,2-LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7830400131642 11.6311330161988, 77.7852629777044 11.6328030265867)"
14,13,,S,A+0,28,Dec-13,313.1205651,1.1,220,,11.63280303,77.78526298,GOOD,GOOD,"2-LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7852629777044 11.6328030265867, 77.7861060295253 11.6335109621286)"
15,1LILO,,T,D+0,26,13-1LILO,128.9425731,1,219,,11.63351096,77.78610603,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
