S. No ,Tower No,JOINT BOX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 1MC DEVANAMPALAYAM LILO,,T,MC,45,,,6.23,312,,77.07630556,10.77538889,GOOD,GOOD,,,PLAIN,DEVANAMPALAYAM LILO NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07630555555555 10.77538888888889, 77.07533333333333 10.774777777777778)"
2,T.NO 2,,T,DC,26,01-Feb,125.0959632,4.75,310,"17°28'15""",77.07533333,10.77477778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07533333333333 10.774777777777778, 77.07291666666666 10.77413888888889)"
3,T.NO 3,,T,DD,28,02-Mar,273.9069185,3.67,310,"93°5'40""",77.07291667,10.77413889,GOOD,GOOD,11KV,CANAL,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07291666666666 10.77413888888889, 77.07263888888889 10.775444444444446)"
4,T.NO 4,,T,DD,28,03-Apr,149.4657151,2.32,306,"55°18'32""",77.07263889,10.77544444,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07263888888889 10.775444444444446, 77.07111111111111 10.776083333333334)"
5,T.NO 5,,T,DC,26,04-May,181.6177304,1.8,309,"26°29'57""",77.07111111,10.77608333,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07111111111111 10.776083333333334, 77.07022222222221 10.776027777777779)"
6,T.NO 6,,T,DD,28,05-Jun,96.25487001,2.04,307,"34°31'53""",77.07022222,10.77602778,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.07022222222221 10.776027777777779, 77.06869444444445 10.774833333333333)"
7,T.NO 7,,T-MC,MB,45,06-Jul,212.708721,5.29,310,"1°11'52""",77.06869444,10.77483333,GOOD,GOOD,LT,TAARROAD,WATERLOGGED,NEED 4WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06869444444445 10.774833333333333, 77.0675 10.773944444444446)"
8,T.NO 8,,T,DD,28,07-Aug,162.6099628,2.09,304,"83°23'58""",77.0675,10.77394444,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0675 10.773944444444446, 77.0663611111111 10.77513888888889)"
9,T.NO 9,,T,DB,24,08-Sep,181.0414317,2.96,305,"14°58'20""",77.06636111,10.77513889,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0663611111111 10.77513888888889, 77.06447222222222 10.776277777777779)"
10,T.NO 10,2W,T,DD,28,09-Oct,241.2985702,3.03,306,"74°26'7""",77.06447222,10.77627778,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06447222222222 10.776277777777779, 77.06375 10.775583333333334)"
11,T.NO 11,,T,DD,28,10-Nov,108.9311709,3.88,307,"52°54'16""",77.06375,10.77558333,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06375 10.775583333333334, 77.06252777777777 10.775805555555557)"
12,T.NO 12,,T,DD,28,11-Dec,134.8072698,2.76,309,"34°24'21""",77.06252778,10.77580556,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06252777777777 10.775805555555557, 77.06122222222221 10.777083333333334)"
13,T.NO 13,,T,DD,28,Dec-13,202.2770377,4.85,303,"77°29'18""",77.06122222,10.77708333,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.06122222222221 10.777083333333334, 77.05991666666667 10.776222222222223)"
14,T.NO 14,,T,DD,28,13-14,169.4609099,8.12,304,"77°29'18""",77.05991667,10.77622222,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05991666666667 10.776222222222223, 77.05877777777778 10.774750000000001)"
15,T.NO 15,,T,DD,28,14-15,206.603485,2.76,301,"75°50'35""",77.05877778,10.77475,GOOD,GOOD,,TAARROAD,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05877777777778 10.774750000000001, 77.05755555555555 10.775250000000002)"
16,T.NO 16,,T,DD,28,15-16,147.0782105,3.09,302,"69°23'23""",77.05755556,10.77525,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05755555555555 10.775250000000002, 77.05702777777778 10.774722222222223)"
17,T.NO 17,,T,DD,28,16-17,80.65977932,7.48,300,"66°3'7""",77.05702778,10.77472222,GOOD,GOOD,,CANAL,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05702777777778 10.774722222222223, 77.05741666666667 10.773805555555557)"
18,T.NO 18,,T,DD,28,17-18,109.772492,3.75,302,"73°12'5""",77.05741667,10.77380556,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05741666666667 10.773805555555557, 77.05647222222223 10.773027777777779)"
19,T.NO 19,,T,DD,28,18-19,134.1827113,2.56,301,"99°51'36""",77.05647222,10.77302778,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05647222222223 10.773027777777779, 77.05755555555555 10.77213888888889)"
20,T.NO 20,,T,DC,26,19-20,154.6738504,2.25,302,"29°55'17""",77.05755556,10.77213889,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05755555555555 10.77213888888889, 77.05794444444444 10.771)"
21,T.NO 21,,T,DD,28,20-21,132.8533026,4.87,301,"36°21'21""",77.05794444,10.771,GOOD,GOOD,LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05794444444444 10.771, 77.05763888888889 10.770000000000001)"
22,T.NO 22,,T,DD,28,21-22,115.8015544,8.32,303,"50°12'34""",77.05763889,10.77,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05763888888889 10.770000000000001, 77.05583333333333 10.769250000000001)"
23,T.NO 23,,T,DD,28,22-23,215.4738963,7.91,308,"59°0'5""",77.05583333,10.76925,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05583333333333 10.769250000000001, 77.05580555555555 10.76902777777778)"
