S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,T.NO 1,T,DD,28,68-1,62.16912416947821,13.72,222,"81°25'16""",77.63316666666665,11.566916666666666,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63316666666665 11.566916666666666, 77.63525000000001 11.567666666666666)"
21,T.NO 2,S,DA,26,1-2,243.92006887503126,6.93,225,,77.63525000000001,11.567666666666666,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63525000000001 11.567666666666666, 77.63686111111112 11.568194444444444)"
22,T.NO 3,T,DD,28,2-3,183.10925700247927,14.37,225,"33°38'47""",77.63686111111112,11.568194444444444,GOOD,GOOD,HT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63686111111112 11.568194444444444, 77.63797222222223 11.569666666666667)"
23,T.NO 4,T,DB,24,3-4,204.40156555173445,8.72,216,"5°43'18""",77.63797222222223,11.569666666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63797222222223 11.569666666666667, 77.63916666666667 11.571555555555555)"
24,T.NO 5,T,DD,28,4-5,247.12952069714376,11.25,220,"31°51'52""",77.63916666666667,11.571555555555555,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63916666666667 11.571555555555555, 77.64058333333334 11.57225)"
25,T.NO 6,S,DA,26,5-6,173.08090593707902,13.42,220,,77.64058333333334,11.57225,GOOD,GOOD,LT1,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64058333333334 11.57225, 77.64175 11.572861111111111)"
26,T.NO 7 DP,T,DD,28,6-7,144.01388821915754,5.25,224,"43°15'7""",77.64175,11.572861111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64175 11.572861111111111, 77.64186111111111 11.573138888888888)"
27,T.NO 8 DP,T,DP,24,7-8,32.89376840679705,DP,226,,77.64186111111111,11.573138888888888,GOOD,GOOD,230KV,,PLAIN,MTPS - ANTHIYUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64186111111111 11.573138888888888, 77.64200000000001 11.573416666666667)"
28,T.NO 9,T,DP,26,8-9,35.84689665786984,DP,229,,77.64200000000001,11.573416666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64200000000001 11.573416666666667, 77.64236111111111 11.573777777777778)"
29,T.NO 10,T,DB,24,9-10,55.154328932550705,6.96,222,"29°24'32""",77.64236111111111,11.573777777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64236111111111 11.573777777777778, 77.64294444444445 11.575861111111111)"
30,T.NO 11,S,DA,26,10-11,241.36694056974744,11.52,219,,77.64294444444445,11.575861111111111,GOOD,GOOD,"LT2,HT1",TAAR RAOD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64294444444445 11.575861111111111, 77.64355555555557 11.577972222222222)"
31,T.NO 12,S,DA,26,11-12,241.89667215569543,8.63,220,,77.64355555555557,11.577972222222222,GOOD,GOOD,,TAAR RAOD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64355555555557 11.577972222222222, 77.64422222222223 11.58013888888889)"
32,T.NO 13,T,DB,24,12-13,249.7218452598811,13.07,219,"14°11'49""",77.64422222222223,11.58013888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64422222222223 11.58013888888889, 77.64530555555557 11.581972222222221)"
33,T.NO 14,S,DA,26,13-14,233.80547470065795,9.27,225,,77.64530555555557,11.581972222222221,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64530555555557 11.581972222222221, 77.6465 11.583972222222222)"
34,T.NO 15,T,DD,28,14-15,259.35689695861186,12.74,228,"49°1'30""",77.6465,11.583972222222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6465 11.583972222222222, 77.64591666666668 11.585722222222223)"
35,T.NO 16,T,DB,24,15-16,203.35437049643167,15.79,221,"14°44'6""",77.64591666666668,11.585722222222223,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64591666666668 11.585722222222223, 77.64452777777778 11.587833333333334)"
36,T.NO 17,S,DA,26,16-17,278.19597409020855,7.5,218,,77.64452777777778,11.587833333333334,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64452777777778 11.587833333333334, 77.64288888888889 11.590194444444444)"
37,T.NO 18,S,DA,26,17-18,317.37044600907626,15.24,216,,77.64288888888889,11.590194444444444,GOOD,GOOD,"LT1,HT1",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64288888888889 11.590194444444444, 77.64147222222223 11.592333333333334)"
38,T.NO 19,S,DA,26,18-19,281.23299948619115,11.97,225,,77.64147222222223,11.592333333333334,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64147222222223 11.592333333333334, 77.64022222222223 11.594222222222223)"
39,T.NO 20,T,DD,28,19-20,250.7269431074371,8.79,227,"31°3'11""",77.64022222222223,11.594222222222223,GOOD,GOOD,LT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64022222222223 11.594222222222223, 77.64011111111112 11.597027777777779)"
40,T.NO 21,S,DA,26,20-21,310.3159680068043,10.05,224,,77.64011111111112,11.597027777777779,GOOD,GOOD,LT1,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64011111111112 11.597027777777779, 77.63997222222223 11.599722222222223)"
41,T.NO 22,T,DB,24,21-22,298.4845054605012,5.45,232,"10°56'22""",77.63997222222223,11.599722222222223,GOOD,GOOD,110KV,,PLAIN,ANTHIYUR - METTUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63997222222223 11.599722222222223, 77.64027777777778 11.601694444444444)"
42,T.NO 23,T,DD,28,22-23,222.17335573826128,8.75,241,"42°30'46""",77.64027777777778,11.601694444444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64027777777778 11.601694444444444, 77.63936111111111 11.603027777777777)"
43,T.NO 24,T,DD,28,23-24,178.35358140502814,13.07,245,"47°55'49""",77.63936111111111,11.603027777777777,GOOD,GOOD,LT2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63936111111111 11.603027777777777, 77.63986111111112 11.604916666666666)"
