S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 110KV BHAVANI MICRO SS,2W,T,GANTRY,15,,,,261,,77.11561111,11.47258333,GOOD,,,,PLAIN,110KV BHAVANI MICRO SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11561111111111 11.472583333333333, 77.11597222222221 11.472888888888889)"
2,T.NO 1,,T,DB,24,GANTRY-1,51.0881591,3.88,260,"0°40'36""",77.11597222,11.47288889,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11597222222221 11.472888888888889, 77.11658333333332 11.47338888888889)"
3,T.NO 2,,T,DC,26,01-Feb,89.49860334,8.52,258,"15°18'39""",77.11658333,11.47338889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11658333333332 11.47338888888889, 77.11786111111111 11.475166666666667)"
4,T.NO 3,,S,DA,26,02-Mar,240.208243,9.63,258,,77.11786111,11.47516667,GOOD,GOOD,HT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11786111111111 11.475166666666667, 77.11858333333333 11.476138888888888)"
5,T.NO 4,,T,DC,26,03-Apr,135.2072483,13.19,264,"23°35'40""",77.11858333,11.47613889,GOOD,GOOD,"LT,HT-2",CONCRETE ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.11858333333333 11.476138888888888, 77.12083333333332 11.477472222222222)"
6,T.NO 5,,T,DD,28,04-May,283.148371,6.21,262,"44°6'49""",77.12083333,11.47747222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12083333333332 11.477472222222222, 77.1215 11.479694444444444)"
7,T.NO 6,,S,DA,26,05-Jun,256.3201124,17.03,260,,77.1215,11.47969444,GOOD,GOOD,LT,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1215 11.479694444444444, 77.12191666666666 11.481472222222223)"
8,T.NO 7,,T,DB,24,06-Jul,203.8062806,9.47,259,"13°44'40""",77.12191667,11.48147222,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12191666666666 11.481472222222223, 77.12316666666666 11.483749999999999)"
9,T.NO 8,,T,DC,26,07-Aug,286.3564213,2.71,258,"29°41'51""",77.12316667,11.48375,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12316666666666 11.483749999999999, 77.12316666666666 11.484916666666665)"
10,T.NO 9,,T,DC,26,08-Sep,128.0351514,2.61,258,"26°29'25""",77.12316667,11.48491667,GOOD,GOOD,,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12316666666666 11.484916666666665, 77.12249999999999 11.486194444444443)"
