S.NO,Tower No,JOINT BOX,Tower Type ,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,16 LILO TAPPING POINT   ,,,T,26,,,,13.04,199,,11.33241,78.06355,GOOD,GOOD,LT LINE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06355 11.33241, 78.06553 11.33123)"
2,2,,DC,T,26,16--2,252,252.718833,14.32,195,"23⁰43'5"" RT",11.33123,78.06553,GOOD,GOOD,22KV LINE CROSSING,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06553 11.33123, 78.067 11.32917)"
3,3,,DD,T,28,2--3,280,278.9470455,12.53,192,"42⁰26'1"" LT",11.32917,78.067,GOOD,GOOD,LT LINE CROSSING,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.067 11.32917, 78.06944 11.32864)"
4,4,,DB,T,24,3--4,272,272.9739589,9.35,194,"7⁰29'42"" RT",11.32864,78.06944,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06944 11.32864, 78.07207 11.3277)"
5,5,,DC,T,26,4--5,306,305.6170976,9.86,192,"29⁰32'14"" RT",11.3277,78.07207,GOOD,GOOD,"LT LINE CROSSING -2,22 KV LINE CROSSING",SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07207 11.3277, 78.07344 11.32612)"
6,6,,DB,T,24,5--6,230,230.2279613,11.05,191,"4⁰14'53"" LT",11.32612,78.07344,GOOD,GOOD,LT LINE CROSSING-2,SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07344 11.32612, 78.07504 11.32453)"
7,7,,DB,T,24,6--7,248,248.0892298,7.97,192,"9⁰42'59"" LT",11.32453,78.07504,GOOD,GOOD,,"TAR ROAD CROSSING,SAND ROAD CROSSING",,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07504 11.32453, 78.07676 11.32332)"
8,8,,DB,T,24,7--8,230,230.787219,13.72,193,"13⁰24'57"" RT",11.32332,78.07676,GOOD,GOOD,LT LINE CROSSING,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07676 11.32332, 78.07836 11.32151)"
9,9,,DC,T,26,8--9,266,265.9264849,10.15,191,"21⁰56'7"" RT",11.32151,78.07836,GOOD,GOOD,,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07836 11.32151, 78.07917 11.31921)"
10,10,,DD,T,28,9--10,271,269.5791777,6.84,188,"35⁰28'21"" LT",11.31921,78.07917,GOOD,GOOD,LT LINE CROSSING,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07917 11.31921, 78.08121 11.31779)"
11,11,,DC,T,26,10--11,272,272.7587546,12.38,184,"23⁰33'41"" LT",11.31779,78.08121,GOOD,GOOD,LT LINE CROSSING,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08121 11.31779, 78.08308 11.31741)"
12,12,,DB,T,24,11--12,209,208.6067839,9.25,180,"1⁰41'18"" LT",11.31741,78.08308,GOOD,GOOD,,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08308 11.31741, 78.08412 11.31723)"
13,13,,DC,T,26,12--13,115,115.366949,8.83,179,"18⁰32'51"" RT",11.31723,78.08412,GOOD,NO E/W,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08412 11.31723, 78.0844 11.31708)"
14,MUSIRI GANTRY,2W,GANTRY,T,20,13--GANTRY,34,34.81007856,,179,,11.31708,78.0844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
