Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,,,,,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,,,,,,
 Pallipalayam Gantry,Gantry,20,,,,,1.56,180,,11.36803,77.78541,2W,,,,Good,Good,,,,Inside the 110 kv Pallipalayam SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78541 11.36803, 77.785503 11.36834)",,,,,,,,,,,,,,,,,,
108,T,28,Gantry to 108,33.3997887621711,35.7888901768869,,0.15,181,"33⁰54'52"" LT",11.36834,77.785503,,,,,Good,Good,,,Plain ,double circuit line,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.785503 11.36834, 77.787037 11.369592)",,,,,,,,,,,,,,,,,,
107,T,26,108 to 107,213.82540648042,217.451538515727,,0.25,186,"24⁰57'1"" LT",11.369592,77.787037,,,,,Good,Good,,,Plain ,double circuit line,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.787037 11.369592, 77.789682 11.370274)",,,,,,,,,,,,,,,,,,
106,S,26,107 to 106 ,297.048452508703,298.615939746507,,1.53,186,,11.370274,77.789682,,,,,Good,Good,,Car Track,Plain ,double circuit line,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.789682 11.370274, 77.792035 11.370317)",,,,,,,,,,,,,,,,,,
105,S,26,106to105,252.334422151621,257,,1.08,194,,11.370317,77.792035,,,,,Good,Good,,,Plain ,double circuit line,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.792035 11.370317, 77.794378 11.370465)",,,,,,,,,,,,,,,,,,
104,T,26,105 to 104,262.250686837822,256,,1.12,206,"25⁰24'58"" RT",11.370465,77.794378,,,,,Good,Good,,Car Track,Plain ,double circuit line,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.794378 11.370465, 77.796687 11.371732)",,,,,,,,,,,,,,,,,,
30/7,S,26,104 to 30/7 ,284.95404347691,289,,3.21,202,,11.371732,77.796687,,,,,Good,Good,,Car Track,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.796687 11.371732, 77.79871 11.37273)",,,,,,,,,,,,,,,,,,
30/6,T,26,30/7 to 30/6,248.54503398961,247,,3.12,204,"16⁰10'48"" RT",11.37273,77.79871,,,,,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79871 11.37273, 77.801344 11.372507)",,,,,,,,,,,,,,,,,,
30/5,T,28,30/6 to 30/5,284.120587004368,297,,2.13,205,"30⁰5'18"" LT",11.372507,77.801344,,,,,Good,Good,,,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.801344 11.372507, 77.803326 11.371789)",,,,,,,,,,,,,,,,,,
30/4,S,26,30/5 to 30/4 ,234.835125692328,231,,0.1,202,,11.371789,77.803326,,,,,Good,Good,,Road crossing,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.803326 11.371789, 77.8053 11.37108)",,,,,,,,,,,,,,,,,,
30/3,T,24,30/4 to 30/3,228.292255205211,230,,0.21,201,"12⁰14'20"" RT",11.37108,77.8053,,,,,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8053 11.37108, 77.807109 11.369669)",,,,,,,,,,,,,,,,,,
