S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
18,T.NO 17,T,DB,24,16-17,289.99482754007875,8.6,390,"23°36'47""",77.31997222222222,10.969861111111111,GOOD,GOOD,3nos LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31997222222222 10.969861111111111, 77.31933333333333 10.968055555555555)"
19,T.NO 18,T,DB,24,17-18,210.2974084481309,7.15,392,"3°29'22""",77.31933333333333,10.968055555555555,GOOD,GOOD,2nos LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31933333333333 10.968055555555555, 77.31872222222222 10.965888888888887)"
20,T.NO 19,T,DB,24,18-19,248.90962215229848,5.85,392,"12°27'55""",77.31872222222222,10.965888888888887,GOOD,GOOD,NIL,"MUD ROAD,CANAL",PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31872222222222 10.965888888888887, 77.31861111111111 10.96375)"
21,T.NO 20,T,DB,24,19-20,236.30488780387088,4.95,391,"3°6'35""",77.31861111111111,10.96375,GOOD,GOOD,LT,"MUD ROAD,CANAL",PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31861111111111 10.96375, 77.31833333333333 10.961444444444444)"
22,T.NO 21 PALLADAM 110kv LILO,T,DD,28,20-21,257.41989045137905,2.54,395,"95°15'3""",77.31833333333333,10.961444444444444,GOOD,GOOD,"LT,HT",NIL,PLAIN,PALLADAM 110KV LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31833333333333 10.961444444444444, 77.31572222222222 10.961972222222222)"
23,T.NO 22,T,DB,24,21-22,291.62475889402805,4.75,398,"0°37'3""",77.31572222222222,10.961972222222222,GOOD,GOOD,"2nos LT,HT",NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31572222222222 10.961972222222222, 77.31294444444444 10.962527777777778)"
24,T.NO 23,T,DB,24,22-23,308.3147742162221,5.85,405,"0°6'15""",77.31294444444444,10.962527777777778,GOOD,GOOD,"LT,3nos HT",TAAR ROAD,PLAIN,PALLADAM - DHARAPURAM ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31294444444444 10.962527777777778, 77.31022222222222 10.963055555555554)"
25,T.NO 24,T,DB,24,23-24,305.366992322353,6.32,408,"13°23'36""",77.31022222222222,10.963055555555554,GOOD,GOOD,NIL,MUD ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31022222222222 10.963055555555554, 77.30749999999999 10.964305555555555)"
26,T.NO 25,S,DA,26,24-25,328.0640181428009,4.85,410,"00°00'00""",77.30749999999999,10.964305555555555,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30749999999999 10.964305555555555, 77.30497222222222 10.965388888888889)"
27,T.NO 26,S,DA,26,25-26,300.9584688956269,7.23,405,"00°00'00""",77.30497222222222,10.965388888888889,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30497222222222 10.965388888888889, 77.30236111111111 10.966555555555555)"
28,T.NO 27,S,DA,26,26-27,312.92970456637704,6.82,398,"00°00'00""",77.30236111111111,10.966555555555555,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30236111111111 10.966555555555555, 77.29997222222222 10.967694444444444)"
29,T.NO 28,T,DB,24,27-28,289.91895419237426,4.5,398,"0°0'59""",77.29997222222222,10.967694444444444,GOOD,GOOD,"LT,HT",TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29997222222222 10.967694444444444, 77.29727777777778 10.968916666666667)"
30,T.NO 29,S,DA,26,28-29,324.5073188696982,5.92,397,"00°00'00""",77.29727777777778,10.968916666666667,GOOD,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29727777777778 10.968916666666667, 77.29463888888888 10.970083333333333)"
31,T.NO 30,S,DA,26,29-30,315.1634496574753,4.68,392,"00°00'00""",77.29463888888888,10.970083333333333,GOOD,GOOD,NIL,MUD ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29463888888888 10.970083333333333, 77.29205555555555 10.971277777777777)"
32,T.NO 31,S,DA,26,30-31,311.9246703933499,8.17,393,"00°00'00""",77.29205555555555,10.971277777777777,GOOD,GOOD,LT,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29205555555555 10.971277777777777, 77.28988888888888 10.97225)"
33,T.NO 32,T,DC,26,31-32,261.45171638373307,7.8,391,"20°33'20""",77.28988888888888,10.97225,GOOD,GOOD,"LT,HT",MUD ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28988888888888 10.97225, 77.28738888888888 10.972472222222223)"
34,T.NO 33,S,DA,26,32-33,273.96715131562763,6.95,392,"00°00'00""",77.28738888888888,10.972472222222223,GOOD,GOOD,4nos LT,2nos TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28738888888888 10.972472222222223, 77.28505555555556 10.972611111111112)"
35,T.NO 34,S,DA,26,33-34,254.2833065696606,5.48,387,"00°00'00""",77.28505555555556,10.972611111111112,GOOD,GOOD,3nos LT,4nos MUD ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28505555555556 10.972611111111112, 77.28286111111112 10.972722222222222)"
36,T.NO 35,S,DA,26,34-35,241.3503677229434,4.63,379,"00°00'00""",77.28286111111112,10.972722222222222,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28286111111112 10.972722222222222, 77.27980555555555 10.972944444444444)"
37,T.NO 36,T,DC,26,35-36,335.65756359718756,4.65,383,"21°27'29""",77.27980555555555,10.972944444444444,GOOD,GOOD,NIL,TAAR ROAD,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27980555555555 10.972944444444444, 77.27841666666667 10.973611111111111)"
38,T.NO 37,T,DB,24,36-37,167.7647161950331,3.1,385,"11°32'30""",77.27841666666667,10.973611111111111,GOOD,GOOD,NIL,TAAR ROAD,PLAIN,UDUMALPET - PALLADAM ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27841666666667 10.973611111111111, 77.27819444444444 10.973666666666666)"
39,GT-PALLADAM 110kv SS,T,GANTRY,15,37-GT,25.709920264364882,NIL,387,"00°00'00""",77.27819444444444,10.973666666666666,GOOD,EARTH WIRE NOT PROVIDED,NIL,NIL,PLAIN,EARTH WIRE TERMINATED IN TAKE OFF TOWER OF PALLADAM 110KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,30˚< D-TYPE)                                                                                                                                                                                                                                                               TOWER HEIGHT; A-TYPE 26M , B-TYPE 24M ,                                                                                                                                                                                                                                                                                                                                     C-TYPE 26M, D-TYPE 28M,GANTRY TOWER 15M,                                                                                                                                                                                                                                                                                                                             MA-45,MB-42M,MC-45M,MD-48M                                                                                                                                                                                                                                                                                                                                                               M-MULTI CIRCUIT, D-DOUBLE CIRCUIT, S-SINGLE                                                                                                                                                                                   CIRCUIT           ",,,,,TOTAL,9991M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                                                                                                                                                                               T.M.ARULMANIKANDAN                                                                                                                                                         Assistant manager                                                                                                                                                                                                                                                                                                                                                  M/S Sterlite power transmission Limited  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
