S. No ,Tower No,Supspension / Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of Tower  (Missing parts, broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly /Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY AT 110kv VELAMPALAYAM,T,GANTRY,20,,,-,331,,11.149444444444445,77.32249999999999,GOOD,Available,11kv-1,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32249999999999 11.149444444444445, 77.32277777777777 11.149166666666666)"
2,LILO-1,T,DC,32,GANTRY-LILO-1,28.844410203711913,0.97,330,,11.149166666666666,77.32277777777777,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32277777777777 11.149166666666666, 77.32305555555556 11.149166666666666)"
3,7,T,DC,32,LILO-1-7,28.861739379323623,0.83,329,,11.149166666666666,77.32305555555556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32305555555556 11.149166666666666, 77.32416666666666 11.148888888888889)"
4,6,T,DC,32,2023-07-06 00:00:00,124.90396310766124,1.1,332,,11.148888888888889,77.32416666666666,GOOD,Available,11kv-2,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32416666666666 11.148888888888889, 77.32527777777777 11.148055555555555)"
5,5,T,DC,32,2023-06-05 00:00:00,164.20109622045769,1.8,335,,11.148055555555555,77.32527777777777,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32527777777777 11.148055555555555, 77.32694444444444 11.147222222222222)"
6,4,T,DC,32,2023-05-04 00:00:00,216.5848563496534,2.6,335,,11.147222222222222,77.32694444444444,GOOD,Available,11kv-1,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32694444444444 11.147222222222222, 77.3286111111111 11.146666666666667)"
7,3,T,DC,32,2023-04-03 00:00:00,171.45261736118232,2.19,332,,11.146666666666667,77.3286111111111,GOOD,Available,,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3286111111111 11.146666666666667, 77.32916666666667 11.14611111111111)"
8,2,T,DC,32,2023-03-02 00:00:00,95.524865872714,0.47,331,,11.14611111111111,77.32916666666667,GOOD,Available,LT-1,,Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32916666666667 11.14611111111111, 77.33055555555555 11.145277777777777)"
9,1,T,DC,32,2023-02-01 00:00:00,193.38303958723992,0.01,332,,11.145277777777777,77.33055555555555,GOOD,Available,,Canal,Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33055555555555 11.145277777777777, 77.33083333333333 11.145277777777777)"
10,GANTRY ,T,GANTRY,20,1-GANTRY,24.08318915758459,-,329,,11.145277777777777,77.33083333333333,GOOD,MISSING,,,Water,U/G CABLE ONWARDS FROM THIS TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL KM,,=SUM(G8:G16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
