Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
66 LILO,T,26,,,,,16,196,,11.643625,77.745032,Good,Good,,,,Tapping LMHEP-2 & 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.745032 11.643625, 77.744362 11.642212)"
67,T,24,66 to 67 ,,189,,18,190,"1°5'55"" RT",11.642212,77.744362,Good,Good,,,suger cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.744362 11.642212, 77.743073 11.639624)"
=A8+1,S,26,67 to 68 ,,319.15325400886366,,18,197,,11.639624,77.743073,Good,Good,,Sand Road ,suger cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.743073 11.639624, 77.742011 11.637379)"
=A9+1,S,26,68 to 69 ,,274.208669211845,,16,195,,11.637379,77.742011,Good,Good,,Sand Road ,suger cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.742011 11.637379, 77.740982 11.635379)"
=A10+1,S,26,69 to 70 ,,248.24255309171775,,14,195,,11.635379,77.740982,Good,Good,Lt-33kv line crossing ,Sand Road ,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.740982 11.635379, 77.739952 11.633108)"
=A11+1,S,26,70 to 71 ,,275.37638194873847,,18,197,,11.633108,77.739952,Good,Good,,Sand Road ,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.739952 11.633108, 77.738742 11.630651)"
=A12+1,S,26,71 to 72 ,,302.3405240801032,,17,198,,11.630651,77.738742,Good,Good,33kv crossing ,Tar Road,paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.738742 11.630651, 77.737513 11.62818)"
=A13+1,S,26,72 to 73 ,,304.6426855406779,,16,198,,11.62818,77.737513,Good,Good,400kv line crossing,,paddy land,400KV MTPS II - Karamadai (64-65),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.737513 11.62818, 77.736499 11.626088)"
=A14+1,S,26,73 to 74 ,,256.65714149567873,,15,197,,11.626088,77.736499,Good,Good,,Tar Road,suger cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.736499 11.626088, 77.735632 11.623713)"
=A15+1,S,26,74 to 75 ,,279.41171658272145,,13,196,,11.623713,77.735632,Good,Good,,,suger cane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.735632 11.623713, 77.73474 11.621383)"
