S. No ,Tower No,JOINT BOX,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Erode Gantry,2W,,,,,0.8,179,,77.716985,11.337737,Good,Good,,,Residential area, Erode 110 kv SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.716985 11.337737, 77.716912 11.337833)"
2,181,,T ,26,Gantry to 181,13.28580371,0.8,176,"24°32'31"" RT",77.716912,11.337833,Good,Good,11 kv line crossing ,,Residential area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.716912 11.337833, 77.716565 11.339398)"
3,180,,S,26,181 to 180,177.3335077,6.2,175,,77.716565,11.339398,Good,Good,,Tar road,Residential area,Residential area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.716565 11.339398, 77.716387 11.340173)"
4,179A,,T,24,180 to 179A,87.96324054,5.5,176,"1°27'47"" RT",77.716387,11.340173,Good,Good,,Tar road,Residential area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.716387 11.340173, 77.716077 11.341703)"
5,179,,T,26,179A to 179,172.712949,5.2,169,"22°57'46"" LT",77.716077,11.341703,Good,Good,,Tar road,Residential area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.716077 11.341703, 77.714415 11.34411)"
6,178,,S,26,179 to 178,322.4112143,4.8,168,,77.714415,11.34411,Good,Good,LT- line crossing ,Tar road,Residential area,inside the compound wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.714415 11.34411, 77.713007 11.346522)"
7,177,,S,26,178 to 177,308.1220217,6,181,,77.713007,11.346522,Good,Good,,Tar road,Residential area,residential area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.713007 11.346522, 77.71139 11.348733)"
8,176,,S,26,177 to 176,301.8217713,4.2,181,,77.71139,11.348733,Good,Good,,Tar road,Residential area,residential area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71139 11.348733, 77.709847 11.351132)"
9,175,,S,26,176 to 175,314.5233982,4,178,,77.709847,11.351132,Good,Good,LT- line crossing ,Tar road,Residential area,residential area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.709847 11.351132, 77.708358 11.353472)"
10,174,,S,26,175 to 174 ,305.8510799,5.2,181,,77.708358,11.353472,Good,Good,,Tar road,Residential area,residential area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.708358 11.353472, 77.706978 11.355727)"
11,173,,S,26,174 to 173,291.5947939,5.8,198,,77.706978,11.355727,Good,Good,,Tar road,Residential area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.706978 11.355727, 77.705408 11.357958)"
12,172,,T,24,173 to 172,300.6576247,4.8,162,"2°3'33"" RT",77.705408,11.357958,Good,Good,LT- line crossing ,Tar road,Residential area,Commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.705408 11.357958, 77.703908 11.360262)"
13,171,,S,26,172 to 171,303.1283705,7.2,166,,77.703908,11.360262,Good,Good,,Tar road,Residential area,Inside the copound wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.703908 11.360262, 77.702302 11.362717)"
14,170,,S,26,171 to 170,323.4486274,5.8,169,,77.702302,11.362717,Good,Good,,Tar road,Residential area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.702302 11.362717, 77.700947 11.364875)"
15,169,,S,26,170 to 169,281.0065197,6.2,170,,77.700947,11.364875,Good,Good,LT- line crossing ,Tar road,Residential area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.700947 11.364875, 77.699055 11.367622)"
16,168,2W,T,24,169 to 168,367.6468637,5.5,158,"0°48'46"" RT",77.699055,11.367622,Good,Good,11 kv line crossing ,,Residential area,inside the factory compound ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.699055 11.367622, 77.697148 11.370477)"
17,167,,S,26,168 to 167,378.4915977,6.5,173,,77.697148,11.370477,Good,Good,,Tar road,Residential area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.697148 11.370477, 77.695867 11.372478)"
18,166,,S,26,167 to 166,261.9835185,4.3,164,,77.695867,11.372478,Good,Good,,Tar road,Plain Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.695867 11.372478, 77.694185 11.375172)"
19,165,,S,26,166 to 165 ,350.248939,4.5,172,,77.694185,11.375172,Good,Good,LT- line crossing ,Sand road,Plain Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.694185 11.375172, 77.692585 11.377608)"
20,164,,T,24,165 to 164,321.3195241,4.2,170,"14°42'33"" LT",77.692585,11.377608,Good,Good,,Tar road,Plain Area,residential area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.692585 11.377608, 77.690422 11.379553)"
21,163,,S,26,164 to 163,319.6264915,4,169,,77.690422,11.379553,Good,Good,,Tar road,Plain Area,Spinning mill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.690422 11.379553, 77.688165 11.381632)"
22,162,,S,26,163 to 162,337.2280822,6.3,162,,77.688165,11.381632,Good,Good,,Sand road,Plain Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.688165 11.381632, 77.6861193 11.383465)"
23,161,,S,26,162 to 161,301.8039434,5.2,170,,77.6861193,11.383465,Good,Good,,,Plain Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6861193 11.383465, 77.683882 11.385442)"
24,160,,S,26,161 to 160,328.0172429,4,166,,77.683882,11.385442,Good,Good,,,Plain Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.683882 11.385442, 77.681918 11.387488)"
25,159,,S,26,160 to 159,311.9286123,5.8,166,,77.681918,11.387488,Good,Good,LT- line crossing ,Tar road,Plain Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.681918 11.387488, 77.679845 11.389308)"
26,158,2W,T,28,159 to 158 ,303.0544578,5.2,170,"37°31'17"" RT",77.679845,11.389308,Good,Good,LT- line crossing ,Sand road,Plain Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.679845 11.389308, 77.67942 11.391503)"
27,157,,T,24,158 to 157,247.35929,5,172,"0°24'33"" RT",77.67942,11.391503,Good,Good,,Tar road,Plain Area,Kr thoppur toThingalur (tower No.210 to 211),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67942 11.391503, 77.678988 11.393824)"
28,156,,S,26,157 to 156,261.2085398,8.5,173,,77.678988,11.393824,Good,Good,230kv line crossing ,,Rock area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.678988 11.393824, 77.678717 11.39516)"
29,155,,T,24,156 to 155,150.8148773,4.5,177,"3°18'14"" LT",77.678717,11.39516,Good,Good,,,Plain Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.678717 11.39516, 77.6784547 11.396152)"
30,154,,S,26,155 to 154 ,113.4799427,5,180,,77.6784547,11.396152,Good,Good,LT- line crossing ,Tar road,Plain Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6784547 11.396152, 77.67802 11.39908)"
31,154/A,3W,S,26,154 to 154 /A,327.5597852,5.4,197,,77.67802,11.39908,Good,Good,230kv line crossing ,,Plain Area,tower no 382 to 381 tapping  to Old Suryampalayam line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67802 11.39908, 77.67753 11.4017)"
32,153,,S,26,154 /A to 153,294.9043766,3.4,194,,77.67753,11.4017,Good,Good,,,Plain Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67753 11.4017, 77.67699 11.40458)"
33,152,,S,26,153 to 152 ,324.196776,5.2,186,,77.67699,11.40458,Good,Good,,,Plain Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67699 11.40458, 77.67649 11.4073)"
34,151,,S,26,152 to 151,305.9889049,4.1,184,,77.67649,11.4073,Good,Good,2-LT- line crossing ,,Plain Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67649 11.4073, 77.67603 11.41005)"
35,150,,S,26,151 to 150 ,308.5154197,5.2,181,,77.67603,11.41005,Good,Good,11kv & LT ,Tar road,Plain Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67603 11.41005, 77.6755 11.41284)"
36,149,,T,24,150 to 149 ,314.2025391,4.2,179,"0°14'41"" RT",77.6755,11.41284,Good,Good,,,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6755 11.41284, 77.67504 11.41532)"
37,148,,T,24,149 to 148 ,279.0700299,5.2,185,"1°34'2"" LT",77.67504,11.41532,Good,Good,2-LT lne crossing ,Highway,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67504 11.41532, 77.67471 11.41686)"
