S.NO,Tower No,JOINT BOX,Tower Type ,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,20,,D,T,28,19-20,261,257.5378462,4.17,300,"55⁰39'54"" RT",11.67153,78.45241,GOOD,GOOD,"LT LINE3,22 KV LINE-1", ROAD CROSSING,"TOWER IN LAKE,THRONE FOREST",AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45241 11.67153, 78.4557 11.67168)"
22,21,,D,T,28,20-21,359,359.2998231,0.22,299,"58⁰32'7"" LT",11.67168,78.4557,GOOD,GOOD,22KV LINE 1,,TOWER IN LAKE,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4557 11.67168, 78.45642 11.67297)"
23,22,,D,T,28,21-22,166,162.9576449,0.56,298,"39⁰52'16"" RT",11.67297,78.45642,GOOD,GOOD,22KV LINE 1,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45642 11.67297, 78.458048 11.673596)"
24,23,,D,T,28,22-23,336,190.6384526,9.87,298,"50⁰5'48"" LT",11.673596,78.458048,GOOD,GOOD,,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.458048 11.673596, 78.45865 11.67536)"
25,24,,B,T,24,23-24,208,205.9899149,2.14,297,"3⁰41'17"" LT",11.67536,78.45865,GOOD,GOOD,"LT LINE 4,222KV LINE-1",LAKE CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45865 11.67536, 78.45956 11.67873)"
26,25,,D,T,26,24-25,391,385.9781599,2.34,301,"28⁰48'13"" LT",11.67873,78.45956,GOOD,GOOD,LT LINE 2,ATTUR TO THUMBAL TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45956 11.67873, 78.45898 11.68104)"
27,26,,D,T,28,25-26,263,263.3847896,4.39,306,"44⁰36'8"" LT",11.68104,78.45898,GOOD,GOOD,LT LINE 2,,,FENCING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45898 11.68104, 78.45643 11.68258)"
28,27,2W,D,T,28,26-27,328,326.24323,8.95,312,"50⁰10'56"" LT",11.68258,78.45643,GOOD,GOOD,LT LINE 1,ROAD CROSSING,,FENCING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45643 11.68258, 78.45394 11.68175)"
29,28,,B,T,24,27-28,287,286.7449489,0.13,313,"3⁰45'22"" LT",11.68175,78.45394,GOOD,GOOD,,,TOWER IN HILLS AREA,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45394 11.68175, 78.45281 11.68129)"
30,29,,A,S,26,28-29,134,133.3711056,0.24,312,,11.68129,78.45281,GOOD,GOOD,"LT LINE-1,WIRE CABLE CROSSING",,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45281 11.68129, 78.45107 11.68059)"
31,30,,D,T,28,29-30,209,205.0187757,1.36,310,"57⁰42'0"" RT",11.68059,78.45107,GOOD,GOOD,,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45107 11.68059, 78.44868 11.68227)"
32,31,,A,S,26,30-31,320,320.2380262,0.63,314,,11.68227,78.44868,GOOD,GOOD,,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44868 11.68227, 78.44676 11.683595)"
33,32,,B,T,26,31-32,265,255.6890065,4.76,314,"17⁰40'27"" RT",11.683595,78.44676,GOOD,GOOD,LT LINE -3,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44676 11.683595, 78.44476 11.68618)"
34,33,,D,T,28,32-33,355,359.8074673,2.64,313,"51⁰20'49"" RT",11.68618,78.44476,GOOD,GOOD,LT LINE -3,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44476 11.68618, 78.44533 11.68843)"
35,34,,A,S,26,33-34,257,256.6793729,0.56,318,,11.68843,78.44533,GOOD,GOOD,WIRE CABLE CROSSING,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44533 11.68843, 78.44586 11.69069)"
36,35,,A,S,26,34-35,260,256.7354677,0.92,325,,11.69069,78.44586,GOOD,GOOD,,"TAR ROAD CROSSING,SAND ROAD CROSSING",,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44586 11.69069, 78.44644 11.69294)"
37,36,,D,T,28,35-36,258,256.9454168,0.93,330,"56⁰53'38"" RT",11.69294,78.44644,GOOD,GOOD,LT LINE 2,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44644 11.69294, 78.44855 11.69365)"
38,37,,A,S,26,36-37,244,243.2147801,0.16,334,,11.69365,78.44855,GOOD,GOOD,,TAR ROAD CROSSING,SMALL FOREST,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44855 11.69365, 78.450752 11.694304)"
39,38,,D,T,28,37-38,250,250.8740835,0.12,345,"37⁰9'56"" LT",11.694304,78.450752,GOOD,GOOD,LT LINE 1,, HILLS AREA,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.450752 11.694304, 78.45202 11.69602)"
40,39,,A,S,26,38-39,245,234.9576554,7.62,338,,11.69602,78.45202,GOOD,GOOD,ZIG ZAG LAND,CANAL CROSSING,HILLS AREA,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45202 11.69602, 78.45393 11.69837)"
41,40,,A,S,26,39-40,335,333.2590966,0.81,340,,11.69837,78.45393,GOOD,GOOD,,,HILLS AREA,HOUSE HOLD AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45393 11.69837, 78.45544 11.70026)"
42,41,2W,D,T,26,40-41,267,266.2517653,4.27,348,"22⁰8'2"" RT",11.70026,78.45544,GOOD,GOOD,LT LINE 1,,,HOUSE HOLD AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45544 11.70026, 78.4579 11.70164)"
43,42,,A,S,26,41-42,310,308.7649219,3.21,334,,11.70164,78.4579,GOOD,GOOD,LT LINE 2,WIRE CABLE CROSSING,HILLS AREA,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4579 11.70164, 78.46018 11.70288)"
44,43,,C,T,24,42-43,286,284.058998,3.97,346,"13⁰51'42"" LT",11.70288,78.46018,GOOD,GOOD,,ZIG ZAG LAND,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46018 11.70288, 78.46198 11.70452)"
45,44,,A,S,26,43-44,269,267.3929505,5.16,347,,11.70452,78.46198,GOOD,GOOD,765KV LINE CROSSING (NGPT-DPI)22KV LINE 1,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46198 11.70452, 78.46346 11.70583)"
46,45,,A,S,26,44-45,219,216.9895404,0.59,347,,11.70583,78.46346,GOOD,GOOD,LT LINE 1,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46346 11.70583, 78.46574 11.70788)"
47,46,,D,T,26,45-46,339,336.6484618,0.83,351,"23⁰16'46"" RT",11.70788,78.46574,GOOD,GOOD,"LT LINE 3,22KV LINE 1",SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46574 11.70788, 78.46829 11.70875)"
48,47,,A,S,26,46-47,295,294.3438458,0.34,359,,11.70875,78.46829,GOOD,GOOD,,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46829 11.70875, 78.47118 11.70981)"
49,48,,C,T,26,47-48,337,336.3564303,0.97,360,"23⁰55'24"" LT",11.70981,78.47118,GOOD,GOOD,,SAND ROAD CROSSING,ZIG ZAG LAND,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47118 11.70981, 78.4728 11.71137)"
50,49,,A,S,26,48-49,249,247.0541618,0.23,359,,11.71137,78.4728,GOOD,GOOD,"LT LINE -1,WIRE CABLE CROSSING",,,SMALL BRICK FACTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4728 11.71137, 78.47452 11.71301)"
51,50,,A,S,26,49-50,261,261.0459754,5.16,354,,11.71301,78.47452,GOOD,GOOD,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47452 11.71301, 78.47633 11.71471)"
52,51,,C,T,24,50-51,274,272.725256,4.56,357,"10⁰15'2"" RT",11.71471,78.47633,GOOD,GOOD,"LT LINE 1,22KV LINE1",CANAL CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47633 11.71471, 78.47861 11.71619)"
53,52,,C,T,24,51-52,300,297.7888475,1.72,358,"14⁰5'30"" RT",11.71619,78.47861,GOOD,GOOD,LT LINE 2,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47861 11.71619, 78.48183 11.7173)"
54,53,2W,C,T,26,52-53,376,372.0826627,1.04,359,"19⁰29'25"" LT",11.7173,78.48183,GOOD,GOOD,"LT LINE 1,22KV LINE 2",,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48183 11.7173, 78.48418 11.71916)"
55,54,,A,S,26,53-54,330,328.7543968,0.19,367,,11.71916,78.48418,GOOD,GOOD,LT LINE 1,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48418 11.71916, 78.48593 11.720468)"
56,55,,A,S,26,54-55,241,239.5643644,7.92,366,,11.720468,78.48593,GOOD,GOOD,"LT LINE 2,22KV LINE 1",CANAL CROSSING ,CANAL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48593 11.720468, 78.48784 11.72191)"
57,56,,C,T,26,55-56,266,262.4331782,0.26,370,"28⁰22'43"" LT",11.72191,78.48784,GOOD,GOOD,,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48784 11.72191, 78.48891 11.72426)"
58,57,,A,S,26,56-57,289,285.0774419,2.18,370,,11.72426,78.48891,GOOD,GOOD,,SAND ROAD CROSSING,LAKE CROSSING,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48891 11.72426, 78.48972 11.7261)"
59,58,,A,S,26,57-58,224,221.9856692,0.16,372,,11.7261,78.48972,GOOD,GOOD,LT LINE 1,,,LAKE INSIDE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48972 11.7261, 78.49068 11.7282)"
60,59,,A,S,26,58-59,256,254.9204239,1.32,371,,11.7282,78.49068,GOOD,GOOD,LT LINE 1,"TAR ROAD CROSSING,SAND ROAD CROSSING",,"ZIG ZAG LAND,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49068 11.7282, 78.49184 11.73069)"
61,60,,A,S,26,59-60,306,303.2426065,11.55,365,,11.73069,78.49184,GOOD,GOOD,"LT LINE 1,22KV LINE 1",SAND ROAD CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49184 11.73069, 78.49301 11.73323)"
