S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 110 KONGALNAGARAM LILO,T,DC,26,,,4.76,390,,77.17080555555556,10.676083333333333,GOOD,2 EARTHWIRE,,,PLAIN,KONGALNAGARAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17080555555556 10.676083333333333, 77.17102777777778 10.67611111111111)"
2,T.NO 1,T,DD,28,110-1,26.076809620810597,5.43,392,"93°37'59""",77.17102777777778,10.67611111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17102777777778 10.67611111111111, 77.17083333333333 10.677583333333333)"
3,T.NO 2 LILO ALAMARATHUR ,T,DD,28,1-2,164.61470165206995,4.1,391,"97°1'51""",77.17083333333333,10.677583333333333,GOOD,GOOD,,,PLAIN,ALAMARATHUR LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17083333333333 10.677583333333333, 77.17294444444445 10.67761111111111)"
4,T.NO 3,T,DB,24,2-3,229.0349318335524,4.88,394,"2°58'32""",77.17294444444445,10.67761111111111,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17294444444445 10.67761111111111, 77.17477777777778 10.677527777777778)"
5,T.NO 4,T,DD,28,3-4,203.1206537996567,7.34,392,"100°44'58""",77.17477777777778,10.677527777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17477777777778 10.677527777777778, 77.17472222222223 10.677249999999999)"
6,GT 110KV KONGALNAGARAM SS,T,GANTRY,20,4-GT,31.78049716414141,,395,,77.17472222222223,10.677249999999999,GOOD,MISSING,,,PLAIN,110KV KONGALNAGARAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,=SUM(G8:G13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
