S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 33/1 PASUR LILO,T,DC,26,,,4.15,383,,11.26695408,77.14420772,GOOD,GOOD,,,AGRI,PASUR LILO NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14420772 11.26695408, 77.14289338 11.26751488)"
2,T.NO 2,T,DB,24,33/1-2,156.387339641034,3.1,384,"10°27'20""",11.26751488,77.14289338,GOOD,GOOD,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14289338 11.26751488, 77.1415813 11.26838296)"
3,T.NO 3,T,DB,24,2-3,172.513767566534,2.62,382,"1°35'49""",11.26838296,77.1415813,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1415813 11.26838296, 77.13969575 11.26970706)"
4,T.NO 4,T,DD,28,3-4,252.733060757788,4.52,385,"47°23'41""",11.26970706,77.13969575,GOOD,GOOD,LT,TAARROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13969575 11.26970706, 77.13933226 11.27255664)"
5,T.NO 5,T,DB,24,4-5,317.787664958853,1.5,388,"3°59'33""",11.27255664,77.13933226,GOOD,GOOD,LT,TAARROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13933226 11.27255664, 77.13882896 11.27507283)"
6,T.NO 6,T,DB,24,5-6,283.783368082064,2.12,382,"1°3'43""",11.27507283,77.13882896,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13882896 11.27507283, 77.13852989 11.27672894)"
7,T.NO 7,T,DC,26,6-7,186.131673822593,3.75,380,"2°8'17""",11.27672894,77.13852989,GOOD,GOOD,,TAARROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13852989 11.27672894, 77.13832973 11.2781403)"
8,T.NO 8,T,MD,45,7-8,157.686397637843,5.29,382,"30°29'10""",11.2781403,77.13832973,GOOD,GOOD,LT,,AGRI,230KV ARASUR-GOBI CROSSING AT SAME  TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13832973 11.2781403, 77.13761295 11.27903119)"
9,T.NO 9,T,DB,24,8-9,125.876924017073,2.75,381,"11°51'17""",11.27903119,77.13761295,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13761295 11.27903119, 77.13596557 11.28038068)"
10,T.NO 10,T,DD,28,9-10,233.805474700658,3.03,381,"43°36'44""",11.28038068,77.13596557,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13596557 11.28038068, 77.13391344 11.28024181)"
11,T.NO 11,T,DB,24,10-11,224.644163066838,1.49,374,"3°36'53""",11.28024181,77.13391344,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13391344 11.28024181, 77.13174322 11.2802303)"
12,T.NO 12,T,DC,26,11-12,237.018986581244,3.7,372,"26°31'24""",11.2802303,77.13174322,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.13174322 11.2802303, 77.12990512 11.27931259)"
13,T.NO 13,T,DC,26,12-13,224.964441634673,3.06,379,"29°17'38""",11.27931259,77.12990512,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.12990512 11.27931259, 77.12964881 11.27932346)"
14,GANTRY 110KV PASUR SS,T,GANTRY,15,13-GANTRY,28.0178514522438,,383,,11.27932346,77.12964881,GOOD,12,,,PLAIN,110KV PASUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
