S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
,,,,,,,,,,12.6704977,77.9919535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9919535 12.6704977, 77.9906178 12.6711186)"
,,,,,,,,,,12.6711186,77.9906178,3894335348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9906178 12.6711186, 77.9893721 12.6718893)"
,,,,,,,,,,12.6718893,77.9893721,3894335761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9893721 12.6718893, 77.9880457 12.6715961)"
,,,,,,,,,,12.6715961,77.9880457,3894335354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9880457 12.6715961, 77.9864315 12.6703072)"
,,,,,,,,,,12.6703072,77.9864315,3894335344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9864315 12.6703072, 77.9850267 12.6684648)"
,,,,,,,,,,12.6684648,77.9850267,3894335575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9850267 12.6684648, 77.9848347 12.6648054)"
,,,,,,,,,,12.6648054,77.9848347,3894330648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9848347 12.6648054, 77.9844325 12.663031)"
,,,,,,,,,,12.663031,77.9844325,3894330634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9844325 12.663031, 77.9844325 12.663031)"
21,T.NO 20,T,DB,24,19-20,340.93107807883985,5.61,447,"2°21'47""",12.663031,77.9844325,3894330634,GOOD,,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9844325 12.663031, 77.9839928 12.6605675)"
22,T.NO 21,S,DA,26,20-21,275.53039759707093,6.72,439,,12.6605675,77.9839928,3894335322,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9839928 12.6605675, 77.983773 12.65849)"
