Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-1  LILO OF KONGALNAGARM 110KV - NEGAMAM 110KV,,DA,T,26,,,5.82,386,,77.17083333,10.67761111,GOOD,GOOD,,,NO,CULTIVATION,NEED 3WAY JUNCTION BOX.2EARTH WIRE.ONE IS CONTINUE TO OUR T.NO-2 ANOTHER EARTH WIRE CONNECT TO UDUMALPET TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17083333333333 10.67761111111111, 77.16936111111112 10.679305555555555)"
T.NO-2,3W,DB,T,24,01-Feb,247.3155879,4.82,383,"0°34'22.55""",77.16936111,10.67930556,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16936111111112 10.679305555555555, 77.16783333333333 10.681027777777777)"
T.NO-3,,DA,S,26,02-Mar,253.5389516,5.11,378,,77.16783333,10.68102778,GOOD,GOOD,"2nos LT,22KV ","MUDROAD, NALA",NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16783333333333 10.681027777777777, 77.16669444444445 10.682305555555555)"
T.NO-4,,DA,S,26,03-Apr,187.7684745,4.96,378,,77.16669444,10.68230556,GOOD,GOOD,LT,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16669444444445 10.682305555555555, 77.16536111111111 10.683833333333334)"
T.NO-5,,DA,S,26,04-May,222.4814599,8.12,376,,77.16536111,10.68383333,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16536111111111 10.683833333333334, 77.16402777777779 10.68538888888889)"
T.NO-6,,DA,S,26,05-Jun,226.9096737,6.72,375,,77.16402778,10.68538889,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16402777777779 10.68538888888889, 77.16269444444445 10.686944444444444)"
T.NO-7,,DA,S,26,06-Jul,224.7420744,5.54,374,,77.16269444,10.68694444,GOOD,GOOD,2nos LT,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16269444444445 10.686944444444444, 77.16127777777778 10.688555555555556)"
T.NO-8,,DB,T,24,07-Aug,236.6854453,5.36,375,"0°0'00""",77.16127778,10.68855556,GOOD,GOOD,,TAAR ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16127777777778 10.688555555555556, 77.1598888888889 10.690111111111111)"
T.NO-9,,DA,S,26,08-Sep,230.2020851,5.1,376,,77.15988889,10.69011111,GOOD,GOOD,22KV,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1598888888889 10.690111111111111, 77.15858333333334 10.691638888888889)"
T.NO-10,,DA,S,26,09-Oct,220.5107707,4.21,374,,77.15858333,10.69163889,GOOD,GOOD,"22KV,2nos LT",TAAR ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15858333333334 10.691638888888889, 77.15725 10.693138888888889)"
T.NO-11,,DA,S,26,10-Nov,220.9841623,3.99,375,,77.15725,10.69313889,GOOD,GOOD,22KV, MUDROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15725 10.693138888888889, 77.15594444444444 10.694611111111112)"
T.NO-12,,DA,S,26,11-Dec,216.0856312,4.22,373,,77.15594444,10.69461111,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15594444444444 10.694611111111112, 77.1546388888889 10.696111111111112)"
T.NO-13,,DA,S,26,Dec-13,219,4.73,371,,77.15463889,10.69611111,GOOD,GOOD,"LT,22KV",TAAR ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1546388888889 10.696111111111112, 77.15325 10.697666666666667)"
T.NO-14,,DA,S,26,13-14,230.2020851,2.81,365,,77.15325,10.69766667,GOOD,GOOD,LT,MUDROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15325 10.697666666666667, 77.15191666666668 10.699222222222222)"
T.NO-15,,DB,T,26,14-15,227.563178,3.77,365,"0°55'6.50""",77.15191667,10.69922222,GOOD,GOOD,22KV,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15191666666668 10.699222222222222, 77.15052777777778 10.700777777777777)"
T.NO-16,,DA,S,26,15-16,229.4558781,7.49,365,,77.15052778,10.70077778,GOOD,MISSING,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15052777777778 10.700777777777777, 77.14916666666667 10.702333333333332)"
T.NO-17,,DA,S,26,16-17,227.378539,2.02,366,,77.14916667,10.70233333,GOOD,MISSING,,,NO,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14916666666667 10.702333333333332, 77.14886111111112 10.702777777777778)"
T.NO- LILO 1 ALAMARATHUR 110KV ,2W,DD,T,28,17-LILO-1,58.52349955,1.74,365,"136°1'19.19""",77.14886111,10.70277778,GOOD,GOOD,,,NO,PLAINLAND,NEED 3WAY JUNCTION BOX.2 FEEDER 1.ALAMARATHUR 110KV LILO 2.NEGAMAM 110KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.14886111111112 10.702777777777778, 77.15077777777779 10.702333333333332)"
T.NO-2,,DB,T,24,LILO1-2,215.4158769,1.18,366,"4°39'44.77""",77.15077778,10.70233333,GOOD,GOOD,,,NO,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15077777777779 10.702333333333332, 77.1528888888889 10.701666666666666)"
T.NO-3,,DD,T,28,02-Mar,242.2601907,2.43,363,"39°24'59.72""",77.15288889,10.70166667,GOOD,GOOD,"LT,22KV",TAAR ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1528888888889 10.701666666666666, 77.15522222222222 10.702555555555556)"
