S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 6/1 KARADIVAAVI LILO,,T,DC,26,NIL,NIL,6.76,427,"00°00'00""",77.24319444,10.92694444,GOOD ,GOOD,NIL,NIL,PLAIN,KARADIVAAVI LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24319444444444 10.926944444444445, 77.24136111111112 10.928916666666666)"
2,T.NO 2,,T,DB,24,06-01-2002,294.2787794,8.05,428,"1°43'47""",77.24136111,10.92891667,GOOD ,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24136111111112 10.928916666666666, 77.23955555555555 10.930916666666667)"
3,T.NO 3,,S,DA,26,02-Mar,298.0620741,6.83,428,"00°00'00""",77.23955556,10.93091667,GOOD ,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23955555555555 10.930916666666667, 77.2376388888889 10.933083333333332)"
4,T.NO 4,,S,DA,26,03-Apr,320.224921,3.46,430,"00°00'00""",77.23763889,10.93308333,GOOD ,GOOD,2nos HT,"MUD ROAD,TAAR ROAD",PLAIN,PALLADAM - POLLACHI ROAD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2376388888889 10.933083333333332, 77.2358888888889 10.93511111111111)"
5,T.NO 5,,T,DB,24,04-May,292.6585041,5.13,430,"6°50'21""",77.23588889,10.93511111,GOOD ,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2358888888889 10.93511111111111, 77.23430555555555 10.937305555555556)"
6,T.NO 6,,S,DA,26,05-Jun,298.0603966,6.89,430,"00°00'00""",77.23430556,10.93730556,GOOD ,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23430555555555 10.937305555555556, 77.23280555555556 10.939444444444444)"
7,T.NO 7,,S,DA,26,06-Jul,288.7801932,4.76,431,"00°00'00""",77.23280556,10.93944444,GOOD ,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23280555555556 10.939444444444444, 77.23133333333334 10.941611111111111)"
8,T.NO 8,,S,DA,26,07-Aug,288.4666359,5.4,432,"00°00'00""",77.23133333,10.94161111,GOOD ,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23133333333334 10.941611111111111, 77.22986111111112 10.943777777777777)"
9,T.NO 9,,S,DA,26,08-Sep,289.0328701,5.75,435,"00°00'00""",77.22986111,10.94377778,GOOD ,GOOD,NIL,NIL,PLAIN,NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22986111111112 10.943777777777777, 77.2285 10.945777777777778)"
10,T.NO 10,,T,DB,24,09-Oct,266.2705391,6.05,437,"13°21'15""",77.2285,10.94577778,GOOD ,GOOD,"HT,230kv CROSSING ABOVE OUR LINE",MUD ROAD,PLAIN,PALLADAM - OKM 230KV LINE CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2285 10.945777777777778, 77.22669444444445 10.94738888888889)"
