Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY UDUMALAIPET 230KV  SS,2W,GANTRY,GANTRY,20,,,,382,,77.27919444,10.57680556,GOOD,MISSING,,,NO,SUBSTATION,UDUMALAIPET SUB STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27919444444444 10.576805555555556, 77.27927777777778 10.577027777777777)"
T.NO-1,,T,DB,24,GANTRY-1,25.63201124,0.9,374,"9°49'23.09""",77.27927778,10.57702778,GOOD,GOOD,,,YES,SUBSTATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27927777777778 10.577027777777777, 77.27991666666667 10.578083333333334)"
T.NO-2,,T,DC,32,01-Feb,134.4618905,1.1,376,"18°3'44.73""",77.27991667,10.57808333,GOOD,GOOD,"LT,2nos 11KV,22KV",TAAR ROAD(NH),NO,PLAIN LAND,2 EARH WIRE. NH-UDUMALPET - PALANI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27991666666667 10.578083333333334, 77.2803888888889 10.58013888888889)"
T.NO-3,,S,DA,26,02-Mar,234.3949658,3.02,375,,77.28038889,10.58013889,GOOD,GOOD,LT,"CEMENT,NALA",NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2803888888889 10.58013888888889, 77.28077777777777 10.581972222222221)"
T.NO-4,,S,DA,26,03-Apr,207.2993005,1.73,373,,77.28077778,10.58197222,GOOD,GOOD,LT,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28077777777777 10.581972222222221, 77.28119444444444 10.583444444444446)"
T.NO-5 LILO,2W,T,DD,28,04-May,167.8689965,2.15,365,"52°21'0.79""",77.28119444,10.58344444,GOOD,GOOD,,,NO,CULTIVATION,"LILO TO MYVAADI 110KV SS,NEED 3WAY JUNCTION BOX,1 EARTHWIRE CONTINUE TO OUR LINE ANOTHER EARTH WIRE CONNECT TO MYVADI TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28119444444444 10.583444444444446, 77.28366666666666 10.584416666666668)"
T.NO-6,,T,SD,34,05-Jun,293.2319901,2.18,365,"62°6'18.49""",77.28366667,10.58441667,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28366666666666 10.584416666666668, 77.28377777777777 10.585361111111112)"
T.NO-7,,T,SB,30,06-Jul,105.4751155,3.8,359,"1°18'57.00""",77.28377778,10.58536111,GOOD,GOOD,"LT,110KV SC LINE CROSSING BELOW OUR LINE",,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28377777777777 10.585361111111112, 77.28411111111112 10.587972222222223)"
T.NO-8,,S,SA,26,07-Aug,289.0069203,2.67,357,,77.28411111,10.58797222,GOOD,GOOD,2nos 11KV,"CANAL,TAAR ROAD",NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28411111111112 10.587972222222223, 77.28438888888888 10.590444444444445)"
T.NO-9,,S,SA,26,08-Sep,276.4217792,2.75,362,,77.28438889,10.59044444,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28438888888888 10.590444444444445, 77.28469444444444 10.593250000000001)"
T.NO-10,2W,T,SB,24,09-Oct,311.5461443,2.5,363,"7°51'35.43""",77.28469444,10.59325,GOOD,GOOD,11KV,,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28469444444444 10.593250000000001, 77.28475 10.5935)"
