Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Ground Earth Available,Crossing Objects,,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-1 THALAKARAI LILO,MB,T,45,,,,300,,77.05291666666666,10.694611111111112,GOOD,GOOD,NO,,,PLAIN LAND,NEED 3WAY JUNCTION BOX.2 EARTH WIRE ONE CONTINUE TO OUR T.NO-2 ANOTHER EARTH WIRE CONNECTED TO POLLACHI NEGAMAM T.NO -35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05291666666666 10.694611111111112, 77.05083333333333 10.695194444444445)"
T.NO-2,DB,T,30,1--2,237.24459951703852,1.86,300,"7°34'50.93""",77.05083333333333,10.695194444444445,GOOD,GOOD,NO,,MUD ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.05083333333333 10.695194444444445, 77.04952777777778 10.695388888888889)"
T.NO-3,DD,T,34,2--3,144.25671561490648,2.16,294,"66°39'3.06""",77.04952777777778,10.695388888888889,GOOD,GOOD,NO,,TAAR ROAD (NH),WATER LOGGED,POLLACHI - NEGAMAM (NH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04952777777778 10.695388888888889, 77.04916666666666 10.69663888888889)"
T.NO-4,DD,T,31,3--4,143.40502083260543,3.86,300,"55°47'3.47""",77.04916666666666,10.69663888888889,GOOD,GOOD,NO,LT,POND,"PLAIN LAND,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04916666666666 10.69663888888889, 77.04744444444444 10.697222222222223)"
T.NO-5,DD,T,28,4--5,199.2234925906079,3.12,295,"48°19'26.58""",77.04744444444444,10.697222222222223,GOOD,GOOD,NO,,,"PLAIN LAND,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04744444444444 10.697222222222223, 77.04680555555555 10.698694444444445)"
T.NO-6,DD,T,28,5--6,177.39503938949363,,292,"55°36'57.99""",77.04680555555555,10.698694444444445,GOOD,GOOD,NO,LT,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04680555555555 10.698694444444445, 77.04561111111111 10.698916666666667)"
T.NO-7,DB,T,27,6--7,134.5362404707371,,318,"9°33'6.30""",77.04561111111111,10.698916666666667,GOOD,GOOD,NO,,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04561111111111 10.698916666666667, 77.04463888888888 10.698972222222222)"
T.NO-8,DD,T,31,7--8,108.04165863221463,,302,"50°56'23.58""",77.04463888888888,10.698972222222222,GOOD,GOOD,NO,LT,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04463888888888 10.698972222222222, 77.04347222222222 10.700472222222222)"
T.NO-9,DC,T,32,8--9,210.41150158677164,2.67,296,"19°16'47.75""",77.04347222222222,10.700472222222222,GOOD,GOOD,NO,22KV,2nos MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04347222222222 10.700472222222222, 77.04305555555555 10.701749999999999)"
T.NO-10,DD,T,32,9-10,147.36349615830918,,290,"34°8'3.99""",77.04305555555555,10.701749999999999,GOOD,GOOD,NO,LT,"MUDROAD,RIVER","WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04305555555555 10.701749999999999, 77.0436111111111 10.703638888888888)"
T.NO-11,DD,T,31,10-11,218.40329667841556,3.66,289,"83°43'24.90""",77.0436111111111,10.703638888888888,GOOD,GOOD,NO,,,"PLAIN LAND,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0436111111111 10.703638888888888, 77.04211111111111 10.70425)"
T.NO-12,DD,T,31,11-12,177.15812146215595,,289,"96°58'0.09""",77.04211111111111,10.70425,GOOD,GOOD,NO,,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04211111111111 10.70425, 77.04175 10.702972222222222)"
T.NO-13,DD,T,31,12-13,148.22280526288793,3.42,287,"84°27'54.35""",77.04175,10.702972222222222,GOOD,GOOD,NO,,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.04175 10.702972222222222, 77.03977777777777 10.703305555555556)"
T.NO-14,DD,T,31,13-14,219.14607000811125,3.04,288,"42°57'42.08""",77.03977777777777,10.703305555555556,GOOD,GOOD,NO,,MUD ROAD,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03977777777777 10.703305555555556, 77.03894444444444 10.704416666666665)"
T.NO-15,DC,T,32,14-15,153.40469353966978,,286,"16°22'26.78""",77.03894444444444,10.704416666666665,GOOD,GOOD,NO,,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03894444444444 10.704416666666665, 77.03686111111111 10.705972222222222)"
T.NO-16,DB,T,30,15-16,285.41373477812874,1.39,287,"3°49'5.90""",77.03686111111111,10.705972222222222,GOOD,GOOD,NO,LT,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03686111111111 10.705972222222222, 77.03558333333334 10.707027777777776)"
T.NO-17,DD,T,31,16-17,183.09560344257315,3.16,282,"64°3'4.12""",77.03558333333334,10.707027777777776,GOOD,GOOD,NO,,,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03558333333334 10.707027777777776, 77.03427777777777 10.70647222222222)"
T.NO-18,DD,T,31,17-18,155.3479964466874,2.83,284,"52°5'47.73""",77.03427777777777,10.70647222222222,GOOD,GOOD,NO,,,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03427777777777 10.70647222222222, 77.03372222222222 10.704388888888888)"
T.NO-19,DC,T,29,18-19,240.11039127867832,1.56,280,"25°35'54.28""",77.03372222222222,10.704388888888888,GOOD,GOOD,NO,LT cum 22KV,TAAR ROAD,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03372222222222 10.704388888888888, 77.03241666666666 10.702833333333333)"
T.NO-20,DB,T,27,19-20,224.4504399639261,,280,"0°51'41.62""",77.03241666666666,10.702833333333333,GOOD,GOOD,NO,LT,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03241666666666 10.702833333333333, 77.03147222222222 10.701694444444444)"
T.NO-21,DD,T,31,20-21,161.48374531202822,,282,"77°41'21.62""",77.03147222222222,10.701694444444444,GOOD,GOOD,NO,,,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03147222222222 10.701694444444444, 77.03019444444445 10.702333333333332)"
T.NO-22,DD,T,31,21-22,159.65587994182988,3.19,280,"65°45'22.72""",77.03019444444445,10.702333333333332,GOOD,GOOD,NO,,,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.03019444444445 10.702333333333332, 77.02925 10.701611111111111)"
T.NO-23,DD,T,31,22-23,129.3213052826177,,275,"52°49'1.06""",77.02925,10.701611111111111,GOOD,GOOD,NO,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02925 10.701611111111111, 77.02797222222222 10.701916666666666)"
T.NO-24,DD,T,34,23-24,146.01369798755184,,273,"51°37'20.76""",77.02797222222222,10.701916666666666,GOOD,GOOD,NO,LT,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02797222222222 10.701916666666666, 77.02616666666667 10.700527777777777)"
T.NO-25,DC,T,32,24-25,249.26291340670798,2.23,283,"18°18'59.50""",77.02616666666667,10.700527777777777,GOOD,GOOD,NO,,"MUD ROAD,RIVER",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02616666666667 10.700527777777777, 77.0243888888889 10.699916666666667)"
T.NO-26,DD,T,31,25-26,206.24257562394823,5.03,279,"48°51'26.22""",77.0243888888889,10.699916666666667,GOOD,GOOD,NO,LT,,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0243888888889 10.699916666666667, 77.02322222222222 10.700555555555555)"
T.NO-27,DD,T,34,26-27,146.37281168304446,3.28,255,"41°47'6.77""",77.02322222222222,10.700555555555555,GOOD,GOOD,NO,,,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02322222222222 10.700555555555555, 77.02066666666667 10.700027777777777)"
T.NO-28,DD,T,34,27-28,285.0491185743257,2.83,266,"35°47'16.20""",77.02066666666667,10.700027777777777,GOOD,GOOD,NO,LT,RIVER,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.02066666666667 10.700027777777777, 77.01891666666667 10.700777777777777)"
T.NO-29,DB,T,27,28-29,209.69740103301234,,269,"6°14'31.18""",77.01891666666667,10.700777777777777,GOOD,GOOD,NO,22KV,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01891666666667 10.700777777777777, 77.01763888888888 10.7015)"
T.NO-30,DD,T,28,29-30,161.62301816263673,,271,"41°43'0.82""",77.01763888888888,10.7015,GOOD,GOOD,NO,,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.01763888888888 10.7015, 77.0153611111111 10.700999999999999)"
T.NO-31,DD,T,34,30-31,255.0019607767752,,270,"108°18'42.15""",77.0153611111111,10.700999999999999,GOOD,GOOD,NO,LT,,"WATER LOGGED,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.0153611111111 10.700999999999999, 77.01558333333334 10.703111111111111)"
