Tower No,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,,T,28,20 to 21 ,200.2860189,200.2860189,18,18,252,"45°16'47"" LT",11.821413,77.77793,Good,Good,,,Sugar Cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77793 11.821413, 77.77633 11.82218)"
22,,T,24,21 to 22,194.0482014,194.0482014,16,16,249,"0°17'24"" RT",11.82218,77.77633,Good,Good,,,Sugar Cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77633 11.82218, 77.774738 11.822953)"
23,,T,28,22 to 23,193.5561491,193.5561491,18,18,250,"46°28'5"" RT",11.822953,77.774738,Good,Good,,Lake,Sugar Cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.774738 11.822953, 77.77411 11.82494)"
24,,T,24,23 to 24 ,230.3791187,230.3791187,18,18,249,"14°51'3"" RT",11.82494,77.77411,Good,Good,,,Sugar Cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77411 11.82494, 77.774 11.82748)"
25,,T,24,24 to 25 ,281.4382204,281.4382204,16,16,248,"0°44'25"" RT",11.82748,77.774,Good,Good,,,Sugar Cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.774 11.82748, 77.77393 11.8298)"
26,,T,24,25 to 26,256.9415119,256.9415119,19,19,250,"6°31'7"" LT",11.8298,77.77393,Good,Good,,,Sugar Cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77393 11.8298, 77.7736 11.83205)"
27,,T,24,26 to 27 ,251.665157,251.665157,16,16,248,"12°58'2"" LT",11.83205,77.7736,Good,Good,,,Sugar Cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7736 11.83205, 77.77275 11.83421)"
28,,T,24,27 to 28 ,256.4527812,256.4527812,18,18,245,"0°39'18"" RT",11.83421,77.77275,Good,Good,,,Sugar Cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77275 11.83421, 77.771942 11.836335)"
29,,T,28,28 to 29 ,251.2007718,251.2007718,19,19,247,"51°27'39"" LT",11.836335,77.771942,Good,Good,,,Sugar Cane ,water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.771942 11.836335, 77.76974 11.83704)"
30,,T,26,29 to 30 ,252.4864142,252.4864142,20,20,252,"17°52'55"" RT",11.83704,77.76974,Good,Good,,,Sugar Cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76974 11.83704, 77.76793 11.83833)"
31,2W,T,24,30 to 31,243.6180971,243.6180971,18,18,250,"0°47'36"" LT",11.83833,77.76793,Good,Good,,,Sugar Cane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76793 11.83833, 77.765835 11.83978)"
32,,T,24,31 to 32 ,279.2050599,279.2050599,18,18,245,"1°13'4"" RT",11.83978,77.765835,Good,Good,,Lake,Sugar Cane ,water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.765835 11.83978, 77.76397 11.84113)"
33,,T,28,32 to 33 ,252.3751165,252.3751165,18,18,251,"51°25'59"" RT",11.84113,77.76397,Good,Good,,Lake,Paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76397 11.84113, 77.76386 11.84388)"
34,,T,26,33 to 34 ,304.6638398,304.6638398,16,16,248,"27°55'14"" RT",11.84388,77.76386,Good,Good,,Lake,Paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76386 11.84388, 77.76486 11.84593)"
35,,T,24,34 to 35 ,251.7754195,251.7754195,15,15,245,"1°7'17"" LT",11.84593,77.76486,Good,Good,,Lake,Paddy land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76486 11.84593, 77.76556 11.84744)"
36,,T,24,35 to 36 ,183.7614196,183.7614196,17,17,243,"2°20'35"" RT",11.84744,77.76556,Good,Good,,Lake,Agricultural Land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76556 11.84744, 77.766625 11.849509)"
37,,T,28,36 to 37 ,256.7991019,256.7991019,18,18,242,"41°25'6"" LT",11.849509,77.766625,Good,Good,,,Agricultural Land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.766625 11.849509, 77.76598 11.85196)"
38,,T,28,37 to 38 ,280.2958973,280.2958973,19,19,245,"50°11'48"" LT",11.85196,77.76598,Good,Good,,,Agricultural Land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76598 11.85196, 77.76398 11.85289)"
39,,T,28,38 to 39 ,241.1602968,241.1602968,18,18,248,"38°17'4"" RT",11.85289,77.76398,Good,Good,,Tar road,Agricultural Land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76398 11.85289, 77.76296 11.85491)"
40,,T,24,39 to 40 ,249.7480652,249.7480652,17,17,256,"0°27'00"" RT",11.85491,77.76296,Good,Good,,,Agricultural Land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76296 11.85491, 77.76196 11.85693)"
41,,T,28,40 to 41 ,248.7840241,248.7840241,20,20,262,"34°24'54"" LT",11.85693,77.76196,Good,Good,,Tar road,Agricultural Land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76196 11.85693, 77.76019 11.85792)"
42,,T,24,41 to 42 ,221.9430848,221.9430848,18,18,263,"0°40'2"" RT",11.85792,77.76019,Good,Good,,Sand Road,Agricultural Land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76019 11.85792, 77.75838 11.85896)"
43,,T,24,42 to 43 ,228.4834536,228.4834536,18,18,260,"7°33'17"" LT",11.85896,77.75838,Good,Good,,Sand Road,Plain  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75838 11.85896, 77.75639 11.85978)"
44,,T,26,43 to 44 ,235.2058413,235.2058413,18,18,279,"27°36'30"" LT",11.85978,77.75639,Good,Good,,Tar road,Plain  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75639 11.85978, 77.75367 11.85955)"
45,,T,26,44 to 45 ,297.6703304,297.6703304,15,15,271,"21°29'57"" LT",11.85955,77.75367,Good,Good,,,Plain  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75367 11.85955, 77.75138 11.85843)"
46,,T,26,45 to 46 ,278.7813593,278.7813593,15,15,281,"21°00'17"" RT",11.85843,77.75138,Good,Good,,Sand Road,Plain  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75138 11.85843, 77.75087196 11.85838268)"
Kolathur gantry,2W,Gantry,20,46 to gantry ,55.64213592,55.64213592,,,270,,11.85838268,77.75087196,Good,Good,,,Plain  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
