S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
87,84,S ,DA,26,83-84,338.7226003679117,3.6,367,,76.98472222222222,10.909277777777778,GOOD,GOOD,"LT,110kv","TAAR ROAD,MUD ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98472222222222 10.909277777777778, 76.9863888888889 10.907583333333333)"
88,85,S,DA,26,84-85,263.751777245197,11,366,,76.9863888888889,10.907583333333333,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9863888888889 10.907583333333333, 76.98827777777778 10.905694444444444)"
89,86,S ,DA,26,85-86,292.7456233660889,8.8,372,,76.98827777777778,10.905694444444444,GOOD,GOOD,"LT,2nos 33kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98827777777778 10.905694444444444, 76.98983333333334 10.90413888888889)"
90,87,S,DA,26,86-87,241.12444919584576,2,373,,76.98983333333334,10.90413888888889,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.98983333333334 10.90413888888889, 76.99191666666667 10.902055555555556)"
91,88,S ,DA,26,87-88,323.154761685481,10,360,,76.99191666666667,10.902055555555556,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99191666666667 10.902055555555556, 76.99388888888889 10.900111111111112)"
92,89,S,DA,26,88-89,306.18458485038076,50,372,,76.99388888888889,10.900111111111112,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99388888888889 10.900111111111112, 76.99630555555555 10.897694444444443)"
93,90,S ,DA,26,89-90,376.18346587802074,80,379,,76.99630555555555,10.897694444444443,GOOD,GOOD,"LT,LT,33kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99630555555555 10.897694444444443, 76.99838888888888 10.895666666666667)"
94,91,T,DB,24,90-91,318.2263345482269,65,378,"3°5'27""",76.99838888888888,10.895666666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.99838888888888 10.895666666666667, 77.00038888888889 10.893472222222222)"
95,92,T,DD,28,91-92,327.79414271765137,70,377,"35°22'2""",77.00038888888889,10.893472222222222,GOOD,GOOD,33kv,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00038888888889 10.893472222222222, 77.00072222222222 10.890416666666667)"
96,93,T,DD,28,92-93,338.3725757209056,35,372,"97°14'50""",77.00072222222222,10.890416666666667,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00072222222222 10.890416666666667, 77.00094444444444 10.890472222222222)"
97,94,T,DD,28,93-94,24.73863375370596,40,369,"72°47'2""",77.00094444444444,10.890472222222222,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.00094444444444 10.890472222222222, 77.00097222222222 10.890805555555556)"
98,GANTRY OK MANDAPAM SS,T,GANTRY ,20,94-GANTRY,36.05551275463989,,370,,77.00097222222222,10.890805555555556,GOOD,MISSING,,,,NO EARTH WIRE .O.K MANDAPAM SUB STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,26232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
