S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,10,S,DA,26,9-10,300.5661324900063,2.5,469,,76.92747222222222,11.061722222222222,GOOD,GOOD,LT,"MUD ROA,2nos TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92747222222222 11.061722222222222, 76.92658333333334 11.059111111111111)"
12,11,T,DC,26,10-11,303.8963639137527,1.3,472,"15°40'5""",76.92658333333334,11.059111111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92658333333334 11.059111111111111, 76.92575000000001 11.057916666666667)"
13,12,T,DC,26,11-12,160.31219541881399,1.5,462,"28°22'37""",76.92575000000001,11.057916666666667,GOOD,GOOD,,CANAL,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92575000000001 11.057916666666667, 76.92561111111111 11.056222222222223)"
14,13,T,DB,24,12-13,186.68690366493306,1.85,470,"12°57'17""",76.92561111111111,11.056222222222223,GOOD,GOOD,"2nos LT,22kv","MUD ROAD,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92561111111111 11.056222222222223, 76.92486111111111 11.053861111111113)"
15,14,S,DA,26,13-14,275.5666888431909,1,467,,76.92486111111111,11.053861111111113,GOOD,GOOD,LT,4nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92486111111111 11.053861111111113, 76.92386111111112 11.050916666666668)"
16,15,S,DA,26,14-15,340.898811966249,3.15,458,,76.92386111111112,11.050916666666668,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92386111111112 11.050916666666668, 76.92305555555556 11.0485)"
17,16,S,DA,26,15-16,284.2903445423358,3.7,471,,76.92305555555556,11.0485,GOOD,GOOD,"2nos LT,22kv","MUD ROAD,2nos TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92305555555556 11.0485, 76.92219444444444 11.046027777777777)"
18,17,T,DB,24,16-17,288.71612355391585,1.8,475,"5°11'29""",76.92219444444444,11.046027777777777,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92219444444444 11.046027777777777, 76.92119444444445 11.043527777777777)"
19,18,S,DA,26,17-18,296.7439974119106,3.5,464,,76.92119444444445,11.043527777777777,GOOD,GOOD,22kv,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92119444444445 11.043527777777777, 76.92 11.041)"
20,19,S,DA,26,18-19,307.95616571194023,5.4,461,,76.92,11.041,GOOD,GOOD,3nos LT,4nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92 11.041, 76.91897222222222 11.038666666666666)"
21,20,T,DB,24,19-20,281.26144421160893,3.5,459,"0°9'43""",76.91897222222222,11.038666666666666,GOOD,GOOD,3nos LT,4nos  TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91897222222222 11.038666666666666, 76.91783333333333 11.036027777777777)"
22,21,S,DA,26,20-21,319.0799272909532,2.5,456,,76.91783333333333,11.036027777777777,GOOD,GOOD,"2nos LT,2nos 11kv",2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91783333333333 11.036027777777777, 76.91675000000001 11.03361111111111)"
23,22,S,DA,26,21-22,292.9453874018159,2.8,455,,76.91675000000001,11.03361111111111,GOOD,GOOD,"LT,11kv",2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91675000000001 11.03361111111111, 76.91569444444445 11.031111111111112)"
24,23,T,DD,28,22-23,297.6927946726289,2,450,"36°6'11""",76.91569444444445,11.031111111111112,GOOD,GOOD,,"2nos MUD ROAD,2nos TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91569444444445 11.031111111111112, 76.91619444444446 11.028833333333335)"
25,24,S,DA,26,23-24,258.58847615468096,7,447,,76.91619444444446,11.028833333333335,GOOD,GOOD,3nos LT,3nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91619444444446 11.028833333333335, 76.91669444444445 11.02663888888889)"
26,25,S,DA,26,24-25,248.1713117989265,5.8,444,,76.91669444444445,11.02663888888889,GOOD,GOOD,"LT,11kv",2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91669444444445 11.02663888888889, 76.91730555555556 11.023944444444446)"
27,26,S,DA,26,25-26,306.11109094575454,13,454,,76.91730555555556,11.023944444444446,GOOD,GOOD,"2nos LT,2nos 11kv",4nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91730555555556 11.023944444444446, 76.91794444444444 11.021277777777778)"
28,27,T,DB,24,26-27,303.65934861288235,1.5,443,"4°30'42""",76.91794444444444,11.021277777777778,GOOD,GOOD,LT,"MUD ROAD,3nos TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91794444444444 11.021277777777778, 76.91836111111111 11.01838888888889)"
29,28,S,DA,26,27-28,323.43314610596116,3.5,437,,76.91836111111111,11.01838888888889,GOOD,GOOD,"LT,22kv","MUD ROAD,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91836111111111 11.01838888888889, 76.91875 11.015611111111111)"
30,29,S,DA,26,28-29,309.2911249939125,8.5,439,,76.91875,11.015611111111111,GOOD,GOOD,,"MUD ROAD,TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91875 11.015611111111111, 76.91919444444444 11.01286111111111)"
31,30,T,DD,28,29-30,307.0977043222564,1.5,435,"40°31'54""",76.91919444444444,11.01286111111111,GOOD,GOOD,22kv,"MUD ROAD,CEMENT ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.91919444444444 11.01286111111111, 76.9213888888889 11.011)"
32,31,T,DB,24,30-31,316.9369022376536,1.5,437,"3°19'53""",76.9213888888889,11.011,GOOD,GOOD,,"MUD ROAD,2nos TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9213888888889 11.011, 76.923 11.009555555555556)"
33,32,S,DA,26,31-32,235.93431289238112,3.5,441,,76.923,11.009555555555556,GOOD,GOOD,LT,"MUD ROAD,2nos  CEMENT ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.923 11.009555555555556, 76.92486111111111 11.008222222222223)"
34,33,S,DA,26,32-33,254.23807739990482,9.75,432,,76.92486111111111,11.008222222222223,GOOD,GOOD,LT,2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92486111111111 11.008222222222223, 76.92800000000001 11.005916666666666)"
35,34,T,DB,24,33-34,425.0294107470682,3.3,432,"1°48'46""",76.92800000000001,11.005916666666666,GOOD,GOOD,"2nos LT,4nos 22kv",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.92800000000001 11.005916666666666, 76.93005555555555 11.004444444444445)"
